Institution;Period; Euro ;DOI;FWF e-book library;Publisher;Book_title;ISBN;Funding Programme
Austrian Science Fund (FWF);2023;8.000,00 ;https://doi.org/10.5771/9783748934110;https://e-book.fwf.ac.at/o:1873;Nomos Verlagsgesellschaft mbH & Co. KG;Der Vertrag von Sevres- Vertragstext und Analyse;978-3-8487-8853-8;Stand-Alone Publications
Austrian Science Fund (FWF);2023;10.000,00 ;https://doi.org/10.7767/9783205218623;https://e-book.fwf.ac.at/o:1879;Brill Österreich GmbH. – Böhlau Verlag;Das Tagebuch von Leo Thun-Hohenstein (1825–1842);978-3-205-21862-3;Stand-Alone Publications
Austrian Science Fund (FWF);2023;12.000,00 ;https://doi.org/10.4324/9781003276029;https://e-book.fwf.ac.at/o:1889;Routledge, Taylor & Francis Group;Risk and Responsibility in Context;978-1-032-23159-4;Stand-Alone Publications
Austrian Science Fund (FWF);2023;7.000,00 ;;;Academic Studies Press;Gescheiterte Aufklärung?;;Stand-Alone Publications
Austrian Science Fund (FWF);2023;14.000,00 ;https://doi.org/10.1553/978OEAW92008;https://e-book.fwf.ac.at/o:1938;Verlag der Österreichischen Akademie der Wissenschaften;Von Hyele zu Velia. Die Funde;978-3-7001-9200-8;Stand-Alone Publications
Austrian Science Fund (FWF);2023;16.000,00 ;;;Koninklijke Brill NV;Wege der wissenschaftlichen Weltauffassung;;Stand-Alone Publications
Austrian Science Fund (FWF);2023;9.000,00 ;https://doi.org/10.1007/978-3-031-39900-8;https://e-book.fwf.ac.at/o:1912;Springer;Cultural Change in Post-Migrant Societies;978-3-031-39899-5;Stand-Alone Publications
Austrian Science Fund (FWF);2023;22.000,00 ;https://doi.org/10.5040/9781350294660;https://e-book.fwf.ac.at/o:1906;BLOOMSBURY PUBLISHING;The Bloomsbury Handbook of Susanne K. Langer;978-1-3502-9464-6;Stand-Alone Publications
Austrian Science Fund (FWF);2023;7.000,00 ;https://doi.org/10.1553/978OEAW92985;https://e-book.fwf.ac.at/o:1885;Verlag der Österreichischen Akademie der Wissenschaften;"Die Protokolle des cisleithanischen Ministerrates1867-191; Band VIII/ Erster Weltkrieg Teilband I";978-3-7001-9298-5;Stand-Alone Publications
Austrian Science Fund (FWF);2023;8.730,00 ;;;KÖNIGSHAUSEN & NEUMANN;Die Karriere Marianne Pirkers–eine Sängerin im 18. Jh.;;Stand-Alone Publications
Austrian Science Fund (FWF);2023;12.122,00 ;;;Verlag der Österreichischen Akademie der Wissenschaften;Neue Forschungen in griechischen Küsten- und Binnenpoleis;;Stand-Alone Publications
Austrian Science Fund (FWF);2023;11.000,00 ;https://doi.org/10.1515/9783111085593;https://e-book.fwf.ac.at/o:1877;Verlag Walter de Gruyter GmbH;Arthur Schnitzler: Der Witwer. Die Gefährtin;978-3-11-107755-0;Stand-Alone Publications
