"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"FWF - Austrian Science Fund",2020,18000,NA,FALSE,"Verlag der Österreichischen Akademie der Wissenschaften","A Shrine To Moses","978-3-7001-8648-9",NA,NA,"CC BY",FALSE,FALSE
"FWF - Austrian Science Fund",2020,13200,"10.1553/0x003be6ad",FALSE,"Verlag der Österreichischen Akademie der Wissenschaften","AIGEIRA 2. DIE MYKENISCHE AKROPOLIS. GRABUNGEN 1975–1980","978-3-7001-8583-3",NA,NA,"CC BY",TRUE,FALSE
"",,,"","","","","","","","","",""
"",,,"","","","","","","","","",""
"FWF - Austrian Science Fund",2020,9749,"10.14361/9783839456934",FALSE,"transcript Verlag","Arbeit an der Kultur","978-3-8376-5693-0","978-3-8376-5693-0","978-3-8394-5693-4","https://creativecommons.org/licenses/by/4.0/",TRUE,TRUE
"FWF - Austrian Science Fund",2020,14000,"10.1515/9783110677058",FALSE,"De Gruyter","Der grüne Kakadu","978-3-11-067705-8",NA,"978-3-11-067705-8","CC BY",TRUE,FALSE
"FWF - Austrian Science Fund",2020,14000,"10.1515/9783110712247",FALSE,"De Gruyter","Paracelsus","978-3-11-071224-7",NA,"978-3-11-071224-7","CC BY",TRUE,FALSE
"FWF - Austrian Science Fund",2020,9000,"10.46500/83533745",FALSE,"Wallstein Verlag","Aufklärung habsburgisch: Staatsbildung, Wissenskultur und Geschichtspolitik in Zentraleuropa 1750-1850","978-3-8353-3745-9",NA,NA,"CC BY-NC",TRUE,FALSE
"",,,"","","","","","","","","",""
"",,,"","","","","","","","","",""
"FWF - Austrian Science Fund",2020,10000,"10.25162/9783515128841",FALSE,"Franz Steiner Verlag","Bewertungen – Erwartungen – Gebrauch. Sprachgebrauchsnormen zur inneren Mehrsprachigkeit an der Universität","978-3-515-12884-1",NA,NA,"CC BY",TRUE,FALSE
"",,,"","","","","","","","","",""
"",,,"","","","","","","","","",""
"FWF - Austrian Science Fund",2020,10000,"10.7767/9783205212157",FALSE,"Böhlau","Die Este und das Heilige Römische Reich im langen 16. Jahrhundert","978-3-205-21214-0","978-3-205-21214-0","978-3-205-21215-7","CC BY",TRUE,FALSE
"FWF - Austrian Science Fund",2020,14000,"10.7767/9783205213048",FALSE,"Vandenhoeck & Ruprecht","Instruktionen und Ordnungen der Stiftsherrschaft Klosterneuburg","978-3-205-21303-1","978-3-205-21303-1","978-3-205-21304-8","CC BY",TRUE,FALSE
"FWF - Austrian Science Fund",2020,10000,NA,FALSE,"Verlag der Österreichischen Akademie der Wissenschaften","The Burial Mound Sites Of Imperial Central Tibet, Map Scale 1:800.000","978-3-7001-8561-1",NA,NA,"CC BY",FALSE,FALSE
