institution;period; euro ;doi;backlist_oa;publisher;book_title;isbn;isbn_print;isbn_electronic;license_ref;indexed_in_crossref;doab
FWF;2014; € 8.000,00 ;http://e-book.fwf.ac.at/o:553;FALSE;AMSTERDAM UNIVERSITY PRESS (AUP);Educational mobility of Second-Generation Turks;;;;CC BY;;
FWF;2014; € 18.000,00 ;http://e-book.fwf.ac.at/o:539;FALSE;BÖHLAU VERLAG;The First World War and the End of the Habsburg Monarchy, 1914-1918;;;;CC BY-NC-ND;;
FWF;2014; € 16.000,00 ;http://e-book.fwf.ac.at/o:613;FALSE;BÖHLAU VERLAG;Die Tagebücher der Kunsthistorikerin Erica Tietze-Conrat Bd. I;;;;CC BY-NC;;
FWF;2014; € 16.000,00 ;"http://e-book.fwf.ac.at/o:614, http://e-book.fwf.ac.at/o:615
";FALSE;BÖHLAU VERLAG;Die Tagebücher der Kunsthistorikerin E. Tietze-Conrat Bd. 2 u. 3;;;;CC BY-NC;;
FWF;2014; € 16.000,00 ;http://e-book.fwf.ac.at/o:550;FALSE;BÖHLAU VERLAG;Opera buffa und Spielkultur;;;;CC BY-NC;;
FWF;2014; € 16.000,00 ;http://e-book.fwf.ac.at/o:552;FALSE;BÖHLAU VERLAG;Freunde Roms und Völker der Finsternis;;;;CC BY-NC;;
FWF;2014; € 16.000,00 ;http://e-book.fwf.ac.at/o:560;FALSE;BÖHLAU VERLAG;Reguliertes Abenteuer. Missionarinnen in Südafrika nach 1945;;;;CC BY-NC;;
FWF;2014; € 14.000,00 ;https://e-book.fwf.ac.at/o:831;FALSE;BÖHLAU VERLAG;Philosophische Theologie im Umbruch. Band II/2;;;;CC BY-NC;;
FWF;2014; € 14.000,00 ;http://e-book.fwf.ac.at/o:601;FALSE;BÖHLAU VERLAG;Im nationalen Abwehrkampf der Grenzlanddeutschen;;;;CC BY-NC;;
FWF;2014; € 16.000,00 ;https://e-book.fwf.ac.at/o:832;FALSE;BÖHLAU VERLAG;Die Literaturen Südosteuropas - 15. bis frühes 20. Jh.;;;;CC BY-NC;;
FWF;2014; € 16.000,00 ;https://e-book.fwf.ac.at/o:807;FALSE;BÖHLAU VERLAG;Verwaltete Verwandtschaft;;;;CC BY-NC;;
FWF;2014; € 14.000,00 ;https://e-book.fwf.ac.at/o:890;FALSE;BÖHLAU VERLAG;Enzyklopädie der slowen. Kulturgeschichte in Kärnten, Band 1;;;;CC BY-NC;;
FWF;2014; € 14.000,00 ;https://e-book.fwf.ac.at/o:891;FALSE;BÖHLAU VERLAG;Enzyklopädie der slowen. Kulturgeschichte in Kärnten, Band 2;;;;CC BY-NC;;
FWF;2014; € 14.000,00 ;https://e-book.fwf.ac.at/o:892;FALSE;BÖHLAU VERLAG;Enzyklopädie der slowen. Kulturgeschichte in Kärnten, Band 3;;;;CC BY-NC;;
FWF;2014; € 16.000,00 ;https://e-book.fwf.ac.at/o:821;FALSE;BÖHLAU VERLAG;Ungleiche Entwicklung in Zentraleuropa;;;;CC BY-NC;;
FWF;2014; € 16.000,00 ;http://e-book.fwf.ac.at/o:566;FALSE;BÖHLAU VERLAG;Regesten Kaiser Friedrichs III. (1440-1493) nach Archiven und Bibliotheken geordnet;;;;CC BY-NC;;
FWF;2014; € 18.000,00 ;https://e-book.fwf.ac.at/o:934;FALSE;BÖHLAU VERLAG;The Spanish Connection. French and Flemish Merchant Networks;;;;CC BY;;
FWF;2014; € 14.000,00 ;http://e-book.fwf.ac.at/o:606;FALSE;BÖHLAU VERLAG;Die Wunden des Staates;;;;CC BY-NC;;
FWF;2014; € 14.000,00 ;https://e-book.fwf.ac.at/o:860;FALSE;BÖHLAU VERLAG;Mobiles Leben in der Erdgas- und Erdölindustrie;;;;CC BY-NC;;
FWF;2014; € 14.000,00 ;https://e-book.fwf.ac.at/o:814;FALSE;BÖHLAU VERLAG;Der Verein der Schriftstellerinnen und Künstlerinnen in Wien;;;;CC BY-NC;;
FWF;2014; € 14.000,00 ;https://e-book.fwf.ac.at/o:852;FALSE;BÖHLAU VERLAG;Giambattista Marinos Wort-Zucht-Peitschen;;;;CC BY-NC;;
FWF;2014; € 14.000,00 ;https://e-book.fwf.ac.at/o:823;FALSE;BÖHLAU VERLAG;Jahrbuch des Kunsthistorischen Museums Wien, Band 15;;;;CC BY-NC;;
