Institution;Period; EURO ;DOI;is_hybrid;Publisher;Journal_full_title;Funding Programme;Note
Austrian Science Fund (FWF);2021;3.730,79 ;10.1103/PhysRevX.10.021057;FALSE;AMERICAN PHYSICAL SOCIETY (APS);Physical Review X;Peer-Reviewed Publications ;
NA;NA;NA;NA;NA;NA;NA;NA;NA
Austrian Science Fund (FWF);2021;2.879,42 ;10.1074/mcp.RA120.002171;TRUE;AMERICAN SOCIETY FOR BIOCHEMISTRY AND MOLECULAR BIOLOGY (ASBMB);Molecular and Cellular Proteomics;Peer-Reviewed Publications ;
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
Austrian Science Fund (FWF);2021;2.515,31 ;10.1128/mBio.00904-21;FALSE;AMERICAN SOCIETY FOR MICROBIOLOGY (ASM);mBio;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.824,14 ;10.1128/mBio.02408-21;FALSE;AMERICAN SOCIETY FOR MICROBIOLOGY (ASM);mBio;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.871,80 ;10.1128/AEM.00715-18;TRUE;AMERICAN SOCIETY FOR MICROBIOLOGY (ASM);Applied and Environmental Microbiology;Peer-Reviewed Publications ;
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
Austrian Science Fund (FWF);2021;580,43 ;10.1145/3430524.3446071;TRUE;ASSOCIATION FOR COMPUTING MACHINERY (ACM);TEI '21: Proceedings of the Fifteenth International Conference on Tangible, Embedded, and Embodied Interaction;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;584,83 ;10.1145/3412841.3442021;TRUE;ASSOCIATION FOR COMPUTING MACHINERY (ACM);SAC '21: Proceedings of the 36th Annual ACM Symposium on Applied Computing;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;591,38 ;10.1145/3411764.3445191;TRUE;ASSOCIATION FOR COMPUTING MACHINERY (ACM);CHI '21: Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;727,56 ;10.1145/3340531.3412026;TRUE;ASSOCIATION FOR COMPUTING MACHINERY (ACM);CIKM '20: Proceedings of the 29th ACM International Conference on Information & Knowledge Management;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;729,70 ;10.1145/3437992.3439918;TRUE;ASSOCIATION FOR COMPUTING MACHINERY (ACM);CPP 2021: Proceedings of the 10th ACM SIGPLAN International Conference on Certified Programs and Proofs;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.028,35 ;10.1145/3385412.3385980;TRUE;ASSOCIATION FOR COMPUTING MACHINERY (ACM);Proceedings of the ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI) / 1996-2011, 1994;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.518,88 ;10.1167/iovs.61.14.31;FALSE;ASSOCIATION FOR RESEARCH IN VISION AND OPHTHALMOLOGY (ARVO);Investigative Ophthalmology and Visual Science;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;266,40 ;https://regener-online.de/journalcco/2021_2/pdf/ackerl-konstantin2021.pdf;FALSE;BERLIN REGENER PUBLISHING HOUSE ;Conflict & Communication Online;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.044,00 ;10.16910/jemr.13.2.10;FALSE;BERN OPEN PUBLISHING;Journal of Eye Movement Research;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.410,76 ;10.1186/s40658-021-00364-9;FALSE ;BIOMED CENTRAL (BMC) ;EJNMMI Physics;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.440,00 ;10.1186/s13068-020-01855-0;FALSE;BIOMED CENTRAL (BMC) ;Biotechnology for Biofuels;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.680,00 ;10.1186/s12915-021-01134-w;FALSE;BIOMED CENTRAL (BMC) ;BMC Biology;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.772,10 ;10.1186/s40694-021-00116-5;FALSE ;BIOMED CENTRAL (BMC) ;Fungal Biology and Biotechnology;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.772,10 ;10.1186/s40694-021-00119-2;FALSE ;BIOMED CENTRAL (BMC) ;Fungal Biology and Biotechnology;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.772,10 ;10.1186/s13063-020-04843-9;FALSE ;BIOMED CENTRAL (BMC) ;Trials;Peer-Reviewed Publications ;
