Institution  ; Period ; EURO ;DOI;is_hybrid;Publisher;Journal_full_title;Funding Programme;Notiz 
Austrian Science Fund (FWF);2022;4.597,66 ;10.1126/sciadv.abh1434;FALSE;AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE;Science Advances;Peer-Reviewed Publications;
Austrian Science Fund (FWF);2022;2.163,59 ;10.1126/sciadv.abl7412;FALSE;AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE;Science Advances;Peer-Reviewed Publications;
Austrian Science Fund (FWF);2022;4.992,14 ;10.1126/sciadv.abl8861;FALSE;AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE;Science Advances;Peer-Reviewed Publications;
Austrian Science Fund (FWF);2022;4.812,12 ;10.1126/sciadv.abj7293;FALSE;AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE;Science Advances;Peer-Reviewed Publications;
Austrian Science Fund (FWF);2022;1.500,00 ;10.1119/5.0058805;TRUE;AMERICAN ASSOCIATION OF PHYSICS TEACHERS;American Journal of Physics;Peer-Reviewed Publications;
Austrian Science Fund (FWF);2022;1.500,00 ;10.3847/2041-8213/ac42d0;TRUE;AMERICAN ASTRONOMICAL SOCIETY;The Astrophysical Journal Letters;Peer-Reviewed Publications;
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acs.accounts.2c00173;TRUE;AMERICAN CHEMICAL SOCIETY;Accounts of Chemical Research;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acs.accounts.2c00436;TRUE;AMERICAN CHEMICAL SOCIETY;Accounts of Chemical Research;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acs.accounts.2c00470;TRUE;AMERICAN CHEMICAL SOCIETY;Accounts of Chemical Research;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acsaem.2c00888;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Applied Energy Materials;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acs.jpcc.1c09986;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Applied Materials & Interfaces;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acsami.2c04599;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Applied Materials & Interfaces;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acsami.2c06293;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Applied Materials & Interfaces;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acsami.2c11649;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Applied Materials & Interfaces;Peer-Reviewed Publications;Transformative Agreement 
