Institution;Period; Euro ;DOI;FWF e-book library;Publisher;Book_title;ISBN;Funding Programme
Austrian Science Fund (FWF);2021;10.000,00 ;;https://e-book.fwf.ac.at/o:1572;BÖHLAU-VERLAG GES.M.B.H  CO.KG;Diplomatie aus dem Untergrund: Die merkwürdige Karriere des Alexander (Maurus) Horn(e) (1762 – 1820);978-3-205-21438-0;Stand-Alone Publications
Austrian Science Fund (FWF);2021;50.000,00 ;;;BÖHLAU-VERLAG GES.M.B.H  CO.KG;dQIÖG. Workflow für die Pez-Edition in ein hybriden Reihe;;Stand-Alone Publications
Austrian Science Fund (FWF);2021;13.000,00 ;;https://e-book.fwf.ac.at/o:1539;TAYLOR & FRANCIS;Early Printed Music and Material Culture in Central and Western Europe;978-0-367-35953-9;Stand-Alone Publications
Austrian Science Fund (FWF);2021;18.000,00 ;;https://e-book.fwf.ac.at/o:1713;VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN;Early West Tibetan Buddhist Monuments: Architecture, Art, History and Texts;978-3-7001-8777-6;Stand-Alone Publications
Austrian Science Fund (FWF);2021;46.025,74 ;;;;EDD Online 4.0: Vorbereitung und Veröffentlichung;;Stand-Alone Publications
Austrian Science Fund (FWF);2021;10.000,00 ;;https://e-book.fwf.ac.at/o:1726;EDITION TEXT + KRITIK;"Eduard Steuermann. ""Musiker und Virtuose"". Symposiumsbericht";978-3-86916-817-3;Stand-Alone Publications
Austrian Science Fund (FWF);2021;10.000,00 ;;https://e-book.fwf.ac.at/o:1573;BÖHLAU-VERLAG GES.M.B.H  CO.KG;Ein Fürstenleben zwischen Alltag und Aufruhr: Die französische Korrespondenz (1772–1801) des letzten Salzburger Fürsterzbischofs Hieronymus Colloredo mit seinem Bruder Gundaker;978-3-205-21462-5;Stand-Alone Publications
Austrian Science Fund (FWF);2021;10.000,00 ;;;VERLAG HOLZHAUSEN GMBH;Ein provinzialrömischer Kultplatz auf der Gradisce;;Stand-Alone Publications
Austrian Science Fund (FWF);2021;10.000,00 ;;https://e-book.fwf.ac.at/o:1598;BÖHLAU-VERLAG GES.M.B.H  CO.KG;Eine „unmögliche“ Ästhetik – Elfriede Jelinek im literarischen Feld;978-3-205-21485-4;Stand-Alone Publications
Austrian Science Fund (FWF);2021;18.000,00 ;;;VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN;Ernst Fuchs (1851-1930);;Stand-Alone Publications
Austrian Science Fund (FWF);2021;18.000,00 ;;;TRANSCRIPT VERLAG ROSWITHA GOST & DR. KARIN WERNER GBR;Erweiterte Choreographien / Choreographische Geschichten;;Stand-Alone Publications
Austrian Science Fund (FWF);2021;18.000,00 ;;https://e-book.fwf.ac.at/o:1600;VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN;Experimental, Acquisitional and Corpus Linguistic Approaches to the Study of Morphonotactics;978-3-7001-8714-1;Stand-Alone Publications
Austrian Science Fund (FWF);2021;10.000,00 ;;;FELIX MEINER VERLAG;Faktum, Faktizität, Wirklichkeit.;;Stand-Alone Publications
Austrian Science Fund (FWF);2021;10.000,00 ;;;VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN;Forschungen im pannonischen Donaukastell Ala Nova/Schwechat;;Stand-Alone Publications
Austrian Science Fund (FWF);2021;7.692,00 ;;https://e-book.fwf.ac.at/o:1580;VERLAG KARL ALBER IN DER VERLAG HERDER GMBH;Führt Moral unumgänglich zur Religion?: Zur Kritik der Kantischen Religionsphilosophie bei Jürgen Habermas – eine Entgegnung;978-3-495-49215-4;Stand-Alone Publications
Austrian Science Fund (FWF);2021;12.000,00 ;;;HOLLITZER WISSENSCHAFTSVERLAG;Georgij Efron. Tagebücher Bd. 1 (1940-41) Komm. Ausgabe;;Stand-Alone Publications
Austrian Science Fund (FWF);2021;10.000,00 ;;;HOLLITZER WISSENSCHAFTSVERLAG;Georgij Efron. Tagebücher Bd. 2 (1940-41) ;;Stand-Alone Publications
Austrian Science Fund (FWF);2021;10.000,00 ;;;VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN;Griechische Palimpseste im Katharinenkloster (Sinai);;Stand-Alone Publications
Austrian Science Fund (FWF);2021;14.000,00 ;;;VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN;Illuminierte Handschriften der UB Graz: 1225-1300;;Stand-Alone Publications
Austrian Science Fund (FWF);2021;10.000,00 ;;;BRILL ÖSTERREICH GMBH. – BÖHLAU VERLAG;Internierung und Militärdienst.;;Stand-Alone Publications
Austrian Science Fund (FWF);2021;9.843,00 ;;;VERLAG WALTER DE GRUYTER GMBH;LAW ON TRIAL: Kunst und Rechtsprechung;;Stand-Alone Publications
