"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","fwf_url","license_ref","indexed_in_crossref","doab"
"FWF",2020,18000.00,,FALSE,"VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN","A Shrine To Moses","978-3-7001-8648-9",,"https://e-book.fwf.ac.at/o:1527","CC BY",,
"FWF",2020,13200.00,,FALSE,"VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN","Die Mykenische Akropolis. Grabungen 1975–1980: Stratigraphie Und Bebauung","978-3-7001-8583-3",,"https://e-book.fwf.ac.at/o:1468","CC BY",,
"FWF",2020,10000.00,,FALSE,"BÖHLAU-VERLAG GES.M.B.H  CO.KG","Apostolo Zeno, Poesie Drammatiche. Parte 1, Vol. 1",,,,"CC BY",,
"FWF",2020,10000.00,,FALSE,"BÖHLAU-VERLAG GES.M.B.H  CO.KG","Apostolo Zeno, Poesie Drammatiche. Parte 2, Vol. 2",,,,"CC BY",,
"FWF",2020,9749.00,,FALSE,"TRANSCRIPT VERLAG ROSWITHA GOST & DR. KARIN WERNER GBR","Arbeit An Der Kultur",,,,"CC BY",,
"FWF",2020,14000.00,"10.1515/9783110677058",FALSE,"VERLAG WALTER DE GRUYTER GMBH","Der Grüne Kakadu: Historisch-Kritische Ausgabe","978-3-11-067626-6",,"https://e-book.fwf.ac.at/o:1478","CC BY",,
"FWF",2020,14000.00,"10.1515/9783110712247",FALSE,"VERLAG WALTER DE GRUYTER GMBH","Arthur Schnitzler: Paracelsus. Historisch-Kritische Ausgabe","978-3-11-071104-2",,"https://e-book.fwf.ac.at/o:1521","CC BY",,
"FWF",2020,9000.00,"10.46500/83533745",FALSE,"WALLSTEIN VERLAG","Aufklärung Habsburgisch","978-3-8353-3745-9",,"https://e-book.fwf.ac.at/o:1524","CC BY-NC",,
"FWF",2020,10000.00,,FALSE,"VERLAG WALTER DE GRUYTER GMBH","Aussprachenormen Des Französischen: Eine Perzeptive Studie",,,,"CC BY",,
"FWF",2020,14000.00,,FALSE,"BÖHLAU-VERLAG GES.M.B.H  CO.KG","Bauhaus In Wien? Design Von Friedl Dicker Und Franz Singer",,,,"CC BY-NC",,
"FWF",2020,10000.00,"10.25162/9783515128841",FALSE,"FRANZ STEINER VERLAG GMBH","Bewertungen – Erwartungen – Gebrauch","978-3-515-12871-1 8",,"https://e-book.fwf.ac.at/o:1525","CC BY",,
"FWF",2020,10000.00,,FALSE,"GEORG-ECKERT-INSTITUT FÜR INTERNATIONALE SCHULBUCHFORSCHUNG","Bildung - Medien - Mensch. Mündigkeit Im Digitalen",,,,"CC BY",,
"FWF",2020,18000.00,,FALSE,"VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN","Chandrakirtis Madhyamakavatarabhasya, Kapitel 1 Bis 5",,,,"CC BY",,
"FWF",2020,10000.00,,FALSE,"BÖHLAU-VERLAG GES.M.B.H  CO.KG","Die Este Und Das Heilige Römische Reich Im Langen 16. Jahrhundert","978-3-205-21214-0",,"https://e-book.fwf.ac.at/o:1488","CC BY",,
"FWF",2020,14000.00,,FALSE,"BÖHLAU-VERLAG GES.M.B.H  CO.KG","Die Familien-Fideikommissbibliothek","978-3-205-21303-1",,"https://e-book.fwf.ac.at/o:1530","CC BY",,
"FWF",2020,10000.00,,FALSE,"VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN","The Burial Mound Sites Of Imperial Central Tibet, Map Scale 1:800.000","978-3-7001-8561-1",,"https://e-book.fwf.ac.at/o:1479","CC BY",,
"FWF",2020,10000.00,,FALSE,"BÖHLAU-VERLAG GES.M.B.H  CO.KG","Die Kaiserin. Zwischen Reich Und Dynastie","978-3-205-21337-6",,"https://e-book.fwf.ac.at/o:1550","CC BY",,
"FWF",2020,2800.00,,FALSE,"INSTITUTO GIULIANO DI STORIA","Die Kriegserinnerungen Von Alojzij Res","978-88-944276-3-9",,"https://e-book.fwf.ac.at/o:1543","CC BY",,
"FWF",2020,10000.00,,FALSE,"VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN","Die Mittelalterlichen Handschriften Im Kloster Neustift","978-3-7001-8625-0",,"https://e-book.fwf.ac.at/o:1544","CC BY",,
"FWF",2020,10000.00,"10.1553/0x003ba901",FALSE,"VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN","The Ontological Nature Of Part-Whole Oscillations: An Interdisciplinary Determination","978-3-7001-8592-5",,"https://e-book.fwf.ac.at/o:1451","CC BY",,
"FWF",2020,11000.00,,FALSE,"OXFORD UNIVERSITY PRESS (OUP)","Empires And Communities In The Post-Roman And Islamic World",,,,"CC BY-NC",,
"FWF",2020,10000.00,,FALSE,"VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN","Ernst Fuchs (1851-1930) und die Weltgeltung der Wiener Ophthalmologischen Schule um 1900: Eine biografische Dokumentation mit Ergänzungen und Erläuterungen","978-3-7001-8602-1",,"https://e-book.fwf.ac.at/o:1551","CC BY",,
"FWF",2020,10000.00,,FALSE,"BÖHLAU-VERLAG GES.M.B.H  CO.KG","Europäische Bild- Und Buchkultur Im 13. Jahrhundert","978-3-205-21192-1",,"https://e-book.fwf.ac.at/o:1485","CC BY",,
"FWF",2020,10000.00,,FALSE,"VERLAG WALTER DE GRUYTER GMBH","Existentialismus In Österreich: Kultureller Transfer Und Literarische Resonanz","978-3-11-068197-0",,"https://e-book.fwf.ac.at/o:1501","CC BY",,
"FWF",2020,10000.00,,FALSE,"VANDENHOECK & RUPRECHT","Der Gerettete Retter: Exodus 1–2 In Patristischer Und Rabbinischer Interpretation","978-3-666-55290-8",,"https://e-book.fwf.ac.at/o:1518","CC BY",,
"FWF",2020,10000.00,"10.1007/978-3-030-61728-8",FALSE,"SPRINGER VERLAG","Community And Identity In Contemporary Technosciences","978-3-030-61728-8",,"https://e-book.fwf.ac.at/o:1532","CC BY",,
"FWF",2020,8100.00,"10.1515/9783110520620",FALSE,"VERLAG WALTER DE GRUYTER GMBH","Geschichte Der Krim: Iphigenie Und Putin Auf Tauris","978-3-11-051808-5",,"https://e-book.fwf.ac.at/o:1505","CC BY",,
"FWF",2020,18200.00,,FALSE,"ROUTLEDGE, TAYLOR & FRANCIS GROUP","Geschichtsbilder. Künstlerische Historiografie Der Gegenwart",,,,"CC BY-NC",,
"FWF",2020,9000.00,,FALSE,"DR. LUDWIG REICHERT VERLAG","Gesellschaft Und Wirtschaft Im Archaischen Süditalien",,,,"CC BY-NC",,
"FWF",2020,13900.00,,FALSE,"VERLAG WALTER DE GRUYTER GMBH","Gesunde Stadt. Die Assanierung Der Stadt Wien 1934-38",,,,"CC BY",,
"FWF",2020,8500.00,"10.23799/97837410O1345",FALSE,"C.H. BECK VERLAG","Günther Anders: Schriften Zu Kunst Und Film","978-3-406-74771-7",,"https://e-book.fwf.ac.at/o:1482 DOI: 10.23799/97837410O1345","CC BY",,
"FWF",2020,13000.00,,FALSE,"PARK BOOKS AG","Hermann Czech. Architekt In Wien",,,,"CC BY-NC",,
