institution,period,euro,DOI,is_hybrid,publisher,journal_full_title,issn,license_ref,agreement,opt_out
TU Berlin,2020,2910.73,10.1039/d0cy01528h,TRUE,Royal Society of Chemistry (RSC),Catalysis Science & Technology,,http://creativecommons.org/licenses/by-nc/3.0/,RSC Read and Publish,FALSE
TU Berlin,2020,2910.73,10.1039/d0sm01238f,TRUE,Royal Society of Chemistry (RSC),Soft Matter,,http://creativecommons.org/licenses/by/3.0/,RSC Read and Publish,FALSE
TU Berlin,2020,2910.73,10.1039/c9cy02285f,TRUE,Royal Society of Chemistry (RSC),Catalysis Science & Technology,,http://creativecommons.org/licenses/by-nc/3.0/,RSC Read and Publish,FALSE
TU Berlin,2020,2910.73,10.1039/c9cy01920k,TRUE,Royal Society of Chemistry (RSC),Catalysis Science & Technology,,http://creativecommons.org/licenses/by/3.0/,RSC Read and Publish,FALSE
TU Berlin,2020,2910.73,10.1039/c9ta09775a,TRUE,Royal Society of Chemistry (RSC),Journal of Materials Chemistry A,,http://creativecommons.org/licenses/by-nc/3.0/,RSC Read and Publish,FALSE
TU Berlin,2020,2910.73,10.1039/c9cy02579k,TRUE,Royal Society of Chemistry (RSC),Catalysis Science & Technology,,http://creativecommons.org/licenses/by/3.0/,RSC Read and Publish,FALSE
TU Berlin,2020,2910.73,10.1039/d0cp02110e,TRUE,Royal Society of Chemistry (RSC),Physical Chemistry Chemical Physics,,http://creativecommons.org/licenses/by-nc/3.0/,RSC Read and Publish,FALSE
TU Berlin,2020,2910.73,10.1039/d0ee01125h,TRUE,Royal Society of Chemistry (RSC),Energy & Environmental Science,,http://creativecommons.org/licenses/by/3.0/,RSC Read and Publish,FALSE
TU Berlin,2020,2910.73,10.1039/d0nr03170d,TRUE,Royal Society of Chemistry (RSC),Nanoscale,,http://creativecommons.org/licenses/by/3.0/,RSC Read and Publish,FALSE
TU Berlin,2020,2910.73,10.1039/d0sm00616e,TRUE,Royal Society of Chemistry (RSC),Soft Matter,,http://creativecommons.org/licenses/by/3.0/,RSC Read and Publish,FALSE
TU Berlin,2020,2910.73,10.1039/d0ee01013h,TRUE,Royal Society of Chemistry (RSC),Energy & Environmental Science,,http://creativecommons.org/licenses/by/3.0/,RSC Read and Publish,FALSE
TU Berlin,2020,2910.73,10.1039/d0cc03229h,TRUE,Royal Society of Chemistry (RSC),Chemical Communications,,http://creativecommons.org/licenses/by/3.0/,RSC Read and Publish,FALSE
TU Berlin,2020,2910.73,10.1039/d0cp02919j,TRUE,Royal Society of Chemistry (RSC),Physical Chemistry Chemical Physics,,http://creativecommons.org/licenses/by-nc/3.0/,RSC Read and Publish,FALSE
TU Berlin,2020,2910.73,10.1039/d0ja00208a,TRUE,Royal Society of Chemistry (RSC),Journal of Analytical Atomic Spectrometry,,http://creativecommons.org/licenses/by/3.0/,RSC Read and Publish,FALSE
TU Berlin,2020,2910.73,10.1039/d0cp02572k,TRUE,Royal Society of Chemistry (RSC),Physical Chemistry Chemical Physics,,http://creativecommons.org/licenses/by-nc/3.0/,RSC Read and Publish,FALSE
TU Berlin,2020,2910.73,10.1039/d0cs00458h,TRUE,Royal Society of Chemistry (RSC),Chemical Society Reviews,,http://creativecommons.org/licenses/by/3.0/,RSC Read and Publish,FALSE
TU Berlin,2020,2910.73,10.1039/d0cp03650a,TRUE,Royal Society of Chemistry (RSC),Physical Chemistry Chemical Physics,,http://creativecommons.org/licenses/by-nc/3.0/,RSC Read and Publish,FALSE
TU Berlin,2020,2910.73,10.1039/d0cs00815j,TRUE,Royal Society of Chemistry (RSC),Chemical Society Reviews,,http://creativecommons.org/licenses/by-nc/3.0/,RSC Read and Publish,FALSE
TU Berlin,2020,2910.73,10.1039/d0gc02779k,TRUE,Royal Society of Chemistry (RSC),Green Chemistry,,http://creativecommons.org/licenses/by/3.0/,RSC Read and Publish,FALSE
TU Berlin,2020,2910.73,10.1039/d0ee01912g,TRUE,Royal Society of Chemistry (RSC),Energy & Environmental Science,,http://creativecommons.org/licenses/by-nc/3.0/,RSC Read and Publish,FALSE
TU Berlin,2020,2910.73,10.1039/d0cp03233f,TRUE,Royal Society of Chemistry (RSC),Physical Chemistry Chemical Physics,,http://creativecommons.org/licenses/by/3.0/,RSC Read and Publish,FALSE
TU Berlin,2020,2910.73,10.1039/d0nr04745g,TRUE,Royal Society of Chemistry (RSC),Nanoscale,,http://creativecommons.org/licenses/by-nc/3.0/,RSC Read and Publish,FALSE
TU Berlin,2020,2910.73,10.1039/d0cs00965b,TRUE,Royal Society of Chemistry (RSC),Chemical Society Reviews,,http://creativecommons.org/licenses/by/3.0/,RSC Read and Publish,FALSE
TU Berlin,2020,2910.73,10.1039/d0cp05299j,TRUE,Royal Society of Chemistry (RSC),Physical Chemistry Chemical Physics,,http://creativecommons.org/licenses/by/3.0/,RSC Read and Publish,FALSE
TU Berlin,2020,2910.73,10.1039/d0gc02665d,TRUE,Royal Society of Chemistry (RSC),Green Chemistry,,http://creativecommons.org/licenses/by/3.0/,RSC Read and Publish,FALSE
TU Berlin,2020,2910.73,10.1039/c9cp06568g,TRUE,Royal Society of Chemistry (RSC),Physical Chemistry Chemical Physics,,http://creativecommons.org/licenses/by-nc/3.0/,RSC Read and Publish,FALSE
