institution;period;euro;DOI;is_hybrid;opt_out;Publisher;
Universität Greifswald;2020; 3.577,27;10.1111/bor.12439;TRUE;TRUE;Wiley;
Universität Greifswald;2020; 3.577,27;10.1111/dme.14389;TRUE;TRUE;Wiley;
Universität Greifswald;2020; 3.577,27;10.1111/odi.13697;TRUE;TRUE;Wiley;
