institution;period;euro;doi;is_hybrid;opt_out;publisher;journal_full_title;issn;url
Technische Universität Braunschweig;2022;1931,468175;10.3390/su14052993;FALSE;FALSE;MDPI;Sustainability;2071-1050;
Technische Universität Braunschweig;2021;1730,14;10.1038/s41598-020-70153-4;FALSE;FALSE;Springer;Scientific Reports;2045-2322;
Technische Universität Braunschweig;2021;1730,14;10.1038/s41598-020-72159-4;FALSE;FALSE;Springer;Scientific Reports;2045-2322;
Technische Universität Braunschweig;2021;2041,6;10.1002/elsc.202000060;FALSE;FALSE;Wiley;Engineering in Life Sciences;1618-2863;
Technische Universität Braunschweig;2021;928;10.1007/s10444-019-09735-4;FALSE;FALSE;Springer;Advanced Modeling and Simulation in Engineering Sciences;2213-7467;
Technische Universität Braunschweig;2021;2953,36;10.1038/s42005-020-00466-3;FALSE;FALSE;Springer;Communications Physics;2399-3650;
Technische Universität Braunschweig;2021;1197,12;10.1186/s13636-020-00180-6;FALSE;FALSE;Springer;EURASIP Journal on Audio, Speech, and Music Processing;1687-4722;
Technische Universität Braunschweig;2021;3364;10.1038/s41467-020-18914-7;FALSE;FALSE;Springer;Nature Communications;2041-1723;
Technische Universität Braunschweig;2021;2000;10.3389/fbioe.2021.615639;FALSE;FALSE;Frontiers;Frontiers in Bioengineering and Biotechnology;2296-4185;
Technische Universität Braunschweig;2021;1730,14;10.1038/s41598-020-75431-9;FALSE;FALSE;Springer;Scientific Reports;2045-2322;
Technische Universität Braunschweig;2021;928;10.1186/s40323-020-00185-y;FALSE;FALSE;Springer;Advanced Modeling and Simulation in Engineering Sciences;2213-7467;
Technische Universität Braunschweig;2021;1904;10.1049/itr2.12095;FALSE;FALSE;Wiley;IET Intelligent Transport Systems;1751-9578;
Technische Universität Braunschweig;2021;1197,12;10.1186/s13634-020-00707-1;FALSE;FALSE;Springer;EURASIP Journal on Advances in Signal Processing;1687-6180;
Technische Universität Braunschweig;2021;1730,14;10.1038/s41598-020-78425-9;FALSE;FALSE;Springer;Scientific Reports;2045-2322;
Technische Universität Braunschweig;2021;2213,4;10.5194/tc-15-149-2021;FALSE;FALSE;Copernicus;The Cryosphere;1994-0424;
Technische Universität Braunschweig;2021;991,48;10.3390/a14010021;FALSE;FALSE;MDPI;Algorithms;1999-4893;
Technische Universität Braunschweig;2021;1576,75;10.1080/13873954.2021.2020296;FALSE;FALSE;Taylor & Francis;Mathematical and Computer Modelling of Dynamical Systems;1744-5051;
