"Institution";"Period";"EURO";"DOI";"Publisher";"Journal";"ISSN.1";"ISSN.2";"base.url";"record.id"
"Heidelberg University";2014;804,75;"10.3390/su6010336";"MDPI";"Sustainability";"2017-1050";"NA";"http://katalog.ub.uni-heidelberg.de/titel/";67659193
"Heidelberg University";2014;1216,06;"10.1371/journal.pone.0089468";"PLOS";"PLOS ONE";"1932-3203";"NA";"http://katalog.ub.uni-heidelberg.de/titel/";67662800
"Heidelberg University";2014;1244,74;"10.1038/srep03803";"Nature Publ. Group";"Scientific reports";"2045-2322";"NA";"http://katalog.ub.uni-heidelberg.de/titel/";67676263
"Heidelberg University";2014;1513,68;"10.1186/1471-2407-14-67";"BMC";"BMC Cancer";"1471-2407";"NA";"http://katalog.ub.uni-heidelberg.de/titel/";67674205
"Heidelberg University";2014;1513,68;"10.1186/1471-2482-14-7";"BMC";"BMC Surgery";"1471-2482";"NA";"http://katalog.ub.uni-heidelberg.de/titel/";67678151
"Heidelberg University";2014;476;"10.3402/gha.v7.23445";"CoAction Publ.";"Global Health Action";"1654-9880";"NA";"http://katalog.ub.uni-heidelberg.de/titel/";67645601
"Heidelberg University";2014;1500;"10.1186/1471-230X-14-20";"BMC";"BMC Gastroenterology";"1471-230X";"NA";"http://katalog.ub.uni-heidelberg.de/titel/";67662799
"Heidelberg University";2014;999,13;"10.3390/rs6021739";"MDPI";"Remote Sensing";"2072-4292";"NA";"http://katalog.ub.uni-heidelberg.de/titel/";67671675
"Heidelberg University";2014;1904;"10.3389/fnana.2014.00011";"Frontiers Media";"Frontiers in neuroanatomy";"1662-5129";"NA";"http://katalog.ub.uni-heidelberg.de/titel/";67679028
"Heidelberg University";2014;1904;"10.3389/fpsyt.2014.00022";"Frontiers Media";"Frontiers inPsychiatry /Neurodegeneration";"1664-0640";"NA";"http://katalog.ub.uni-heidelberg.de/titel/";67736939
"Heidelberg University";2014;1561,28;"10.1186/s12974-014-0163-x";"BMC";"Journal of Neuroinflammation";"1742-2094";"NA";"http://katalog.ub.uni-heidelberg.de/titel/";67736941
"Heidelberg University";2014;1337,56;"10.1186/1748-717X-9-95";"BMC";"Radiation oncology";"1748-717X";"NA";"http://katalog.ub.uni-heidelberg.de/titel/";67739374
"Heidelberg University";2014;1656,48;"10.5194/cpd-10-761-2014";"Copernicus";"Climate of the past";"1814-9332";"NA";"http://katalog.ub.uni-heidelberg.de/titel/";67739836
"Heidelberg University";2014;1436;"10.2147/DDDT.S59594";"Dovepress";"Drug design, development and therapy";"1177-8881";"NA";"http://katalog.ub.uni-heidelberg.de/titel/";67739375
"Heidelberg University";2014;1408,96;"10.1186/1477-7827-12-53";"BMC";"Reproductive Biology and Endocrinology";"1477-7827";"NA";"http://katalog.ub.uni-heidelberg.de/titel/";67745498
"Heidelberg University";2014;1185,32;"10.1371/journal.pone.0093600";"PLOS";"PLOS ONE";"1932-3203";"NA";"http://katalog.ub.uni-heidelberg.de/titel/";67745501
"Heidelberg University";2014;1172,89;"10.1371/journal.pone.0093551";"PLOS";"PLOS ONE";"1932-3203";"NA";"http://katalog.ub.uni-heidelberg.de/titel/";67745560
"Heidelberg University";2014;1731,45;"10.1186/1757-1146-7-13";"BMC";"Journal of Foot and Ankle Research";"1757-1146";"NA";"http://katalog.ub.uni-heidelberg.de/titel/";67745529
"Heidelberg University";2014;1513,68;"10.1186/s12888-014-0210-2";"BMC";"BMC Psychiatry";"1471-244X";"NA";"http://katalog.ub.uni-heidelberg.de/titel/";67745512
"Heidelberg University";2014;1513,68;"10.1186/1471-2407-14-495";"BMC";"BMC Cancer";"1471-2407";"NA";"http://katalog.ub.uni-heidelberg.de/titel/";67744268
"Heidelberg University";2014;1804,04;"10.1186/1741-7007-12-44";"BMC";"BMC Biology";"1741-7007";"NA";"http://katalog.ub.uni-heidelberg.de/titel/";67744267
"Heidelberg University";2014;994,84;"10.1186/2051-5960-2-36";"BMC";"Acta Neuropathologica communications";"2051-5960";"NA";"http://katalog.ub.uni-heidelberg.de/titel/";67744266
