"__fact_key__","institution","period","publisher","journal_full_title","ISSN","doi","is_hybrid","country","euro"
"Potsdam U","Potsdam U",2021,"American Chemical Society","ACS Omega","2470-1343","10.1021/acsomega.1c01700",0,"DEU",1256.02
"Potsdam U","Potsdam U",2021,"MDPI AG","Antioxidants","2076-3921","10.3390/antiox10050711",0,"DEU",1931.47
"Potsdam U","Potsdam U",2021,"MDPI AG","Applied Sciences","1454-5101","10.3390/app11209359",0,"DEU",1931.47
"Potsdam U","Potsdam U",2021,"Copernicus GmbH","Biogeosciences","1726-4189","10.5194/bg-18-5903-2021",0,"DEU",2290.75
"Potsdam U","Potsdam U",2021,"MDPI AG","Biomedicines","2227-9059","10.3390/biomedicines9050449",0,"DEU",1931.47
"Potsdam U","Potsdam U",2021,"MDPI AG","Biomolecules","2218-273X","10.3390/biom11091305",0,"DEU",1931.47
"Potsdam U","Potsdam U",2021,"Springer Nature","BMC Bioinformatics","1471-2105","10.1186/s12859-021-04308-z",0,"DEU",1763.72
"Potsdam U","Potsdam U",2021,"Springer Nature","BMC Geriatrics","1471-2318","10.1186/s12877-021-02206-w",0,"DEU",1989.68
"Potsdam U","Potsdam U",2021,"Springer Nature","BMC Pediatrics","1471-2431","10.1186/s12887-021-02869-9",0,"DEU",1894.48
"Potsdam U","Potsdam U",2021,"Springer Nature","BMC Psychiatry","1471-244X","10.1186/s12888-021-03458-x",0,"DEU",1960.79
"Potsdam U","Potsdam U",2021,"Springer Nature","BMC Public Health","1471-2458","10.1186/s12913-021-06622-x",0,"DEU",2010.06
"Potsdam U","Potsdam U",2021,"Springer Nature","BMC Research Notes","1756-0500","10.1186/s13104-021-05843-x",0,"DEU",1251.36
"Potsdam U","Potsdam U",2021,"Springer Nature","BMC Sports Science, Medicine and Rehabilitation","1758-2555","10.1186/s13102-021-00249-5",0,"DEU",1665.19
"Potsdam U","Potsdam U",2021,"Springer Nature","BMC Sports Science, Medicine and Rehabilitation","1758-2555","10.1186/s13102-021-00285-1",0,"DEU",1665.19
"Potsdam U","Potsdam U",2021,"Springer Nature","BMC Sports Science, Medicine and Rehabilitation","1758-2555","10.1186/s13102-021-00243-x",0,"DEU",1665.19
"Potsdam U","Potsdam U",2021,"Springer Nature","BMC Sports Science, Medicine and Rehabilitation","1758-2555","10.1186/s13102-021-00352-7",0,"DEU",1665.19
"Potsdam U","Potsdam U",2021,"Springer Nature","BMC Sports Science, Medicine and Rehabilitation","1758-2555","10.1186/s13102-021-00391-0",0,"DEU",1665.19
"Potsdam U","Potsdam U",2021,"Springer Nature","Business Research","1866-8658","10.1007/s40685-020-00136-8",0,"DEU",1160.00
"Potsdam U","Potsdam U",2021,"Springer Nature","Communications Earth & Envrionment","2662-4435","10.1038/s43247-021-00232-5",0,"DEU",2463.30
"Potsdam U","Potsdam U",2021,"Springer Nature","Comparative Migration Studies","2214-594X","10.1186/s40878-021-00273-x",0,"DEU",913.92
"Potsdam U","Potsdam U",2021,"MDPI AG","Data","2306-5729","10.3390/data6090095",0,"DEU",1352.03
"Potsdam U","Potsdam U",2021,"MDPI AG","Diagnostics","2075-4418","10.3390/diagnostics11060923",0,"DEU",1502.26
"Potsdam U","Potsdam U",2021,"MDPI AG","Diagnostics","2075-4418","10.3390/diagnostics11111973",0,"DEU",1545.18
"Potsdam U","Potsdam U",2021,"Copernicus GmbH","Earth System Dynamics","2190-4987","10.5194/esd-12-151-2021",0,"DEU",1924.23
"Potsdam U","Potsdam U",2021,"Wiley-Blackwell","Ecography","1600-0587","10.1111/ecog.05689",0,"DEU",1999.20
"Potsdam U","Potsdam U",2021,"Wiley-Blackwell","Ecography","1600-0587","10.1111/ecog.05787",0,"DEU",1999.20
"Potsdam U","Potsdam U",2021,"Wiley-Blackwell","Ecology and Evolution","2045-7758","10.1002/ece3.7805",0,"DEU",1713.60
"Potsdam U","Potsdam U",2021,"Wiley-Blackwell","Ecology and Evolution","2045-7758","10.1002/ece3.7809",0,"DEU",1713.60
"Potsdam U","Potsdam U",2021,"Wiley-Blackwell","Ecology and Evolution","2045-7758","10.1002/ece3.8046",0,"DEU",1713.60
"Potsdam U","Potsdam U",2021,"Wiley-Blackwell","Ecology and Evolution","2045-7758","10.1002/ece3.8103",0,"DEU",1713.60
"Potsdam U","Potsdam U",2021,"Wiley-Blackwell","Ecology and Evolution","2045-7758","10.1002/ece3.7485",0,"DEU",1370.88
"Potsdam U","Potsdam U",2021,"Wiley-Blackwell","Ecology and Evolution","2045-7758","10.1002/ece3.7287",0,"DEU",1713.60
"Potsdam U","Potsdam U",2021,"Wiley-Blackwell","Ecology and Evolution","2045-7758","10.1002/ece3.8214",0,"DEU",1713.60
"Potsdam U","Potsdam U",2021,"PAGEPress Publications","European Journal of Translational Myology","2037-7452","10.4081/ejtm.2021.9553",0,"DEU",416.50
"Potsdam U","Potsdam U",2021,"Wiley-Blackwell","Evolutionary Applications","1752-4563","10.1111/eva.13229",0,"DEU",2332.40
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Behavioral Neuroscience","1662-5153","10.3389/fnbeh.2021.779080",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Blockchain","2624-7852","10.3389/fbloc.2021.758169",0,"DEU",1126.19
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Cell and Developmental Biology","2296-634X","10.3389/fcell.2021.731101",0,"DEU",1811.70
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Cell and Developmental Biology","2296-634X","10.3389/fcell.2021.642840",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Communication","2297-900X","10.3389/fcomm.2021.604951",0,"DEU",930.33
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Earth Science","2296-6463","10.3389/feart.2021.628315",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Earth Science","2296-6463","10.3389/feart.2021.758606",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Earth Science","2296-6463","10.3389/feart.2021.683010",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Ecology and Evolution","2296-701X","10.3389/fevo.2021.661971",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Ecology and Evolution","2296-701X","10.3389/fevo.2021.779825",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Education","2504-284X","10.3389/feduc.2021.619098",0,"DEU",930.33
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Education","2504-284X","10.3389/feduc.2021.722169",0,"DEU",930.33
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Microbiology","1664-302X","10.3389/fmicb.2021.726138",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Physiology","1664-042X","10.3389/fphys.2021.638180",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Physiology","1664-042X","10.3389/fphys.2021.654755",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Physiology","1664-042X","10.3389/fphys.2021.686744",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Physiology","1664-042X","10.3389/fphys.2021.716981",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Physiology","1664-042X","10.3389/fphys.2021.688385",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Physiology","1664-042X","10.3389/fphys.2021.650507",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Physiology","1664-042X","10.3389/fphys.2021.617497",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Physiology","1664-042X","10.3389/fphys.2021.715417",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Physiology","1664-042X","10.3389/fphys.2021.668437",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Physiology","1664-042X","10.3389/fphys.2021.730945",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Physiology","1664-042X","10.3389/fphys.2021.822024",0,"DEU",2078.17
