Institution,Period,EURO,DOI,Publisher,Journal,ISSN1,ISSN2,base_url,record_id
"Universität Potsdam",2016,1440.03,10.1371/journal.pone.0149924,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1551.75,10.3389/fpsyg.2016.00027,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1551.75,10.3389/fpsyg.2016.00101,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1593.10,10.1371/journal.pone.0149870,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1670.76,"10.1088/1367-2630/18/2/023009 ",NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1531.15,10.3389/fpsyg.2016.00280,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1531.15,10.3389/fpls.2016.00264,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1440.03,10.1371/JOURNAL.PONE.0150165,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1503.86,10.3389/fpsyg.2016.00403,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1583.01,10.1155/2016/8032180,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1575.56,10.1186/s13007-016-0125-7,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1386.35,10.1038/srep24861,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1564.93,10.3390/ijms17040596,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1820.70,10.1002/ece3.2172,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1142.40,10.3389/fpsyg.2016.00632,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1386.35,10.1038/srep26832,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1531.16,10.3389/fpsyg.2016.00316,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1550,10.1371/journal.pone.0147392,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1462.25,10.5751/ES-08547-210251,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1528.53,10.3389/fpsyg.2016.00838,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1386.35,10.1038/srep28557,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1603.62,10.1371/JOURNAL.PONE.0156209,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1856.40,10.1088/1748-9326/11/7/074005,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1386.35,10.1038/srep30520,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1984.30,10.1063/1.4961253,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1390.30,10.1088/1367-2630/18/8/083037,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1520.87,10.3389/fpsyg.2016.01429,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1398,10.1038/srep36443,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1661.24,10.1186/s12887-016-0727-2,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,2023,10.3389/fpsyg.2016.01308,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1661.24,10.1186/s13011-016-0079-9,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1612.52,10.1371/journal.pone.0162792,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,224.21,10.1107/S2056989016018727,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1661.24,10.1186/s13102-016-0064-7,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1400,10.1038/srep37346,NA,NA,NA,NA,NA,NA
"Universität Potsdam",2016,1999.20,10.3389/fpsyg.2016.01354,NA,NA,NA,NA,NA,NA
