"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","url"
"University of Regensburg","2011","978","10.3748/wjg.v17.i13.1739" ,"FALSE","Baishideng","World Journal of Gastroenterology (WJG)","","","","http://epub.uni-regensburg.de/22419/"
"University of Regensburg","2011","900","10.3389/fnsys.2011.00088" ,"FALSE","Frontiers Media SA","Frontiers in Systems Neuroscience","","","","http://epub.uni-regensburg.de/23732/"
"University of Regensburg","2011","743.07","10.1088/1367-2630/13/6/063033" ,"FALSE","IOP Publishing","New Journal of Physics","","","","http://epub.uni-regensburg.de/21616/"
"University of Regensburg","2011","374.77","10.1088/1367-2630/13/6/063020" ,"FALSE","IOP Publishing","New Journal of Physics","","","","http://epub.uni-regensburg.de/20942/"
"University of Regensburg","2011","120.63","10.1107/S1600536811013997" ,"FALSE","International Union of Crystallography","Acta Crystallographica Section E","","","","http://epub.uni-regensburg.de/20975/"
"University of Regensburg","2011","129.53","10.1107/S1600536811041237" ,"FALSE","International Union of Crystallography","Acta Crystallographica Section E","","","","http://epub.uni-regensburg.de/23726/"
"University of Regensburg","2011","687.17","10.3390/ma4071238" ,"FALSE","MDPI","Materials","","","","http://epub.uni-regensburg.de/21554/"
"University of Regensburg","2011","2159.85","10.1093/nar/gkr528" ,"FALSE","Oxford University Press","Nucleic Acids Research","","","","http://epub.uni-regensburg.de/21967/"
"University of Regensburg","2011","1267.35","10.1093/nar/gkr263" ,"FALSE","Oxford University Press","Nucleic Acids Research","","","","http://epub.uni-regensburg.de/21623/"
"University of Regensburg","2011","1559.14","10.1371/journal.ppat.1002016" ,"FALSE","Public Library of Science","PLoS Pathogens","","","","http://epub.uni-regensburg.de/20581/"
"University of Regensburg","2011","949.77","10.1371/journal.pone.0018582" ,"FALSE","Public Library of Science","PLoS ONE","","","","http://epub.uni-regensburg.de/20982/"
"University of Regensburg","2011","948.10","10.1371/journal.pone.0023599" ,"FALSE","Public Library of Science","PLoS ONE","","","","http://epub.uni-regensburg.de/21968/"
"University of Regensburg","2011","994.77","10.1371/journal.pone.0024450" ,"FALSE","Public Library of Science","PLoS ONE","","","","http://epub.uni-regensburg.de/22005/"
"University of Regensburg","2011","978.62","10.1371/journal.pone.0027088" ,"FALSE","Public Library of Science","PLoS ONE","","","","http://epub.uni-regensburg.de/23744/"
"University of Regensburg","2011","1632 ","10.1186/1471-2148-11-55" ,"FALSE","Springer","BMC Evolutionary Biology","","","","http://epub.uni-regensburg.de/20979/"
"University of Regensburg","2011","1542","10.1186/1471-2407-11-120" ,"FALSE","Springer","BMC Cancer","","","","http://epub.uni-regensburg.de/20976/"
"University of Regensburg","2011","1660.05","10.1186/1471-2474-12-150" ,"FALSE","Springer","BMC Musculoskeletal Disorders","","","","http://epub.uni-regensburg.de/22421/"
"University of Regensburg","2011","1608.00","10.1186/1472-6785-11-21" ,"FALSE","Springer","BMC Ecology","","","","http://epub.uni-regensburg.de/22420/"
"University of Regensburg","2011","1096","10.1186/1479-5876-9-124" ,"FALSE","Springer","Journal of Translational Medicine","","","","http://epub.uni-regensburg.de/21897/"
"University of Regensburg","2011","944","10.1186/1748-717X-6-89" ,"FALSE","Springer","Radiation Oncology","","","","http://epub.uni-regensburg.de/22089/"
"University of Regensburg","2011","1072","10.1186/1471-2261-11-52" ,"FALSE","Springer","BMC Cardiovascular Disorders","","","","http://epub.uni-regensburg.de/22090/"
"University of Regensburg","2011","1056","10.1186/1471-2474-12-192" ,"FALSE","Springer","BMC Musculoskeletal Disorders","","","","http://epub.uni-regensburg.de/22091/"
"University of Regensburg","2011","972","10.1186/1742-2094-8-125" ,"FALSE","Springer","Journal of Neuroinflammation","","","","http://epub.uni-regensburg.de/22418/"
"University of Regensburg","2011","1068","10.1186/1475-2840-10-94" ,"FALSE","Springer","Cardiovascular Diabetology ","","","","http://epub.uni-regensburg.de/23727/"
"University of Regensburg","2011","1116","10.1186/1746-160X-7-23" ,"FALSE","Springer","Head & Face Medicine","","","","http://epub.uni-regensburg.de/22891/"
"University of Regensburg","2011","1382.95","FALSE","e-Century Publishing Corporation","International Journal of Physiology, Pathophysiology and Pharmacology","","","","http://epub.uni-regensburg.de/21544/"
