"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","license_ref","pmid","url","local_id"
"University of Regensburg","2010","1088","10.1186/1471-2164-11-617",FALSE,"BioMed Central","BMC genomics","1471-2164","cc_by","21050470","http://epub.uni-regensburg.de/17985/","17985"
"University of Regensburg","2013","237.64","10.5539/jms.v3n2p68",FALSE,"Canadian Center of Science and Education","Journal of Management and Sustainability","1925-4725, 1925-4733","cc_by",NA,"http://epub.uni-regensburg.de/19650/","19650"
"University of Regensburg","2012","152.32","10.1107/S1600536812043863",FALSE,"International Union of Crystallography","Acta Crystallographica Section E","1600-5368","cc_by",NA,"http://epub.uni-regensburg.de/20012/","20012"
"University of Regensburg","2011","1559.14","10.1371/journal.ppat.1002016",FALSE,"Public Library of Science","PLoS Pathogens",NA,"cc_by",NA,"http://epub.uni-regensburg.de/20581/","20581"
"University of Regensburg","2011","374.77","10.1088/1367-2630/13/6/063020",FALSE,"Institute of Physics","New Journal of Physics",NA,"cc_by",NA,"http://epub.uni-regensburg.de/20942/","20942"
"University of Regensburg","2011","120.63","10.1107/S1600536811013997",FALSE,"International Union of Crystallography","Acta Crystallographica Section E",NA,"cc_by",NA,"http://epub.uni-regensburg.de/20975/","20975"
"University of Regensburg","2011","1542","10.1186/1471-2407-11-120",FALSE,"BioMed Central","BMC Cancer",NA,"cc_by","21457573","http://epub.uni-regensburg.de/20976/","20976"
"University of Regensburg","2011","1632","10.1186/1471-2148-11-55",FALSE,"BioMed Central","BMC evolutionary biology","1471-2148","cc_by","21356125","http://epub.uni-regensburg.de/20979/","20979"
"University of Regensburg","2011","949.77","10.1371/journal.pone.0018582",FALSE,NA,"PloS one","1932-6203","cc_by","21541313","http://epub.uni-regensburg.de/20982/","20982"
"University of Regensburg","2010","1270","10.1186/1748-717X-5-110",FALSE,"BioMed Central","Radiation oncology","1748-717X","cc_by","21092163","http://epub.uni-regensburg.de/20984/","20984"
"University of Regensburg","2010","1468.75","10.1186/1748-717X-5-95",FALSE,"BioMed Central","Radiation oncology","1748-717X","cc_by","20973977","http://epub.uni-regensburg.de/20985/","20985"
"University of Regensburg","2011","1382.95",NA,FALSE,"e-Century Publishing Corporation","International journal of physiology, pathophysiology and pharmacology","1944-8171","cc_by_nc","21760966","http://epub.uni-regensburg.de/21544/","21544"
"University of Regensburg","2011","687.17","10.3390/ma4071238",FALSE,"MDPI","Materials","1996-1944","cc_by",NA,"http://epub.uni-regensburg.de/21554/","21554"
"University of Regensburg","2011","743.07","10.1088/1367-2630/13/6/063033",FALSE,"Institute of Physics","New Journal of Physics",NA,"cc_by",NA,"http://epub.uni-regensburg.de/21616/","21616"
"University of Regensburg","2011","1267.35","10.1093/nar/gkr263",FALSE,"Oxford University Press","Nucleic Acids Research",NA,"cc_by_nc",NA,"http://epub.uni-regensburg.de/21623/","21623"
"University of Regensburg","2011","1096","10.1186/1479-5876-9-124",FALSE,"BioMed Central","Journal of translational medicine","1479-5876","cc_by","21798013","http://epub.uni-regensburg.de/21897/","21897"
"University of Regensburg","2011","2159.85","10.1093/nar/gkr528",FALSE,"Oxford University Press","Nucleic Acids Research",NA,"cc_by_nc",NA,"http://epub.uni-regensburg.de/21967/","21967"
"University of Regensburg","2011","948.1","10.1371/journal.pone.0023599",FALSE,"Public Library of Science","PLoS ONE",NA,"cc_by",NA,"http://epub.uni-regensburg.de/21968/","21968"
"University of Regensburg","2011","994.77","10.1371/journal.pone.0024450",FALSE,"Public Library of Science","PLoS ONE",NA,"cc_by",NA,"http://epub.uni-regensburg.de/22005/","22005"
"University of Regensburg","2011","944","10.1186/1748-717X-6-89",FALSE,"BioMed Central","Radiation Oncology","1748-717X","cc_by","19770290","http://epub.uni-regensburg.de/22089/","22089"
"University of Regensburg","2011","1072","10.1186/1471-2261-11-52",FALSE,"BioMed Central","BMC Cardiovascular Disorders",NA,"cc_by","21835003","http://epub.uni-regensburg.de/22090/","22090"
"University of Regensburg","2011","1056","10.1186/1471-2474-12-192",FALSE,"BioMed Central","BMC musculoskeletal disorders","1471-2474","cc_by","21854588","http://epub.uni-regensburg.de/22091/","22091"
"University of Regensburg","2011","972","10.1186/1742-2094-8-125",FALSE,"BioMed Central","Journal of neuroinflammation","1742-2094","cc_by","21958395","http://epub.uni-regensburg.de/22418/","22418"
"University of Regensburg","2011","978","10.3748/wjg.v17.i13.1739",FALSE,"Baishideng Publishing Group, WJG Press","World journal of gastroenterology : WJG","1007-9327","cc_by_nc","21483635","http://epub.uni-regensburg.de/22419/","22419"
"University of Regensburg","2011","1608","10.1186/1472-6785-11-21",FALSE,"BioMed Central","BMC ecology","1472-6785","cc_by","21961560","http://epub.uni-regensburg.de/22420/","22420"
"University of Regensburg","2011","1660.05","10.1186/1471-2474-12-150",FALSE,"BioMed Central","BMC musculoskeletal disorders","1471-2474","cc_by","21729321","http://epub.uni-regensburg.de/22421/","22421"
"University of Regensburg","2011","1116","10.1186/1746-160X-7-23",FALSE,"BioMed Central","Head & Face Medicine","1746-160X","cc_by",NA,"http://epub.uni-regensburg.de/22891/","22891"
"University of Regensburg","2012","719.95","10.1088/1367-2630/14/2/023018",FALSE,"Institute of Physics","New Journal of Physics",NA,"cc_by",NA,"http://epub.uni-regensburg.de/23417/","23417"
"University of Regensburg","2012","745.25",NA,FALSE,"e-Century Publishing Corporation","International Journal of Molecular Epidemiology and Genetics","1948-1756","cc_by_nc","22493756","http://epub.uni-regensburg.de/23616/","23616"
"University of Regensburg","2012","1022.26","10.1371/journal.pone.0033956",FALSE,NA,"PloS one","1932-6203","cc_by","22448281","http://epub.uni-regensburg.de/23723/","23723"
"University of Regensburg","2011","129.53","10.1107/S1600536811041237",FALSE,"International Union of Crystallography; Wiley/Blackwell","Acta crystallographica. Section E, Structure reports online","1600-5368","cc_by","22219792","http://epub.uni-regensburg.de/23726/","23726"
"University of Regensburg","2011","1068","10.1186/1475-2840-10-94",FALSE,"BioMed Central","Cardiovascular diabetology","1475-2840","cc_by","22008236","http://epub.uni-regensburg.de/23727/","23727"
"University of Regensburg","2012","1904","10.3389/fpsyg.2012.00040",FALSE,"Frontiers","Frontiers in psychology","1664-1078","cc_by_nc","22363311","http://epub.uni-regensburg.de/23731/","23731"
"University of Regensburg","2011","900","10.3389/fnsys.2011.00088",FALSE,"Frontiers Media S.A.","Frontiers in systems neuroscience","1662-5137",NA,"22069382","http://epub.uni-regensburg.de/23732/","23732"
"University of Regensburg","2012","1142.4","10.3389/fnsys.2012.00015",FALSE,"Frontiers","Frontiers in Systems Neuroscience",NA,"cc_by_nc",NA,"http://epub.uni-regensburg.de/23733/","23733"
"University of Regensburg","2012","1071","10.3389/fnsys.2012.00011",FALSE,"Frontiers Media S.A.","Frontiers in systems neuroscience","1662-5137","cc_by_nc","22383902","http://epub.uni-regensburg.de/23734/","23734"
"University of Regensburg","2012","771.01","10.1155/2012/851648",FALSE,"Hindawi Publishing Corporation","Journal of Ophthalmology","2090-004X (Print), 2090-0058 (Online)","cc_by",NA,"http://epub.uni-regensburg.de/23735/","23735"
"University of Regensburg","2010","1275","10.4137/MBI.S8516",FALSE,"Libertas Academica","Microbiology Insights","1178-6361","cc_by_nc",NA,"http://epub.uni-regensburg.de/23736/","23736"
"University of Regensburg","2012","1023.74","10.1371/journal.pone.0032552",FALSE,NA,"PloS one","1932-6203","cc_by","22431976","http://epub.uni-regensburg.de/23739/","23739"
"University of Regensburg","2011","978.62","10.1371/journal.pone.0027088",FALSE,NA,"PloS one","1932-6203","cc_by","22073259","http://epub.uni-regensburg.de/23744/","23744"
"University of Regensburg","2012","2084.16","10.4172/2155-9562.1000124",FALSE,"OMICs Publ. Group","Journal of Neurology and Neurophysiology","2155-9562","cc_by","18300883","http://epub.uni-regensburg.de/23746/","23746"
"University of Regensburg","2012","1019.41","10.1371/journal.pone.0035201",FALSE,"Public Library of Science","PLoS One",NA,"cc_by",NA,"http://epub.uni-regensburg.de/23788/","23788"
"University of Regensburg","2012","1028.34","10.1371/journal.pone.0034723",FALSE,NA,"PLoS One",NA,"cc_by",NA,"http://epub.uni-regensburg.de/23789/","23789"
"University of Regensburg","2012","1100","10.1186/1471-2105-13-55",FALSE,"BioMed Central","BMC Bioinformatics","1471-2105","cc_by",NA,"http://epub.uni-regensburg.de/23790/","23790"
"University of Regensburg","2012","1056","10.1186/1471-2202-13-36",FALSE,"BioMed Central","BMC Neuroscience","1471-2202","cc_by",NA,"http://epub.uni-regensburg.de/23791/","23791"
"University of Regensburg","2012","1076","10.1186/1471-2261-12-17",FALSE,"BioMed Central","BMC Cardiovascular Disorders",NA,"cc_by",NA,"http://epub.uni-regensburg.de/23792/","23792"
"University of Regensburg","2012","948","10.1186/1748-717X-7-108",FALSE,"BioMed Central","Radiation Oncology","1748-717X","cc_by","22784505","http://epub.uni-regensburg.de/24167/","24167"
"University of Regensburg","2012","2000","10.1002/open.201200011",FALSE,"Wiley-VCH","ChemistryOpen","2191-1363",NA,NA,"http://epub.uni-regensburg.de/25263/","25263"
"University of Regensburg","2012","285.6","10.1524/ncrs.2012.0173",FALSE,"De Gruyter Oldenbourg","Zeitschrift für Kristallographie - New Crystal Structures","1433-7266",NA,NA,"http://epub.uni-regensburg.de/25530/","25530"
"University of Regensburg","2012","1110.97","10.3748/wjg.v18.i46.6836",FALSE,"Baishideng Publishing Group, WJG Press","World Journal of Gastroenterology","1007-9327","cc_by_nc",NA,"http://epub.uni-regensburg.de/25533/","25533"
"University of Regensburg","2012","1031.79","10.1371/journal.pone.0048620",FALSE,NA,"PLoS One",NA,"cc_by",NA,"http://epub.uni-regensburg.de/25534/","25534"
"University of Regensburg","2012","575","10.3389/fnhum.2012.00342",FALSE,"Frontiers","Frontiers in Human Neuroscience","1662-5161","cc_by",NA,"http://epub.uni-regensburg.de/25535/","25535"
"University of Regensburg","2013","244.24","10.5539/jms.v3n1p9",FALSE,"Canadian Center of Science and Education","Journal of Management and Sustainability","1925-4725, 1925-4733","cc_by",NA,"http://epub.uni-regensburg.de/25635/","25635"
"University of Regensburg","2012","1095.42","10.1371/journal.pone.0038540",FALSE,NA,"PloS One",NA,NA,NA,"http://epub.uni-regensburg.de/25811/","25811"
"University of Regensburg","2012","1079.57","10.1371/journal.pone.0038260",FALSE,NA,"Plos One",NA,"cc_by",NA,"http://epub.uni-regensburg.de/25834/","25834"
"University of Regensburg","2012","119","10.4081/cp.2012.e64",FALSE," PAGEPress","Clinics and Practice","2039-7283","cc_by_nc",NA,"http://epub.uni-regensburg.de/25836/","25836"
"University of Regensburg","2012","1028.16","10.3389/fpsyg.2012.00287",FALSE,"Frontiers Media","Frontiers in Psychology, Section Frontiers in Cognition",NA,"cc_by",NA,"http://epub.uni-regensburg.de/25837/","25837"
