agreement;institution;doi;period;is_hybrid
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D0CY02379E;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D0TA10316K;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D0CP05425A;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D0EE02958K;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D0TC05186A;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D0CS00870B;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D0TC05067A;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D0NR08662B;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D0SM01978J;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D0CY02399J;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D0FO02922J;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D0CY02390F;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D0CC07309A;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D0TC05201A;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D1TC00307K;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D0TC05853J;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D0CC07393H;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D0GC04155F;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D0QM00922A;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D0NR08558H;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D0SM01975E;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D1NR00351H;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D0NR09121A;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D1OB00113B;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D1BM00025J;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D0TC05718E;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D1CY00268F;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D1OB00305D;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D1TC00258A;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D1DT00597A;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D1CP00291K;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D1CY00410G;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D0FO02938F;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D1DT00708D;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D1DT00646K;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D1EE00559F;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D1CY00166C;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D0CY02418J;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D1SM00445J;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D1CC01281A;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D1PY00098E;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D1CC01954F;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D1BM00430A;2021;TRUE
CSIC-Royal Society of Chemistry;Consejo Superior de Investigaciones Cientificas (CSIC);10.1039/D1TC01288F;2021;TRUE
