Period;Institution;Euro;is_hybrid;DOI;url
2019;Hanken;494;TRUE;10.1016/j.jbvi.2018.e00109;
2019;Hanken;494;TRUE;10.1016/j.irfa.2019.05.011;
2019;Hanken;494;TRUE;10.1016/j.jcorpfin.2019.101542;
2019;Hanken;484;TRUE;10.3145/epi.2019.jul.07;http://www.elprofesionaldelainformacion.com/contenidos/2019/jul/bjork.html
2019;Hanken;1557;FALSE;10.3390/su11154137;
2019;Hanken;2257;TRUE;10.1002/leap.1231;
