"Title","Institution","Period","APC.Verlag","EURO","DOI","base.url","record.id","Road","Type","journal_full_title","publisher","issn","issn_print","issn_electronic","license_ref","pmid","pmcid","DOAJ","indexed_in_CrossRef"
"In situ experiments to reveal the role of surface feature sidewalls in the Cassie-Wenzel transition","INM - Leibniz-Institut für Neue Materialien",2014,,"2453,99","10.1021/la503601u","http://www.leibnizopen.de","NA","hybrid","article","Langmuir","American Chemical Society (ACS)","0743-7463;1520-5827","0743-7463","1520-5827","http://pubs.acs.org/page/policy/authorchoice_termsofuse.html",25496232,"PMC4284134","FALSE","TRUE"
"Epidermal growth factor receptor subunit locations determined in hydrated cells with environmental scanning electron microscopy","INM - Leibniz-Institut für Neue Materialien",2013,,1046,"10.1038/srep02626","http://www.leibnizopen.de","NA","gold","article","Scientific Reports","Nature Publishing Group","2045-2322","NA","2045-2322","NA",24022088,"PMC3769654","TRUE","TRUE"
"One-step synthesis of nanocrystalline transition metal oxides on thin sheets of disordered graphitic carbon by oxidation of MXenes","INM - Leibniz-Institut für Neue Materialien",2014,"1000,00 GBP + VAT",0,"10.1039/c4cc01646g","http://www.leibnizopen.de","NA","hybrid","article","Chemical Communications","Royal Society of Chemistry (RSC)","1359-7345;1364-548X","1359-7345","1364-548X","NA",24821374,"NA","FALSE","TRUE"
"Switching adhesion and friction by light using photosensitive guest–host interactions","INM - Leibniz-Institut für Neue Materialien",2014,"1000,00 GBP + VAT",0,"10.1039/c4cc09204j","http://www.leibnizopen.de","NA","hybrid","article","Chem. Commun.","Royal Society of Chemistry (RSC)","1359-7345;1364-548X","1359-7345","1364-548X","NA",25520179,"NA","FALSE","TRUE"
"An electrochemical in situ study of freezing and thawing of ionic liquids in carbon nanopores","INM - Leibniz-Institut für Neue Materialien",2014,"1000,00 GBP + VAT",0,"10.1039/c4cp02727b ","http://www.leibnizopen.de","NA","hybrid","article","Phys. Chem. Chem. Phys.","Royal Society of Chemistry (RSC)","1463-9076;1463-9084","1463-9076","1463-9084","NA",25201074,"NA","FALSE","TRUE"
"Directed assembly of nanoparticles to isolated diatom valves using the non-wetting characteristics after pyrolysis","INM - Leibniz-Institut für Neue Materialien",2014,"1000,00 GBP + VAT",0,"10.1039/c4nr02662d","http://www.leibnizopen.de","NA","hybrid","article","Nanoscale","Royal Society of Chemistry (RSC)","2040-3364;2040-3372","2040-3364","2040-3372","NA",25154519,"NA","FALSE","TRUE"
"Carbon flow electrodes for continuous operation of capacitive deionization and capacitive mixing energy generation","INM - Leibniz-Institut für Neue Materialien",2014,"1600,00 GBP + VAT",0,"10.1039/c4ta01783h","http://www.leibnizopen.de","NA","hybrid","article","Journal of Materials Chemistry A","Royal Society of Chemistry (RSC)","2050-7488;2050-7496","2050-7488","2050-7496","NA","NA","NA","FALSE","TRUE"
"A high-rate aqueous symmetric pseudocapacitor based on highly graphitized onion-like carbon/birnessite-type manganese oxide nanohybrids","INM - Leibniz-Institut für Neue Materialien",2014,"1600,00 GBP + VAT",0,"10.1039/c4ta06715k","http://www.leibnizopen.de","NA","hybrid","article","J. Mater. Chem. A","Royal Society of Chemistry (RSC)","2050-7488;2050-7496","2050-7488","2050-7496","NA","NA","NA","FALSE","TRUE"
"Species-specific shells: Chitin synthases and cell mechanics in molluscs","INM - Leibniz-Institut für Neue Materialien",2013,,1785,"10.1524/zkri.2012.1530","http://www.leibnizopen.de","NA","hybrid","article","Zeitschrift für Kristallographie - Crystalline Materials","Walter de Gruyter GmbH","2194-4946","2194-4946","NA","NA","NA","NA","FALSE","TRUE"
"Structure-property relationships in mechanically stimulated Sorghum bicolor stalks","INM - Leibniz-Institut für Neue Materialien",2014,,0,"10.2478/bima-2014-0001","http://www.leibnizopen.de","NA","gold","article","Bioinspired Materials","Walter de Gruyter GmbH","2300-3634","NA","2300-3634","NA","NA","NA","FALSE","TRUE"
"Peptide Induced Crystallization of Calcium Carbonate on Wrinkle Patterned Substrate: Implications for Chitin Formation in Molluscs","INM - Leibniz-Institut für Neue Materialien",2013,,"1304,53","10.3390/ijms140611842","http://www.leibnizopen.de","NA","gold","article","International Journal of Molecular Sciences","MDPI AG","1422-0067","NA","1422-0067","NA",23736692,"PMC3709759","TRUE","TRUE"
"Real-time monitoring of calcium carbonate and cationic peptide deposition on carboxylate-SAM using a microfluidic SAW biosensor","INM - Leibniz-Institut für Neue Materialien",2014,,0,"10.3762/bjnano.5.193","http://www.leibnizopen.de","NA","gold","article","Beilstein Journal of Nanotechnology","Beilstein Institut","2190-4286","NA","2190-4286","NA",25383294,"NA","TRUE","TRUE"
"Gradients of Al/Al2O3 nanostructures for screening mesenchymal stem cell proliferation and differentiation","INM - Leibniz-Institut für Neue Materialien",2013,,"236,75","10.4236/ojrm.2013.23011","http://www.leibnizopen.de","NA","gold","article","Open Journal of Regenerative Medicine","Scientific Research Publishing, Inc,","2169-2513;2169-2521","2169-2513","2169-2521","NA","NA","NA","FALSE","TRUE"
"Light-Emitting Devices – Luminescence from Low-Dimensional Nanostructures","INM - Leibniz-Institut für Neue Materialien",2014,,640,"10.5772/59103","http://www.leibnizopen.de","NA","gold","book chapter","NA","InTech","NA","NA","NA","NA","NA","NA","FALSE","TRUE"
"Quantification of internalized silica nanoparticles via STED microscopy","INM - Leibniz-Institut für Neue Materialien",2014,,"1679,06","10.1155/2015/961208","http://www.leibnizopen.de","NA","gold","article","BioMed Research International","Hindawi Publishing Corporation","2314-6133;2314-6141","2314-6133","2314-6141","NA","NA","NA","TRUE","FALSE"
