institution;period;euro;doi;is_hybrid;opt_out
HafenCity Universität Hamburg;2020;2188,92;10.1007/s41064-020-00091-3;TRUE;FALSE
HafenCity Universität Hamburg;2021;1855,10;10.1007/s42489-021-00072-5;TRUE;FALSE
HafenCity Universität Hamburg;2021;1855,10;10.1007/s42489-021-00076-1;TRUE;FALSE
HafenCity Universität Hamburg;2021;1855,10;10.1007/s42489-021-00093-0;TRUE;FALSE
HafenCity Universität Hamburg;2021;1855,10;10.1007/s42489-021-00078-z;TRUE;FALSE
HafenCity Universität Hamburg;2021;1855,10;10.1007/s42489-021-00092-1;TRUE;FALSE
HafenCity Universität Hamburg;2021;1855,10;10.1007/s42489-021-00084-1;TRUE;FALSE
HafenCity Universität Hamburg;2022;1887,54;10.1007/s42489-022-00111-9;TRUE;FALSE
HafenCity Universität Hamburg;2022;1887,54;10.1007/s12518-022-00442-2;TRUE;FALSE
HafenCity Universität Hamburg;2022;1887,54;10.1007/s42489-022-00100-y;TRUE;FALSE
HafenCity Universität Hamburg;2022;1887,54;10.1007/s42489-022-00109-3;TRUE;FALSE
HafenCity Universität Hamburg;2022;1887,54;10.1007/s12518-022-00438-y;TRUE;FALSE
HafenCity Universität Hamburg;2023;1265,66;10.1007/s42489-023-00131-z;TRUE;FALSE
HafenCity Universität Hamburg;2023;1265,66;10.1007/s12469-023-00342-7;TRUE;FALSE
HafenCity Universität Hamburg;2023;1265,66;10.1007/s42489-022-00127-1;TRUE;FALSE
