institution;apc;doi;period;is_hybrid;currency
Consejo Superior de Investigaciones Cientificas (CSIC);2350;10.1371/journal.pntd.0009059;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);2350;10.1371/journal.pntd.0009073;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);1695;10.1371/journal.pone.0244153;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);1695;10.1371/journal.pone.0244139;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);1695;10.1371/journal.pone.0243591;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);1695;10.1371/journal.pone.0240614;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);2350;10.1371/journal.pntd.0008892;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);1695;10.1371/journal.pone.0241380;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);1695;10.1371/journal.pone.0240686;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);1695;10.1371/journal.pone.0239847;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);1695;10.1371/journal.pone.0239755;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);1595;10.1371/journal.pone.0238229;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);1695;10.1371/journal.pone.0238204;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);1695;10.1371/journal.pone.0237188;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);1595;10.1371/journal.pone.0236803;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);1695;10.1371/journal.pone.0236796;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);1695;10.1371/journal.pone.0236113;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);1695;10.1371/journal.pone.0235850;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);1595;10.1371/journal.pone.0233231;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);1595;10.1371/journal.pone.0232455;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);2350;10.1371/journal.pgen.1008717;01/01/2020;FALSE;USD
Consejo Superior de Investigaciones Cientificas (CSIC);1595;10.1371/journal.pone.0230264;01/01/2020;FALSE;USD
