institution;period;euro;doi;is_hybrid;Spalte2
TH Köln;2023;495;10.1007/s12239-023-0078-6;false;KIT
TH Köln;2023;1338,08;10.3390/en16042042;false;MDPI
TH Köln;2023;2532,29;https://doi.org/10.3390/polym15173498 ;false;MDPI
TH Köln;2023;1917,27;10.3389/frsus.2023.1093911;false;Frontiers
TH Köln;2023;2023;https://doi.org/10.3390/su15054006 ;false;MDPI
TH Köln;2023;2040; https://doi.org/10.3390/polym15092174;false;MDPI
TH Köln;2023;2217; https://doi.org/10.3390/su15054575;false;MDPI
TH Köln;2022;100;10.22004/ag.econ.329908;false;Econstor
TH Köln;2023;2899;https://doi.org/10.3389/fbioe.2023.1076524;false;Frontiers
TH Köln;2023;1346;10.3390/en16093790 ;false;MDPI
TH Köln;2023;2125;https://doi.org/10.3390/ijms241814367;false;MDPI
TH Köln;2023;2721;https://doi.org/10.3390/buildings13092198;false;MDPI
TH Köln;2023;1668;https://doi.org/10.3390/antib12030057;false;MDPI
TH Köln;2023;1695.45;https://doi.org/10.3390/fluids9010010;false;MDPI
TH Köln;2023;540;10.4236/ijis.2024.141001;false;IJIS
TH Köln;2023;742;https://doi.org/10.4271/2023-01-5040;true;SAE
TH Köln;2023;1680;https://doi.org/10.1016/j.ijdrr.2023.103527;true;Elsevier
TH Köln;2023;2080;10.13140/RG.2.2.26209.28007 ;true;Elsevier
TH Köln;2023;2220;https://doi.org/10.1016/j.techfore.2023.122562;true;Elsevier
TH Köln;2023;2710;https://doi.org/10.1080/19376812.2023.2256696;true;T&F
TH Köln;2023;2810;https://doi.org/10.1177/10464964231202454 ;true;Sage
TH Köln;2023;3550;https://doi.org/10.1016/j.enbuild.2023.113635;true;Elsevier
TH Köln;2023;1190;https://doi.org/10.1515/gps-2023-0140;false;de Gruyter
TH Köln;2023;3225;https://doi.org/10.3389/fbioe.2023.1076524;false;Frontiers
TH Köln;2023;1450,79;agriengineering-2709441;false;MDPI
TH Köln;2023;3.409,24;https://doi.org/10.1007/s00170-023-11501-2;true;Springer
