institution;period;euro;doi;is_hybrid;publisher
TH Köln;2023;2997;https://doi.org/10.1111/jiec.13442;true;Wiley
TH Köln;2023;2997;https://doi.org/10.1002/cepa.2869;true;Wiley
TH Köln;2023;2997;https://doi.org/10.1111/rmir.12254;true;Wiley
