institution;period;euro;doi;is_hybrid;publisher;Spalte1;Spalte2;Spalte3;Spalte4;Spalte5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH Köln;2024;1268,23;https://doi.org/10.1186/s40494-024-01152-1;false;Springer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH Köln;2024;1224,00;https://doi.org/10.1016/j.pdisas.2024.100387;false;Elsevier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH Köln;2024;1640,00;https://doi.org/10.1016/j.nbsj.2024.100207;false;Elsevier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH Köln;2024;500,00;https://doi.org/10.1016/j.solcom.2024.100099;false;Elsevier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH Köln;2024;1945,26;www.doi.org/10.1016/j.enbuild.2024.114637;true;Elsevier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH Köln;2024;1945,26;https://doi.org/10.1016/j.ijdrr.2024.105008;true;Elsevier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH Köln;2024;1945,26;10.1016/j.virol.2024.110300;true;Elsevier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH Köln;2024;2713,00;https://doi.org/10.1002/cite.202300152;true;Wiley;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH Köln;2024;5783,00;10.1007/s00396-024-05301-7;true;Springer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH Köln;2024;5783,00;https://doi.org/10.1007/s10708-024-11246-9;true;Springer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH Köln;2024;2713,00;10.1111/rmir.12254;true;Wiley;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
