institution;period;euro;DOI/Identifier/Link;isbn/issn;publisher;book_title;backlist_oa;;;;;;;;;;;;;;;;;;;;
TH Köln;2024;5.300;https://www.isbn.de/9783779977780/;978-3-7799-7778-0;Beltz Juventa;Extrem rechte und rassistische Gewalt: Auswirkungen – Handlungs- und Bewältigungsmuster – Konsequenzen. In: Bildung in der Migrationsgesellschaft, Band 1;FALSE;;;;;;;;;;;;;;;;;;;;
TH Köln;2024;k.A.;https://www.isbn.de/buch/9783982442594/;978-3-9824425-9-4;BIT-Online;Engagement in der Informationswissenschaft: Festschrift für Ursula Georgy;FALSE;;;;;;;;;;;;;;;;;;;;
TH Köln;2024;2.800;https://doi.org/10.30819/5881;978-3-8325-5881-9 ;Logos Verlag Berlin;How to Public Sector? The Key to Impactful Collaborations Between the Public Sector and Service Design Universities & Programs;FALSE;;;;;;;;;;;;;;;;;;;;
TH Köln;2024;0;https://doi.org/10.57684/COS-1227;;TH Köln;Hermann Arnold. Eine vergessene Verbindung zwischen Peter Behrens und Ludwig Mies van der Rohe. In: Kölner Beiträge zur Baugeschichte und Denkmalpflege;FALSE;;;;;;;;;;;;;;;;;;;;
TH Köln;2024;0;https://doi.org/10.57684/COS-1240;;TH Köln;Ergebnisse der Workshops 2023 und 2024 des Forschungsschwerpunkts Vernetzte intelligente Infrastrukturen und mobile Systeme (VIMS). In: Kölner Beiträge zur technischen Informatik 1/2024;FALSE;;;;;;;;;;;;;;;;;;;;
