institution;period;euro;doi;isbn;backlist_oa;publisher;book_title
TH Köln;2023;2.500;no;www.isbn.de/978-3-89445-601-6;true;Jonas Verlag;Peter Breuer. Forschungsperspektiven auf die Sakralkunst in der Zwickauer Region am Vorabend der Reformation
TH Köln;2023;3.350;no;www.isbn.de/978-3-8467-6704-7;true;Brill;"Mit weit geschlossenen Augen
Virtuelle Realitäten entwerfen"
TH Köln;2023;280;no;www.isbn.de/978-3-937983-42-4;true;;Leichte Sprache in der Übersetzungswissenschaft
TH Köln;2023;880;no;https://www.isbn.de/9783864881930;true;;"Datenmanagementpläne an Fachhochschulen / Hochschulen für Angewandte Wissenschaften
Eine Bestandsaufnahme und Empfehlungen"
TH Köln;2023;4165;no;www.isbn.de/978-3-7329-1001-4 ;false;;Automatisierte Wissenskommunikation
TH Köln;2023;4250;https://doi.org/10.1515/9783110790375;;false;;Praxishandbuch Wissenschaftliche Bibliothekar:innen
TH Köln;2023;476;no;https://www.socialnet.de/materialien/29851.php;false;;"(Nicht-)Nutzung digitaler Angebote in der Familienbildung
Ausgewählte Einblicke aus der Nutzer*innenforschung in die Perspektiven von Eltern und Fachkräften"
TH Köln;2023;2065;10.3224/96665070;;false;Budrich;Klassische Theorien Sozialer Arbeit und soziale Bewegungen
TH Köln;2023;900;https://doi.org/10.30819/5736;;false;;Bildung und Alltäglichkeit. Kultur- und bildungstheoretische Überlegungen zur Entbanalisierung institutioneller Bildung
TH Köln;2023;3200;https://doi.org/10.53198/9783943253726;;false;adocs;Attending [to] Futures. Matters of Politics in Design Education, Research, Practice
TH Köln;2023;1220.00;https://doi.org/10.5445/KSP/1000161057;;false;KIT;"380 kV Superconducting Fault Current Limiter 
Feasibility Study"
TH Köln;2023;4900;no;;false;Transcript;Spielplätze: Museen und Games als Medien der Welterzeugung -noch nicht erschienen?
TH Köln;2023;7824;no;;false;Nomos;Institutionelle Segregation in Kindertageseinrichtungen - noch nicht erschienen?
