,Institution,Period,EURO,publisher,journal_full_title,issn,issn_print,issn_electronic,doi,indexed_in_CrossRef,pmid,pmcid,base.url,record.id,ut,DOAJ,license_ref
1,TU Chemnitz,2014,1955.48,AIP Publishing,APL Materials,2166-532X,NA,2166-532X,10.1063/1.4886216,TRUE,NA,NA,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,17594,NA,TRUE,http://creativecommons.org/licenses/by/4.0/
2,TU Chemnitz,2014,1288.6,AIP Publishing,AIP Advances,2158-3226,NA,2158-3226,10.1063/1.4899188,TRUE,NA,NA,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,17475,NA,TRUE,http://creativecommons.org/licenses/by/3.0/
3,TU Chemnitz,2014,1975.4,Springer Science + Business Media,Theoretical Biology and Medical Modelling,1742-4682,NA,1742-4682,10.1186/1742-4682-11-25,TRUE,24886168,PMC4052616,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,16993,NA,TRUE,http://creativecommons.org/licenses/by/4.0)
4,TU Chemnitz,2014,1011.5,Springer Science + Business Media,SpringerPlus,2193-1801,NA,2193-1801,10.1186/2193-1801-3-82,TRUE,24570853,PMC3929596,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,16649,NA,TRUE,http://creativecommons.org/licenses/by/2.0
5,TU Chemnitz,2014,1657.65,Optical Society of America (OSA),Optics Express,1094-4087,NA,1094-4087,10.1364/OE.22.018454,TRUE,25089464,NA,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,17936,NA,TRUE,NA
6,TU Chemnitz,2014,704.79,Symbiosis Group,SOJ Materials Science & Engineering,2372-0964,NA,2372-0964,10.15226/sojmse,TRUE,NA,NA,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,17095,NA,FALSE,NA
7,TU Chemnitz,2014,1142.4,Frontiers Media SA,Frontiers in Neurorobotics,1662-5218,NA,1662-5218,10.3389/fnbot.2014.00004,TRUE,24550821,PMC3907710,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,16723,NA,TRUE,http://creativecommons.org/licenses/by/3.0/
8,TU Chemnitz,2014,"1904,00",Frontiers Media SA,Frontiers in Computational Neuroscience,1662-5188,NA,1662-5188,10.3389/fncom.2014.00025,TRUE,24653691,PMC3949326,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,16729,NA,TRUE,http://creativecommons.org/licenses/by/3.0/
9,TU Chemnitz,2014,"1904,00",Frontiers Media SA,Frontiers in Psychology,1664-1078,NA,1664-1078,10.3389/fpsyg.2014.00911,TRUE,25177311,PMC4133782,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,17838,NA,TRUE,http://creativecommons.org/licenses/by/3.0/
10,TU Chemnitz,2014,1771.86,MDPI AG,Molecules,1420-3049,NA,1420-3049,10.3390/molecules190914022,TRUE,25197937,NA,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,17169,NA,TRUE,http://creativecommons.org/licenses/by/3.0/
11,TU Chemnitz,2014,600.49,"Scientific Research Publishing, Inc,",Open Journal of Composite Materials,2164-5612;2164-5655,2164-5612,2164-5655,10.4236/ojcm.2014.43018,TRUE,NA,NA,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,17015,NA,TRUE,http://creativecommons.org/licenses/by/4.0/
12,TU Chemnitz,2014,674.91,"Scientific Research Publishing, Inc,",Open Journal of Composite Materials,2164-5612;2164-5655,2164-5612,2164-5655,10.4236/ojcm.2014.44021,TRUE,NA,NA,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,17287,NA,TRUE,http://creativecommons.org/licenses/by/4.0/
13,TU Chemnitz,2014,282.91,Canadian Center of Science and Education,Journal of Materials Science Research,1927-0593;1927-0585,1927-0585,1927-0593,10.5539/jmsr.v3n3p33,TRUE,NA,NA,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,16971,NA,TRUE,http://creativecommons.org/licenses/by/3.0/
14,TU Chemnitz,2014,283.37,Canadian Center of Science and Education,Journal of Materials Science Research,1927-0593;1927-0585,1927-0585,1927-0593,10.5539/jmsr.v4n1p28,TRUE,NA,NA,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,17394,NA,TRUE,http://creativecommons.org/licenses/by/3.0/
15,TU Chemnitz,2014,283.37,Canadian Center of Science and Education,Journal of Materials Science Research,1927-0593;1927-0585,1927-0585,1927-0593,10.5539/jmsr.v4n1p36,TRUE,NA,NA,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,17386,NA,TRUE,http://creativecommons.org/licenses/by/3.0/
