pos	institution_name	journal_title	eissn	doi	initial_opt-out
24	Technische Universität Chemnitz	Journal of Nanoparticle Research	1572-896X	10.1007/s11051-022-05650-w	optout
25	Technische Universität Chemnitz	Earth Science Informatics	1865-0481	10.1007/s12145-022-00883-8	optout
36	Technische Universität Chemnitz	Prävention und Gesundheitsförderung	1861-6763	10.1007/s11553-022-00995-5	optout
