Zuordnung zu Transformationsvertrag;Lizenzjahr;Anteil, auf den sich die Rechnungsposition bezieht;Originalwährung;Rechnungsbetrag in Originalwährung;Euro netto;Steuersatz;Euro brutto
Elsevier (DEAL) 2023-2028;2024;Publikationsanteil;EUR;125.690,00;125.690,00;7%;134.488,30
Elsevier (DEAL) 2023-2028;2024;Subskriptionsanteil;EUR;188.536,00;188.536,00;7%;201.733,52
Springer (DEAL) 2024-2028;2024;Publikationsanteil;EUR;362.923,28;362.923,28;7%;388.327,91
Springer (DEAL) 2024-2028;2024;Subskriptionsanteil;EUR;49.489,54;49.489,54;7%;52.953,81
Wiley (DEAL) 2024-2028;2024;Publikationsanteil;EUR;375.693,75;375.693,75;7%;401.992,31
Wiley (DEAL) 2024-2028;2024;Subskriptionsanteil;EUR;76.949,32;76.949,32;7%;82.335,77
