institution;period;euro;doi;is_hybrid;publisher;journal_full_title;issn;url;;;;;;;;;;;;;
Goettingen University;2017; 1.582,00;NA;FALSE;e-Century Publishing Corporation;International Journal of Clinical and Experimental Pathology;1936-2625;http://resolver.sub.uni-goettingen.de/purl?gs-1/15018;;;;;;;;;;;;;
Goettingen University;2017; 400,00;NA;FALSE;sub-urban e. V.;sub\urban. Zeitschrift fÅr Kritische Stadtforschung ;2197-2567;http://resolver.sub.uni-goettingen.de/purl?gs-1/14624;;;;;;;;;;;;;
Goettingen University;2017; 1.254,06;NA;FALSE;Austin Publ. Group;Austin Journal of Clinical Neurology;2381-9154;http://resolver.sub.uni-goettingen.de/purl?gs-1/15011;;;;;;;;;;;;;
Goettingen University;2017; 1.688,79;NA;FALSE;Medwin Publishers;Open Access Journal of Endocrinology;NA;http://resolver.sub.uni-goettingen.de/purl?gs-1/14623;;;;;;;;;;;;;
Goettingen University;2017; 1.250,32;10.7717/peerj.3049;FALSE;PeerJ;PeerJ;2167-8359;http://resolver.sub.uni-goettingen.de/purl?gs-1/14370;;;;;;;;;;;;;
Goettingen University;2017; 1.820,70;10.5194/bg-14-4619-2017;FALSE;Copernicus;Biogeosciences;1726-4189;http://resolver.sub.uni-goettingen.de/purl?gs-1/14845;;;;;;;;;;;;;
Goettingen University;2017; 1.713,60;10.5194/bg-14-3509-2017;FALSE;Copernicus;Biogeosciences;1726-4189;http://resolver.sub.uni-goettingen.de/purl?gs-1/14837;;;;;;;;;;;;;
Goettingen University;2017; 1.927,80;10.5194/bg-14-2781-2017;FALSE;Copernicus;Biogeosciences;1726-4189;http://resolver.sub.uni-goettingen.de/purl?gs-1/14586;;;;;;;;;;;;;
Goettingen University;2017; 1.392,30;10.5194/bg-14-271-2017;FALSE;Copernicus;Biogeosciences;1726-4189;http://resolver.sub.uni-goettingen.de/purl?gs-1/14406;;;;;;;;;;;;;
Goettingen University;2017; 1.071,00;10.5194/amt-10-4537-2017;FALSE;Copernicus;Atmospheric Measurement Techniques;1867-8548;http://resolver.sub.uni-goettingen.de/purl?gs-1/14881;;;;;;;;;;;;;
Goettingen University;2017; 119,00;10.5114/ceji.2017.67312;FALSE;Termedia;Central European Journal of Immunology;1644-4124;http://resolver.sub.uni-goettingen.de/purl?gs-1/14479;;;;;;;;;;;;;
Goettingen University;2017; 245,72;10.4172/2329-9509.1000191;FALSE;OMICS;Journal of Osteoporosis and Physical Activity;2329-9509;http://resolver.sub.uni-goettingen.de/purl?gs-1/14528;;;;;;;;;;;;;
Goettingen University;2017; 1.190,00;10.4172/2167-7662.1000149;FALSE;OMICS;Bioenergetics;2167-7662;http://resolver.sub.uni-goettingen.de/purl?gs-1/14603;;;;;;;;;;;;;
Goettingen University;2017; 1.999,20;10.4172/2167-1044.1000268;FALSE;OMICS;Journal of Depression and Anxiety;2167-1044;http://resolver.sub.uni-goettingen.de/purl?gs-1/14527;;;;;;;;;;;;;
Goettingen University;2017; 556,33;10.3897/phytokeys.91.21363 ;FALSE;Pensoft Publisher;PhytoKeys;1314-2003;http://resolver.sub.uni-goettingen.de/purl?gs-1/1502;;;;;;;;;;;;;
Goettingen University;2017; 589,05;10.3897/phytokeys.81.13488;FALSE;Pensoft Publisher;PhytoKeys;1314-2003;http://resolver.sub.uni-goettingen.de/purl?gs-1/14583;;;;;;;;;;;;;
Goettingen University;2017; 1.999,20;10.3748/wjg.v23.i41.7347;FALSE;Baishideng Publishing Group;World Journal of Gastroenterology;2219-2840;http://resolver.sub.uni-goettingen.de/purl?gs-1/14835;;;;;;;;;;;;;
Goettingen University;2017; 1.479,82;10.3390/v9060146;FALSE;MDPI;Viruses;1999-4915;http://resolver.sub.uni-goettingen.de/purl?gs-1/14536;;;;;;;;;;;;;
Goettingen University;2017; 978,08;10.3390/su9112090;FALSE;MDPI;Sustainability;2071-1050;http://resolver.sub.uni-goettingen.de/purl?gs-1/14880;;;;;;;;;;;;;
Goettingen University;2017; 1.316,88;10.3390/su9091545;FALSE;MDPI;Sustainability;2071-1050;http://resolver.sub.uni-goettingen.de/purl?gs-1/14622;;;;;;;;;;;;;
Goettingen University;2017; 1.334,93;10.3390/su9081340;FALSE;MDPI;Sustainability;2071-1050;http://resolver.sub.uni-goettingen.de/purl?gs-1/14619;;;;;;;;;;;;;
Goettingen University;2017; 193,83;10.3390/su9071224;FALSE;MDPI;Sustainability;2071-1050;http://resolver.sub.uni-goettingen.de/purl?gs-1/14588;;;;;;;;;;;;;
Goettingen University;2017; 1.647,41;10.3390/s18010018;FALSE;MDPI;Sensors;1424-8220;http://resolver.sub.uni-goettingen.de/purl?gs-1/15026;;;;;;;;;;;;;
Goettingen University;2017; 1.498,31;10.3390/s17071521;FALSE;MDPI;Sensors;1424-8220;http://resolver.sub.uni-goettingen.de/purl?gs-1/14585;;;;;;;;;;;;;
