Nr.,institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
1,Goettingen University,2015,"1363,75",10.1371/journal.pone.0115312,FALSE,,,,,,
2,Goettingen University,2015,"1363,75",10.1371/journal.pone.0116836,FALSE,,,,,,
3,Goettingen University,2015,"684,25",10.3389/fmicb.2014.00788,FALSE,,,,,,
4,Goettingen University,2015,"1522,65",10.1155/2015/483238,FALSE,,,,,,
5,Goettingen University,2015,"746,09",10.1167/15.1.9,FALSE,,,,,,
6,Goettingen University,2015,"1617,21",10.1002/ehf2.12007,FALSE,,,,,,
7,Goettingen University,2015,"1249,50",10.1242/bio.201410934,FALSE,,,,,,
8,Goettingen University,2015,"1142,40",10.3389/fpsyg.2015.00022,FALSE,,,,,,
9,Goettingen University,2015,"1617,21",10.1002/ehf2.12017,FALSE,,,,,,
10,Goettingen University,2015,"684,25",10.3389/fpls.2015.00082,FALSE,,,,,,
11,Goettingen University,2015,"1904,00",10.3389/fpls.2015.00064,FALSE,,,,,,
12,Goettingen University,2015,"910,22",10.3390/w7030868,FALSE,,,,,,
13,Goettingen University,2015,"1142,40",10.3389/fenvs.2015.00012 ,FALSE,,,,,,
14,Goettingen University,2015,"1615,39",10.3390/ijms16034682,FALSE,,,,,,
15,Goettingen University,2015,"684,25",10.3389/fpsyg.2015.00220,FALSE,,,,,,
16,Goettingen University,2015,"1963,16",10.1155/2015/761259,FALSE,,,,,,
17,Goettingen University,2015,"1472,38",10.1371/journal.pone.0117818,FALSE,,,,,,
18,Goettingen University,2015,"1472,38",10.1371/journal.pone.0118722,FALSE,,,,,,
19,Goettingen University,2015,"1904,00",10.3389/fpls.2015.00191,FALSE,,,,,,
20,Goettingen University,2015,"1208,01",10.3390/rs70403760,FALSE,,,,,,
21,Goettingen University,2015,"1518,15",10.1371/journal.pone.0120759,FALSE,,,,,,
22,Goettingen University,2015,"1518,15",10.1371/journal.pone.0122325,FALSE,,,,,,
23,Goettingen University,2015,"1142,40",10.3389/fpls.2015.00233,FALSE,,,,,,
24,Goettingen University,2015,"1142,40",10.3389/fnins.2015.00125,FALSE,,,,,,
25,Goettingen University,2015,"1617,21",10.1002/ehf2.12034,FALSE,,,,,,
26,Goettingen University,2015,"1267,35",10.1093/nar/gkv309,FALSE,,,,,,
27,Goettingen University,2015,"1142,40",10.3389/fnsys.2015.00064,FALSE,,,,,,
28,Goettingen University,2015,"963,90",10.5194/bgd-12-4405-2015,FALSE,,,,,,
29,Goettingen University,2015,"1518,44",10.5194/hess-19-3457-2015,FALSE,,,,,,
30,Goettingen University,2015,"556,44",10.1212/NXI.0000000000000099,FALSE,,,,,,
31,Goettingen University,2015,"1456,56",10.1088/1367-2630/17/3/033011,FALSE,,,,,,
32,Goettingen University,2015,"1495,53",10.1371/journal.pone.0124917,FALSE,,,,,,
33,Goettingen University,2015,"1495,53",10.1371/journal.pone.0123085,FALSE,,,,,,
34,Goettingen University,2015,"1495,53",10.1371/journal.pone.0122858,FALSE,,,,,,
35,Goettingen University,2015,"1871,18",10.3390/molecules20046856,FALSE,,,,,,
36,Goettingen University,2015,"1617,21",10.1002/ehf2.12033,FALSE,,,,,,
37,Goettingen University,2015,"1904,00",10.3389/fpsyg.2015.00550,FALSE,,,,,,
38,Goettingen University,2015,"1617,21",10.1002/ehf2.12035,FALSE,,,,,,
39,Goettingen University,2015,"1617,21",10.1002/ehf2.12037,FALSE,,,,,,
40,Goettingen University,2015,"247,90",NA,FALSE,Research Institute for Progression of Knowledge. ,International journal of education and social science,2410-5171,NA,NA,https://www.researchgate.net/publication/284156703_Arts-Based_Education_in_Pre-School_Children_-_An_Exploratory_Study
41,Goettingen University,2015,"1142,40",10.3389/fpls.2015.00330,FALSE,,,,,,
42,Goettingen University,2015,"1386,35",10.1038/srep10539,FALSE,,,,,,
43,Goettingen University,2015,"1142,40",10.3389/fbioe.2015.00072,FALSE,,,,,,
44,Goettingen University,2015,"1433,22",10.1371/journal.pone.0128019 ,FALSE,,,,,,
45,Goettingen University,2015,"263,32",NA,FALSE,Mongabay,Tropical Conservation Science,1940-0829,NA,NA,https://tropicalconservationscience.mongabay.com/content/v8/tcs_v8i2_479-490_Hong_Dao.pdf
46,Goettingen University,2015,"1523,20",10.3389/fnhum.2015.00314,FALSE,,,,,,
47,Goettingen University,2015,"876,13",10.1155/2015/278139,FALSE,,,,,,
48,Goettingen University,2015,"1560,60",10.3389/fnbeh.2015.00147,FALSE,,,,,,
49,Goettingen University,2015,"1478,47",10.1371/JOURNAL.PONE.0125544,FALSE,,,,,,
50,Goettingen University,2015,"1478,47",10.1371/JOURNAL.PONE.0126346,FALSE,,,,,,
51,Goettingen University,2015,"1478,47",10.1371/JOURNAL.PONE.0127156,FALSE,,,,,,
52,Goettingen University,2015,"1478,47",10.1371/JOURNAL.PONE.0125678,FALSE,,,,,,
53,Goettingen University,2015,"1478,47",10.1371/JOURNAL.PONE.0127761,FALSE,,,,,,
54,Goettingen University,2015,"1303,05",10.1002/acn3.219,FALSE,,,,,,
55,Goettingen University,2015,"1737,72",10.1088/1367-2630/17/2/023070,FALSE,,,,,,
56,Goettingen University,2015,"1428,00",10.1515/med-2015-0043,FALSE,,,,,,
57,Goettingen University,2015,"303,28",10.14740/jmc2122w,FALSE,,,,,,
58,Goettingen University,2015,"1439,65",10.1371/JOURNAL.PONE.0129208,FALSE,,,,,,
59,Goettingen University,2015,"1439,65",10.1371/JOURNAL.PONE.0129526,FALSE,,,,,,
60,Goettingen University,2015,"1439,65",10.1371/JOURNAL.PONE.0129221,FALSE,,,,,,
61,Goettingen University,2015,"1142,40",10.3389/fnhum.2015.00359,FALSE,,,,,,
62,Goettingen University,2015,"1213,80",10.5194/bgd-12-9209-2015,FALSE,,,,,,
63,Goettingen University,2015,"1606,50",10.5194/bgd-12-9163-2015,FALSE,,,,,,
64,Goettingen University,2015,"1892,10",10.5194/gmdd-8-4545-2015,FALSE,,,,,,
65,Goettingen University,2015,"1035,30",10.5194/bgd-12-8819-2015,FALSE,,,,,,
66,Goettingen University,2015,"1386,35",10.1038/srep12213,FALSE,,,,,,
67,Goettingen University,2015,"1999,20",10.3389/fenvs.2015.00048,FALSE,,,,,,
68,Goettingen University,2015,"1559,74",10.3389/fmicb.2015.00805,FALSE,,,,,,
69,Goettingen University,2015,"1464,58",10.1371/JOURNAL.PONE.0131280,FALSE,,,,,,
70,Goettingen University,2015,"1464,58",10.1371/JOURNAL.PONE.0131223,FALSE,,,,,,
71,Goettingen University,2015,"1464,58",10.1371/JOURNAL.PONE.0127528,FALSE,,,,,,
72,Goettingen University,2015,"1464,58",10.1371/JOURNAL.PONE.0130497,FALSE,,,,,,
73,Goettingen University,2015,"1464,58",10.1371/JOURNAL.PONE.0133714,FALSE,,,,,,
74,Goettingen University,2015,"1464,58",10.1371/JOURNAL.PONE.0131155,FALSE,,,,,,
