Nr.,institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
1,Goettingen University,2012,"1294,72",10.1186/1743-7075-9-86,FALSE,,,,,,
2,Goettingen University,2012,"1143,83",10.1371/journal.pgen.1002685,FALSE,,,,,,
3,Goettingen University,2012,"1173,29",10.1371/journal.pone.0044685,FALSE,,,,,,
4,Goettingen University,2012,"1270,92",10.1186/1471-2148-12-89,FALSE,,,,,,
5,Goettingen University,2012,"1404,20",10.1186/1471-2202-13-40,FALSE,,,,,,
6,Goettingen University,2012,"1489,88",10.1186/1471-2229-12-228,FALSE,,,,,,
7,Goettingen University,2012,"1904,00",10.3389/fpsyg.2012.00504,FALSE,,,,,,
8,Goettingen University,2012,"1142,40",10.3389/fncir.2012.00104,FALSE,,,,,,
9,Goettingen University,2012,"1142,40",10.3389/fpls.2012.00194,FALSE,,,,,,
10,Goettingen University,2012,"1156,68",10.1186/1743-0003-9-76,FALSE,,,,,,
11,Goettingen University,2012,"1128,12",10.1186/1743-0003-9-42,FALSE,,,,,,
12,Goettingen University,2012,"1278,00",10.1093/nar/gks414,FALSE,,,,,,
13,Goettingen University,2012,"1108,87",10.1371/journal.pone.0034517,FALSE,,,,,,
14,Goettingen University,2012,"1175,97",10.1371/journal.pone.0038132,FALSE,,,,,,
15,Goettingen University,2012,"1175,97",10.1371/journal.pone.0038728,FALSE,,,,,,
16,Goettingen University,2012,"1096,95",10.1371/journal.pone.0045093,FALSE,,,,,,
17,Goettingen University,2012,"1114,34",10.1371/journal.pone.0047192,FALSE,,,,,,
18,Goettingen University,2012,"1099,08",10.1371/journal.pone.0049269,FALSE,,,,,,
19,Goettingen University,2012,"1109,54",10.1371/journal.pone.0048321,FALSE,,,,,,
20,Goettingen University,2012,"1131,87",10.1371/journal.pone.0049525,FALSE,,,,,,
21,Goettingen University,2012,"2000,00",10.1002/open.201200031,FALSE,,,,,,
22,Goettingen University,2012,"1109,54",10.1371/journal.pone.0054172,FALSE,,,,,,
23,Goettingen University,2012,"685,44",10.5194/bg-10-2959-2013,FALSE,,,,,,
24,Goettingen University,2012,"1000,79",10.5194/bg-9-3465-2012,FALSE,,,,,,
25,Goettingen University,2012,"302,96",10.5539/jsd.v6n1p76,FALSE,,,,,,
26,Goettingen University,2012,"485,79",10.4236/ojf.2012.24030,FALSE,,,,,,
27,Goettingen University,2012,"377,28",10.4236/ojf.2013.31001,FALSE,,,,,,
28,Goettingen University,2012,"1263,64",10.1371/journal.pone.0045827,FALSE,,,,,,
29,Goettingen University,2012,"268,91",10.5194/bg-9-4139-2012,FALSE,,,,,,
30,Goettingen University,2012,"1261,40",10.1186/1742-9994-9-2,FALSE,,,,,,
31,Goettingen University,2012,"1121,94",10.1371/journal.pone.0046913,FALSE,,,,,,
32,Goettingen University,2012,"1105,39",10.1371/journal.pone.0049531,FALSE,,,,,,
33,Goettingen University,2012,"1456,56",10.1186/1471-2105-13-225,FALSE,,,,,,
34,Goettingen University,2012,"1075,35",10.1063/1.4739843,FALSE,,,,,,
35,Goettingen University,2012,"1153,00",10.1088/1367-2630/14/7/073045,FALSE,,,,,,
36,Goettingen University,2012,"1001,39",10.1088/1367-2630/14/8/085013,FALSE,,,,,,
37,Goettingen University,2012,"773,50",10.1088/1367-2630/14/11/113019,FALSE,,,,,,
38,Goettingen University,2012,"1001,39",10.1088/1367-2630/14/9/095029,FALSE,,,,,,
39,Goettingen University,2012,"1001,39",10.1088/1367-2630/14/9/093009,FALSE,,,,,,
40,Goettingen University,2012,"716,49",10.1364/OME.2.001176,FALSE,,,,,,
41,Goettingen University,2012,"945,02",10.1364/OME.2.001186,FALSE,,,,,,
42,Goettingen University,2012,"761,60",10.1186/2192-2853-1-10,FALSE,,,,,,
43,Goettingen University,2012,"1391,11",10.1103/PhysRevX.2.041008,FALSE,,,,,,
44,Goettingen University,2012,"1157,32",10.1371/journal.pone.0045297,FALSE,,,,,,
45,Goettingen University,2012,"1299,48",10.1186/1471-2253-12-18,FALSE,,,,,,
46,Goettingen University,2012,"1442,28",10.1186/1471-2407-12-424,FALSE,,,,,,
47,Goettingen University,2012,"1451,80",10.1186/1471-2407-12-570,FALSE,,,,,,
48,Goettingen University,2012,"1428,00",10.1186/1471-2121-13-22,FALSE,,,,,,
49,Goettingen University,2012,"1456,56",10.1186/1472-6890-12-19,FALSE,,,,,,
50,Goettingen University,2012,"1380,40",10.1186/1471-2334-12-146,FALSE,,,,,,
51,Goettingen University,2012,"1404,20",10.1186/1472-6920-12-45,FALSE,,,,,,
52,Goettingen University,2012,"1404,20",10.1186/1471-2180-12-171,FALSE,,,,,,
53,Goettingen University,2012,"1304,24",10.1186/1471-2199-13-9,FALSE,,,,,,
54,Goettingen University,2012,"1280,44",10.1186/1472-6831-12-17,FALSE,,,,,,
55,Goettingen University,2012,"647,36",10.1186/1756-0500-5-3,FALSE,,,,,,
56,Goettingen University,2012,"652,12",10.1186/1756-0500-5-486,FALSE,,,,,,
57,Goettingen University,2012,"1280,44",10.1186/1471-2482-12-3,FALSE,,,,,,
58,Goettingen University,2012,"1419,84",10.1186/1752-0509-6-S2-S15,FALSE,,,,,,
59,Goettingen University,2012,"1370,88",10.1186/1478-811X-10-43,FALSE,,,,,,
60,Goettingen University,2012,"1228,08",10.1186/1478-811X-10-9,FALSE,,,,,,
61,Goettingen University,2012,"1304,24",10.1186/cc11214,FALSE,,,,,,
62,Goettingen University,2012,"1404,20",10.1186/cc11468,FALSE,,,,,,
63,Goettingen University,2012,"1223,32",10.1186/1746-1596-7-20,FALSE,,,,,,
64,Goettingen University,2012,"1223,32",10.1186/1746-1596-7-26,FALSE,,,,,,
65,Goettingen University,2012,"1299,48",10.1186/1746-1596-7-140,FALSE,,,,,,
66,Goettingen University,2012,"1285,20",10.1186/1746-1596-7-95,FALSE,,,,,,
67,Goettingen University,2012,"1632,68",10.1186/1756-8935-5-13,FALSE,,,,,,
68,Goettingen University,2012,"952,00",10.1186/1687-6180-2012-153,FALSE,,,,,,
69,Goettingen University,2012,"1142,40",10.3389/fgene.2012.00197,FALSE,,,,,,
70,Goettingen University,2012,"1142,40",10.3389/fphar.2012.00053,FALSE,,,,,,
71,Goettingen University,2012,"1142,40",10.3389/fpsyt.2012.00058,FALSE,,,,,,
72,Goettingen University,2012,"1142,40",10.3389/fpsyt.2012.00067,FALSE,,,,,,
73,Goettingen University,2012,"1142,40",10.3389/fphar.2012.00186,FALSE,,,,,,
74,Goettingen University,2012,"1190,00",10.1186/1749-8090-7-6,FALSE,,,,,,
