Nr;Journal;Verlag;Jahr;DOI;GoeScholar;Fakultaet;E-ISSN;Kosten;Anmerkung;
1;Acta Neuropathologica Communications;BioMed Central;2013;10.1186/2051-5960-1-56;http://resolver.sub.uni-goettingen.de/purl?gs-1/9339;UMG;2051-5960;952;Ergänzungsfonds 2013;
2;Acta Veterinaria Scandinavica;BioMed Central;2013;10.1186/1751-0147-55-8;http://resolver.sub.uni-goettingen.de/purl?gs-1/8642;Biologie;1751-0147;1551,76;Ergänzungsfonds 2013;
3;Acta Veterinaria Scandinavica;BioMed Central;2013;10.1186/1751-0147-55-81;http://resolver.sub.uni-goettingen.de/purl?gs-1/9552;Biologie;1751-0147;1466,08;Ergänzungsfonds 2013;
4;Advances in Biosciences and Biotechnology;Scientific Research Publishing;2013;10.4236/abb.2013.49115;http://resolver.sub.uni-goettingen.de/purl?gs-1/9300;UMG;2156-8502;727,77;DFG-Fördermittel 2013;
5;Advances in Biosciences and Biotechnology;Scientific Research Publishing;2013;10.4236/abb.2013.410A3003;http://resolver.sub.uni-goettingen.de/purl?gs-1/9360;UMG;2156-8502;718,27;DFG-Fördermittel 2013;
6;AIP Advances;AIP;2013;10.1063/1.4816715;http://resolver.sub.uni-goettingen.de/purl?gs-1/9218;Physik;2158-3226;1025,75;DFG-Fördermittel 2013;
7;Algorithms for Molecular Biology;BioMed Central;2013;10.1186/1748-7188-8-9;http://resolver.sub.uni-goettingen.de/purl?gs-1/9067;UMG;1748-7188;1285,2;Ergänzungsfonds 2013;
8;Biogeosciences;Copernicus;2013;10.5194/bgd-10-11899-2013;http://resolver.sub.uni-goettingen.de/purl?gs-1/9583;Biologie;1726-4189;1207,85;DFG-Fördermittel 2013;
9;Biogeosciences;Copernicus;2013;10.5194/bgd-9-9029-2012;http://resolver.sub.uni-goettingen.de/purl?gs-1/8522;Forstwiss.;1726-4189;1242,36;DFG-Fördermittel 2013;
10;Biogeosciences;Copernicus;2013;10.5194/bg-10-1013-2013;http://resolver.sub.uni-goettingen.de/purl?gs-1/8904;Forstwiss.;1726-4189;1794,52;DFG-Fördermittel 2013;
11;Biogeosciences;Copernicus;2013;10.5194/bg-10-5367-2013;http://resolver.sub.uni-goettingen.de/purl?gs-1/9220;Forstwiss.;1726-4189;1069,81;DFG-Fördermittel 2013;
12;Biogeosciences;Copernicus;2013;10.5194/bg-10-2725-2013; http://resolver.sub.uni-goettingen.de/purl?gs-1/9130;Geowiss.;1726-4189;931,77;DFG-Fördermittel 2013;
13;BMC Clinical Pathology;BioMed Central;2013;10.1186/1472-6890-13-4;http://resolver.sub.uni-goettingen.de/purl?gs-1/8532;UMG;1472-6890;1466,08;Ergänzungsfonds 2013;
14;BMC Developmental Biology;BioMed Central;2013;10.1186/1471-213X-13-25;http://resolver.sub.uni-goettingen.de/purl?gs-1/9126;Biologie;1471-213X;1461,32;Ergänzungsfonds 2013;
15;BMC Developmental Biology;BioMed Central;2013;10.1186/1471-213X-13-27;http://resolver.sub.uni-goettingen.de/purl?gs-1/9179;Geowissenschaften (CRC Geobiology );1471-213X;1451,8;Ergänzungsfonds 2013;
16;BMC Evolutionary Biology;BioMed Central;2013;10.1186/1471-2148-13-39;http://resolver.sub.uni-goettingen.de/purl?gs-1/8634;Biologie;1471-2148;1470,84;Ergänzungsfonds 2013;
17;BMC Evolutionary Biology;BioMed Central;2013;10.1186/1471-2148-13-237;http://resolver.sub.uni-goettingen.de/purl?gs-1/10047;Biologie;1471-2148;1442,28;Ergänzungsfonds 2013;
18;BMC Evolutionary Biology;BioMed Central;2013;10.1186/1471-2148-13-235;http://resolver.sub.uni-goettingen.de/purl?gs-1/9450;Biologie/Courant Forschungszentrum Evolution des Sozialverhaltens     ;1471-2148;1442,28;Ergänzungsfonds 2013;
19;BMC Evolutionary Biology;BioMed Central;2013;10.1186/1471-2148-13-233;http://resolver.sub.uni-goettingen.de/purl?gs-1/10045;Biologie/DPZ;1471-2148;1442,28;Ergänzungsfonds 2013;
20;BMC Family Practice;BioMed Central;2013;10.1186/1471-2296-14-162;http://resolver.sub.uni-goettingen.de/purl?gs-1/9465;UMG;1471-2296;1437,52;Ergänzungsfonds 2013;
21;BMC Gastroenterology;BioMed Central;2013;10.1186/1471-230X-13-148;http://resolver.sub.uni-goettingen.de/purl?gs-1/10414;UMG;1471-230X;1442,28;Ergänzungsfonds 2013;
22;BMC Genomics;BioMed Central;2013;10.1186/1471-2164-14-5;http://resolver.sub.uni-goettingen.de/purl?gs-1/8539;Biologie;1471-2164;1494,64;Ergänzungsfonds 2013;
23;BMC Genomics;BioMed Central;2013;1471-2164-14-667;http://resolver.sub.uni-goettingen.de/purl?gs-1/10046;Biologie;1471-2164;1542,24;Ergänzungsfonds 2013;
24;BMC Medicine;BioMed Central;2013;10.1186/1741-7015-11-61;http://resolver.sub.uni-goettingen.de/purl?gs-1/8918;UMG;1741-7015;1723,12;Ergänzungsfonds 2013;
25;BMC Microbiology;BioMed Central;2013;10.1186/1471-2180-13-247;http://resolver.sub.uni-goettingen.de/purl?gs-1/10048;UMG;1471-2180;1442,28;Ergänzungsfonds 2013;
26;BMC Neurology;BioMed Central;2013;10.1186/1471-2377-13-24;http://resolver.sub.uni-goettingen.de/purl?gs-1/8778;UMG;1471-2377;1466,08;Ergänzungsfonds 2013;
27;BMC Neurology;BioMed Central;2013;10.1186/1471-2377-13-91;http://resolver.sub.uni-goettingen.de/purl?gs-1/9172;UMG;1471-2377;1542,24;Ergänzungsfonds 2013;
28;BMC Neurology;BioMed Central;2013;10.1186/1471-2377-13-163;http://resolver.sub.uni-goettingen.de/purl?gs-1/9420;UMG;1471-2377;1442,28;Ergänzungsfonds 2013;
29;BMC Oral Health;BioMed Central;2013;10.1186/1472-6831-13-48;http://resolver.sub.uni-goettingen.de/purl?gs-1/9333;UMG;1472-6831;1437,52;Ergänzungsfonds 2013;
30;BMC Plant Biology;BioMed Central;2013;10.1186/1471-2229-13-177;http://resolver.sub.uni-goettingen.de/purl?gs-1/10049;Biologie/GZMB;1471-2466;1428;Ergänzungsfonds 2013;
31;BMC Pulmonary Medicine;BioMed Central;2013;10.1186/1471-2466-13-4;http://resolver.sub.uni-goettingen.de/purl?gs-1/8527;UMG;1471-2466;1456,56;Ergänzungsfonds 2013;
32;BMC Urology;BioMed Central;2013;10.1186/1471-2490-13-3;http://resolver.sub.uni-goettingen.de/purl?gs-1/8495;UMG;1471-2490;1504,16;Ergänzungsfonds 2013;
33;BMC Urology;BioMed Central;2013;10.1186/1471-2490-13-31;http://resolver.sub.uni-goettingen.de/purl?gs-1/9135;Biologie;1471-2490;1542,24;Ergänzungsfonds 2013;
34;BMJ Open;BMJ Group;2013;10.1136/bmjopen-2013-003098;http://resolver.sub.uni-goettingen.de/purl?gs-1/9302;UMG;2044-6055;1902,24;DFG-Fördermittel 2013;
35;Cell Division;BioMed Central;2013;10.1186/1747-1028-8-3;http://resolver.sub.uni-goettingen.de/purl?gs-1/8925;UMG;1747-1028;1404,2;Ergänzungsfonds 2013;
36;Climate of the Past;Copernicus;2013;10.5194/cpd-9-5439-2013;http://www.clim-past-discuss.net/9/5439/2013/cpd-9-5439-2013.html;Biologie;1814-9332;1345,89;DFG-Fördermittel 2013 # Artikel 2014 (final version) in Climate Paste ersch.:  http://resolver.sub.uni-goettingen.de/purl?gs-1/10124CP ;
37;Clinical and Developmental Immunology;Hindawi;2013;10.1155/2013/526860;http://resolver.sub.uni-goettingen.de/purl?gs-1/9506;UMG;1740-2530;1295,92;DFG-Fördermittel 2013;
38;Communicative & integrative biology;Landes Bioscience;2013;10.1371/journal.pone.0054172;http://resolver.sub.uni-goettingen.de/purl?gs-1/8716;Chemie;1942-0889;466,49;DFG-Fördermittel 2013;
39;Complex Adaptive Systems Modeling;Springer Open;2013;10.1186/2194-3206-1-14;http://resolver.sub.uni-goettingen.de/purl?gs-1/10428;Informatik;2194-3206;799,68;Ergänzungsfonds 2013;
40;Critical Care;BioMed Central;2013;10.1186/cc12865;http://resolver.sub.uni-goettingen.de/purl?gs-1/9341;UMG;1466-609X;1542,24;Ergänzungsfonds 2013;
41;Diagnostic Pathology;BioMed Central;2013;10.1186/1746-1596-8-23;http://resolver.sub.uni-goettingen.de/purl?gs-1/8573;UMG;1746-1596;1285,2;Ergänzungsfonds 2013;
42;Diagnostic Pathology;BioMed Central;2013;10.1186/1746-1596-8-196;http://resolver.sub.uni-goettingen.de/purl?gs-1/9902;UMG;1746-1596;1232,84;Ergänzungsfonds 2013;
43;Diversity;MDPI, Basel;2013;10.1371/journal.pone.0054327;http://resolver.sub.uni-goettingen.de/purl?gs-1/8524;Agrarwiss.;1424-2818;481;DFG-Fördermittel 2013;
44;Ecology & Evolution;Wiley;2013;10.1002/ece3.564;http://resolver.sub.uni-goettingen.de/purl?gs-1/9127;Agrarwiss.;2045-7758;1332,8;DFG-Fördermittel 2013;
45;Frontiers in Cellular Neuroscience;Frontiers SA;2013;10.3389/fncel.2013.00065;http://resolver.sub.uni-goettingen.de/purl?gs-1/9124;UMG;1662-5102;1142,4;DFG-Fördermittel 2013;
46;Frontiers in computational neuroscience;Frontiers SA;2013;10.3389/fncom.2013.00079;http://resolver.sub.uni-goettingen.de/purl?gs-1/9132;UMG;1662-5188;1142,4;DFG-Fördermittel 2013;
47;Frontiers in Plant Science. Crop Science and Horticulture;Frontiers SA;2013;10.3389/fpls.2013.00332;http://resolver.sub.uni-goettingen.de/purl?gs-1/9306;Forstwiss.;1664-462X;1142,4;DFG-Fördermittel 2013;
48;Frontiers in Plant Science. Functional Plant Ecology;Frontiers SA;2013;10.3389/fpls.2013.00415;http://resolver.sub.uni-goettingen.de/purl?gs-1/9486;Biologie;1664-462X;1142,4;DFG-Fördermittel 2013;
49;Frontiers in Plant Science. Functional Plant Ecology;Frontiers SA;2013;10.3389/fpls.2013.00103;http://resolver.sub.uni-goettingen.de/purl?gs-1/8921;Forstwiss.;1664-462X;1142,4;DFG-Fördermittel 2013;
50;Frontiers in human neuroscience;Frontiers SA;2013;10.3389/fnhum.2013.00435;http://resolver.sub.uni-goettingen.de/purl?gs-1/9210;UMG;1662-5161;1142,4;DFG-Fördermittel 2013;
51;Frontiers in Neural Circuits;Frontiers SA;2013;10.3389/fncir.2013.00147;http://resolver.sub.uni-goettingen.de/purl?gs-1/9305;Biologie;1662-5110;1904;DFG-Fördermittel 2013;
52;Frontiers in Plant Science. Plant Biophysics and Modeling;Frontiers SA;2013;10.3389/fpls.2013.00393;http://resolver.sub.uni-goettingen.de/purl?gs-1/9493;Agrarwiss.;1664-462X;2380;DFG-Fördermittel 2013;
53;Frontiers in Plant Science. Functional Plant ecology;Frontiers SA;2013;10.3389/fpls.2013.00298;http://resolver.sub.uni-goettingen.de/purl?gs-1/9219;Agrarwiss.;1664-462X;1142,4;DFG-Fördermittel 2013;
54;Frontiers in Plant Science. Plant microbe interaction;Frontiers SA;2013;10.3389/fpls.2013.00149;http://resolver.sub.uni-goettingen.de/purl?gs-1/9131;Biologie;1664-462X;684,25;DFG-Fördermittel 2013;
55;Frontiers in Zoology;BioMed Central;2013;10.1186/1742-9994-10-70;http://resolver.sub.uni-goettingen.de/purl?gs-1/10050;Biologie/DPZ;1742-9994;1556,52;Ergänzungsfonds 2013;
56;Genetics Selection Evolution;BioMed Central;2013;10.1186/1297-9686-45-29;http://resolver.sub.uni-goettingen.de/purl?gs-1/9215;Agrar;1297-9686;1128,12;Ergänzungsfonds 2013;
57;Hydrology and Earth System Sciences;Copernicus;2013;10.5194/hess-17-4729-2013;http://resolver.sub.uni-goettingen.de/purl?gs-1/9532;Geowiss.;1607-7938;1000,79;DFG-Fördermittel 2013;
58;International Journal of Biodiversity and Conservation;Academic Journals (Sapele, Nigeria/Nairobi, Kenya);2013;10.5897/IJBC2013.0607;http://resolver.sub.uni-goettingen.de/purl?gs-1/9361;Forstwiss.;2141-243X;491,62;DFG-Fördermittel 2013;
59;Journal of Addiction Research & Therapy;OMICS;2013;10.4172/2155-6105.1000164;http://resolver.sub.uni-goettingen.de/purl?gs-1/9750;Biologie;2155-6105;812,37;Ergänzungsfonds 2013;
60;Journal of Cardiothoracic Surgery;BioMed Central;2013;10.1186/1749-8090-8-5;http://resolver.sub.uni-goettingen.de/purl?gs-1/8661;UMG;1748-8090;1347,08;Ergänzungsfonds 2013;
61;Journal of Cardiothoracic Surgery;BioMed Central;2013;10.1186/1749-8090-8-10;http://resolver.sub.uni-goettingen.de/purl?gs-1/8525;UMG;1748-8090;1375,64;Ergänzungsfonds 2013;
62;Journal of Cardiothoracic Surgery;BioMed Central;2013;10.1186/1749-8090-8-21;http://resolver.sub.uni-goettingen.de/purl?gs-1/8635;UMG;1748-8090;1337,56;Ergänzungsfonds 2013;
63;Journal of Cardiothoracic Surgery;BioMed Central;2013;10.1186/1749-8090-8-31;http://resolver.sub.uni-goettingen.de/purl?gs-1/8660;UMG;1748-8090;1351,84;Ergänzungsfonds 2013;
64;Journal of Cardiothoracic Surgery;BioMed Central;2013;10.1186/1749-8090-8-37;http://resolver.sub.uni-goettingen.de/purl?gs-1/8713;UMG;1748-8090;1566,04;Ergänzungsfonds 2013;
65;Journal of Cardiothoracic Surgery;BioMed Central;2013;10.1186/1749-8090-8-56;http://resolver.sub.uni-goettingen.de/purl?gs-1/8902;UMG;1748-8090;1356,6;Ergänzungsfonds 2013;
66;Journal of Cardiothoracic Surgery;BioMed Central;2013;10.1186/1749-8090-8-144;http://resolver.sub.uni-goettingen.de/purl?gs-1/9118;UMG;1748-8090;1566,04;Ergänzungsfonds 2013;
67;Journal of Cardiothoracic Surgery;BioMed Central;2013;10.1186/1749-8090-8-147;http://resolver.sub.uni-goettingen.de/purl?gs-1/9129;UMG;1748-8090;1475,6;Ergänzungsfonds 2013;
68;Journal of Cardiothoracic Surgery;BioMed Central;2013;10.1186/1749-8090-8-199;http://resolver.sub.uni-goettingen.de/purl?gs-1/9474;UMG;1748-8090;1442,28;Ergänzungsfonds 2013;
69;Journal of Cardiothoracic Surgery;BioMed Central;2013;10.1186/1749-8090-8-233;http://resolver.sub.uni-goettingen.de/purl?gs-1/9565;UMG;1748-8090;1447,04;Ergänzungsfonds 2013;
70;Journal of Clinical & Experimental Cardiology;OMICS;2013;10.4172/2155-9880.S11-008;http://resolver.sub.uni-goettingen.de/purl?gs-1/9212;UMG;2155-9880;845,92;DFG-Fördermittel 2013;
71;Journal of Dental Biomechanics;Sage;2013;10.1177/1758736013499770;http://resolver.sub.uni-goettingen.de/purl?gs-1/9211;UMG;1758-7360;1389,94;DFG-Fördermittel 2013;
72;Journal of Ethnobiology and Ethnomedicine;BioMed Central;2013;10.1186/1746-4269-9-25;http://resolver.sub.uni-goettingen.de/purl?gs-1/8930;Biologie;1746-4269;1285,2;Ergänzungsfonds 2013;
