institution;period;euro;DOI;is_hybrid;publisher;journal
Helmholtz-Zenrum Dresden-Rossendorf;2014;980,89;10.1371/journal.pone.0092776;FALSE;PLOS;PlosOne
Helmholtz-Zenrum Dresden-Rossendorf;2014;409,87;10.3390/ph7030311;FALSE;MDPI;Pharmaceuticals
Helmholtz-Zenrum Dresden-Rossendorf;2014;990;10.1088/1367-2630/16/2/023008;FALSE;IOP;New Journal of Physics



Helmholtz-Zenrum Dresden-Rossendorf;2014;675;10.1038/bcj.2014.20;FALSE;Nature;Blood Cancer Journal
Helmholtz-Zenrum Dresden-Rossendorf;2014;983,75;10.1371/journal.pone.0095517;FALSE;PLOS;PlosOne
Helmholtz-Zenrum Dresden-Rossendorf;2014;983,75;10.1371/journal.pone.0093745;FALSE;PLOS;PlosOne
Helmholtz-Zenrum Dresden-Rossendorf;2014;1209,04;10.1186/2191-219X-4-18;FALSE;Springer;EJNMMI Research
Helmholtz-Zenrum Dresden-Rossendorf;2014;1080;10.1088/1367-2630/16/7/073034;FALSE;IOP;New Journal of Physics



Helmholtz-Zenrum Dresden-Rossendorf;2014;1209,04;10.1186/s13550-014-0043-5;FALSE;Springer;EJNMMI Research



Helmholtz-Zenrum Dresden-Rossendorf;2014;1080;10.1088/0953-8984/25/5/054202;FALSE;IOP;New Journal of Physics
Helmholtz-Zenrum Dresden-Rossendorf;2014;1046;10.1038/srep07003;FALSE;Nature;Scientific Reports
Helmholtz-Zenrum Dresden-Rossendorf;2015;3110,66;10.1016/j.physletb.2015.05.034;FALSE;Elsevier;Physics Letters B

Helmholtz-Zenrum Dresden-Rossendorf;2015;1995;10.1002/advs.201500017;FALSE;Wiley;Advanced Science 
Helmholtz-Zenrum Dresden-Rossendorf;2015;1485;10.3390/molecules20069847;FALSE;MDPI;Molecules 




Helmholtz-Zenrum Dresden-Rossendorf;2015;1165;10.1038/srep08329;FALSE;Nature;Scientific Reports 
Helmholtz-Zenrum Dresden-Rossendorf;2015;1165;10.1038/srep08999;FALSE;Nature;Scientific Reports
Helmholtz-Zenrum Dresden-Rossendorf;2015;3700;10.1038/ncomms9175;FALSE;Nature;Nature Communications 
Helmholtz-Zenrum Dresden-Rossendorf;2015;638,82;10.3389/fphy.2015.00035;FALSE;Frontiers Media;Frontiers in Physics 
Helmholtz-Zenrum Dresden-Rossendorf;2015;1485;10.3390/molecules20069591;FALSE;MDPI;Molecules 20(2015), 9591-9615



Helmholtz-Zenrum Dresden-Rossendorf;2015;3110,66;10.1016/j.physletb.2015.04.019;FALSE;Elsevier;Physics Letters B

Helmholtz-Zenrum Dresden-Rossendorf;2015;1170;10.1088/1367-2630/17/11/113044;FALSE;IOP;New Journal of Physics 

Helmholtz-Zenrum Dresden-Rossendorf;2015;854,54;10.1364/OE.23.020732;FALSE;OSA;Optics Express 
Helmholtz-Zenrum Dresden-Rossendorf;2015;3480;10.1038/bcj.2015.73;FALSE;Nature;Blood Cancer Journal 
Helmholtz-Zenrum Dresden-Rossendorf;2015;1241,45;10.1063/1.4935871;FALSE;RightsLink;AIP Advances 
Helmholtz-Zenrum Dresden-Rossendorf;2015;343,9;10.3390/app5040761;FALSE;MDPI;Applied Sciences
Helmholtz-Zenrum Dresden-Rossendorf;2015;935,4;10.3390/en81112328;FALSE;MDPI;Energies 
Helmholtz-Zenrum Dresden-Rossendorf;2015;1165;10.1038/srep16786;FALSE;Nature;Scientific Reports 
Helmholtz-Zenrum Dresden-Rossendorf;2015;1560;10.1088/1367-2630/17/11/113059;FALSE;IOP;New Journal of Physics 
Helmholtz-Zenrum Dresden-Rossendorf;2015;1535,1;10.1186/s13550-016-0161-3;FALSE;Springer;EJNMMI Research 
Helmholtz-Zenrum Dresden-Rossendorf;2015;3700;10.1038/ncomms10295;FALSE;Nature;Nature Communications 
Helmholtz-Zenrum Dresden-Rossendorf;2015;2190,12;10.3389/fonc.2015.00256;FALSE;Frontiers Media;Frontiers in Oncology
Helmholtz-Zenrum Dresden-Rossendorf;2015;1535,1;10.1186/s13550-016-0174-y;FALSE;Springer;EJNMMI Research 
Helmholtz-Zenrum Dresden-Rossendorf;2016;1170;10.1088/1367-2630/17/12/123019;FALSE;IOP;New Journal of Physics 
