"institution","consortium","contract_name","identifier","period_from","period_to","cost_type","euro","group_id"
"University of Education Schwaebisch Gmuend","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"read",428.0,"02g2sh456_els2023deal_2024"
"University of Education Schwaebisch Gmuend","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"publish",642.0,"02g2sh456_els2023deal_2024"
"University of Education Schwaebisch Gmuend","Projekt DEAL Consortium","Springer Nature (DEAL) 2024-2028","sn2024deal",2024,2024,"read",1155.6,"02g2sh456_sn2024deal_2024"
"University of Education Schwaebisch Gmuend","Projekt DEAL Consortium","Springer Nature (DEAL) 2024-2028","sn2024deal",2024,2024,"publish",8474.4,"02g2sh456_sn2024deal_2024"
"University of Education Schwaebisch Gmuend","Projekt DEAL Consortium","Wiley (DEAL) 2019-2023","wiley2019deal",2022,2022,"read",2153.79,"02g2sh456_wiley2019deal_2022"
"University of Education Schwaebisch Gmuend","Projekt DEAL Consortium","Wiley (DEAL) 2019-2023","wiley2019deal",2022,2022,"publish",2493.1,"02g2sh456_wiley2019deal_2022"
"University of Education Schwaebisch Gmuend","Projekt DEAL Consortium","Wiley (DEAL) 2019-2023","wiley2019deal",2022,2022,"read",106.68,"02g2sh456_wiley2019deal_2022"
"University of Education Schwaebisch Gmuend","Projekt DEAL Consortium","Wiley (DEAL) 2019-2023","wiley2019deal",2022,2022,"publish",123.49,"02g2sh456_wiley2019deal_2022"
"University of Education Schwaebisch Gmuend","Projekt DEAL Consortium","Wiley (DEAL) 2019-2023","wiley2019deal",2023,2023,"read",2010.69,"02g2sh456_wiley2019deal_2023"
"University of Education Schwaebisch Gmuend","Projekt DEAL Consortium","Wiley (DEAL) 2019-2023","wiley2019deal",2023,2023,"publish",2326.89,"02g2sh456_wiley2019deal_2023"
"University of Education Schwaebisch Gmuend","Projekt DEAL Consortium","Springer Nature (DEAL) 2020-2023","sn2020deal",2022,2022,"read",914.37,"02g2sh456_sn2020deal_2022"
"University of Education Schwaebisch Gmuend","Projekt DEAL Consortium","Springer Nature (DEAL) 2020-2023","sn2020deal",2022,2022,"publish",7457.37,"02g2sh456_sn2020deal_2022"
"University of Education Schwaebisch Gmuend","Projekt DEAL Consortium","Springer Nature (DEAL) 2020-2023","sn2020deal",2022,2022,"read",1319.79,"02g2sh456_sn2020deal_2022"
"University of Education Schwaebisch Gmuend","Projekt DEAL Consortium","Springer Nature (DEAL) 2020-2023","sn2020deal",2022,2022,"publish",9045.3,"02g2sh456_sn2020deal_2022"
"University of Education Schwaebisch Gmuend","Projekt DEAL Consortium","Springer Nature (DEAL) 2020-2023","sn2020deal",2023,2023,"read",914.37,"02g2sh456_sn2020deal_2023"
"University of Education Schwaebisch Gmuend","Projekt DEAL Consortium","Springer Nature (DEAL) 2020-2023","sn2020deal",2023,2023,"publish",7457.37,"02g2sh456_sn2020deal_2023"
