"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"Aalto University",2021,1450,"10.1201/9781003128830",FALSE,"Routledge","A Handbook of Theories on Designing Alignment between People and the Office Environment","978-1-003-12883-0",NA,"978-1-003-12883-0","http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,TRUE
"Aalto University",2021,8710,"10.1007/978-3-030-73770-2",FALSE,"Springer International Publishing","Post-Digital, Post-Internet Art and Education","978-3-030-73769-6","978-3-030-73769-6","978-3-030-73770-2","https://creativecommons.org/licenses/by/4.0",TRUE,TRUE
"University of Jyväskylä",2020,10571,"10.4324/9780429437748",FALSE,"Routledge","Immersive Journalism as Storytelling","978-0-429-43774-8",NA,"978-0-429-43774-8","http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,TRUE
"University of Jyväskylä",2020,11600,"10.4324/9780429243042",FALSE,"Routledge","Reconfiguring Human, Nonhuman and Posthuman in Literature and Culture","978-0-429-24304-2",NA,"978-0-429-24304-2","http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,FALSE
"University of Jyväskylä",2020,2900,"10.4324/9780429355608",FALSE,"Routledge","Challenges and Solutions in Ethnographic Research","978-0-429-35560-8",NA,"978-0-429-35560-8","http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,TRUE
"University of Jyväskylä",2020,8000,"10.1163/9789004428096",FALSE,"Brill","Career and Career Guidance in the Nordic Countries","978-90-04-42809-6",NA,"978-90-04-42809-6",NA,TRUE,FALSE
"University of Jyväskylä",2020,9091,"10.4324/9780429279171",FALSE,"Routledge","Practices of Citizenship in East Africa","978-0-429-27917-1",NA,"978-0-429-27917-1","http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,FALSE
"University of Jyväskylä",2021,13000,"10.1007/978-3-030-97243-1",FALSE,"Springer International Publishing","Care Poverty","978-3-030-97242-4","978-3-030-97242-4","978-3-030-97243-1","https://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"University of Jyväskylä",2021,2900,"10.4324/9781315163659",FALSE,"Routledge","Responsible Drone Journalism","978-1-315-16365-9",NA,"978-1-315-16365-9","http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,TRUE
"University of Jyväskylä",2021,3480,"10.4324/9781315732947",FALSE,"Routledge","Human Development from Middle Childhood to Middle Adulthood","978-1-315-73294-7",NA,"978-1-315-73294-7","http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,TRUE
"University of Jyväskylä",2021,7000,"10.1007/978-3-030-82767-0",FALSE,"Springer International Publishing","Modes of Esports Engagement in Overwatch","978-3-030-82766-3","978-3-030-82766-3","978-3-030-82767-0","https://creativecommons.org/licenses/by/4.0",TRUE,TRUE
"University of Jyväskylä",2021,8060,"10.1007/978-3-030-94882-5",FALSE,"Springer International Publishing","Learning, Philosophy, and African Citizenship","978-3-030-94881-8","978-3-030-94881-8","978-3-030-94882-5","https://creativecommons.org/licenses/by/4.0",TRUE,FALSE
