"institution";"period";"euro";"DOI";"is_hybrid";"publisher";"journal_full_title";"issn";"issn_print";"issn_electronic";"url";
"Université Technologique de Compiègne";2022;1532,48;"10.3390/math10010150";"FALSE";;;;;;;
"Université Technologique de Compiègne";2022;1263,74;"10.3390/en15041556";"FALSE";;;;;;;
"Université Technologique de Compiègne";2022;2745;"10.1007/s00163-022-00389-w";"TRUE";;;;;;;
"Université Technologique de Compiègne";2022;1100;"10.3390/catal12050544";"FALSE";;;;;;;
"Université Technologique de Compiègne";2022;1765,82;"10.3390/bioengineering9090443";"FALSE";;;;;;;
"Université Technologique de Compiègne";2022;2956,68;"10.3389/fmicb.2022.977633";"FALSE";;;;;;;
"Université Technologique de Compiègne";2023;1246,78;"10.1016/j.polymertesting.2022.107851";"FALSE";;;;;;;
"Université Technologique de Compiègne";2022;1036,97;"10.3390/app12094115";"FALSE";;;;;;;
"Université Technologique de Compiègne";2022;991,88;"10.3390/en15093421";"FALSE";;;;;;;
"Université Technologique de Compiègne";2022;1947,64;"10.5772/intechopen.103756";"FALSE";;;"978-1-80355-767-0";;;;"BPC"
"Université Technologique de Compiègne";2022;1593,99;"10.5772/intechopen.110630";"FALSE";;;"978-1-83768-537-0";;;;"BPC"
"Université Technologique de Compiègne";2022;1005;"10.1016/j.ultsonch.2021.105895";"FALSE";;;;;;;
