institution,period,euro,DOI,is_hybrid,authors,Article title,Journal full title
Universitat de Barcelona,2018,1096,https://dx.doi.org/10.1038/s41598-018-30494-7,FALSE,"Fernández Barat, Laia; Ben Aicha, Soumaya; Motos, Anna; Vila, Jordi; Marco, Francesc; Rigol, Montserrat; Muñoz, Laura; Li Bassi, Gianluigi; Ferrer, Miquel; Torres, Antoni",Assessment of in vivo versus in vitro biofilm formation of clinical methicillin-resistant Staphylococcus aureus isolates from endotracheal tubes,Scientific Reports
Universitat de Barcelona,2017,"209,58",https://dx.doi.org/10.3389/fpsyg.2017.01415,FALSE,"Diana, Barbara; Zurloni, Valentino; Elia, Massimiliano; Cavalera, Cesare M.; Jonsson, Gudberg K.; Anguera, M. Teresa",How Game Location Affects Soccer Performance: T-Pattern Analysis of Attack Actions in Home and Away Matches,Frontiers in Psychology
Universitat de Barcelona,2017,"157,19",https://dx.doi.org/10.3389/fpsyg.2017.02031,FALSE,"Escolano Pérez, Elena; Herrero Nivela, Mª Luisa; Blanco Villaseñor, Angel; Anguera, M. Teresa",Systematic observation: relevance of this approach in preschool executive function assessment and association with later academic skills,Frontiers in Psychology
Universitat de Barcelona,2017,1500,https://dx.doi.org/10.1186/s12859-017-2006-0,FALSE,"Marco Ramell, Anna; Palau Rodriguez, Magali; Alay, Ania; Tulipani, Sara; Urpi Sarda, Mireia; Sanchez Pla, Alex; Andres Lacueva, Cristina",Evaluation and comparison of bioinformatic tools for the enrichment analysis of metabolomics data,BMC Bioinformatics
Universitat de Barcelona,2017,1500,https://dx.doi.org/10.3389/fnhum.2017.00557,FALSE,"López Caballero, Fran; Escera, Carles",Binaural Beat: A Failure to Enhance EEG Power and Emotional Arousal,Frontiers in Human Neuroscience
Universitat de Barcelona,2017,"636,22",https://dx.doi.org/10.1371/journal.pone.0190806,FALSE,"Guilera, Georgina; Barrios, Maite; Penelo, Eva; Morin, Christopher; Steel, Piers; Gómez Benito, Juana",Validation of the Spanish Version of the Irrational Procrastination Scale (IPS),PLOS ONE
Universitat de Barcelona,2018,1500,https://dx.doi.org/10.3389/fmicb.2017.02619,FALSE,"Berlanga, Mercedes; Palau, Montserrat; Guerrero, Ricardo",Functional Stability and Community Dynamics during Spring and Autumn Seasons Over 3 Years in Camargue Microbial Mats,Frontiers in Microbiology
Universitat de Barcelona,2018,720,https://dx.doi.org/10.1051/parasite/2018005,FALSE,"Ballart, Cristina; Pesson, Bernard; Gállego, Montserrat",Isoenzymatic characterization of Phlebotomus ariasi and P. perniciosus of canine leishmaniasis foci from Eastern Pyrenean regions and comparison with other populations from Europe,Parasite
Universitat de Barcelona,2018,"668,07",https://dx.doi.org/10.1371/journal.pone.0192175,FALSE,"Jayaraman, Anusha; Kumar, Praveen; Marin, Silvia; De Atauri, Pedro; Mateo, Francesca; Thomson, Timothy M.; Centelles, Josep J.; Graham, Stewart F.; Cascante, Marta",Untargeted metabolomics reveals distinct metabolic reprogramming in endothelial cells co-cultured with CSC and non-CSC prostate cancer cell subpopulations,PLOS ONE
Universitat de Barcelona,2018,"920,98",https://dx.doi.org/10.1016/j.molmet.2017.12.008,FALSE,"Zarei, Mohammad; Barroso, Emma; Palomer, Xavier; Dai, Jianli; Rada, Patricia; Quesada López, Tania; Escolà Gil, Joan Carles; Cedó, Lidia; Zali, Mohammad Reza; Molaei, Mahsa; Dabiri, Reza; Vázquez, Santiago; Pujol, Eugènia; Valverde, Ángela M.; Villarroya, Francesc; Liu, Yong; Wahli, Walter; Vázquez Carrera, Manuel",Hepatic regulation of VLDL receptor by PPARb/d and FGF21 modulates non-alcoholic fatty liver disease,Molecular Metabolism
Universitat de Barcelona,2018,"1312,5",https://dx.doi.org/10.3389/fphar.2018.00106,FALSE,"Moreno, Estefanía; Canet, Júlia; Gracia, Eduard; Lluís, Carme; Mallol, Josefa; Canela, Enric I.; Cortés, Antoni; Casadó, Vicent",Molecular Evidence of Adenosine Deaminase Linking Adenosine A2A Receptor and CD26 Proteins,Frontiers in Pharmacology
Universitat de Barcelona,2018,1370,https://dx.doi.org/10.1038/s41598-018-20893-1,FALSE,"López Begines, Santiago; Plana Bonamaisó, Anna; Méndez, Ana",Molecular determinants of Guanylate Cyclase Activating Protein subcellular distribution in photoreceptor cells of the retina,Scientific Reports
