institution,period,euro,DOI,is_hybrid,authors,Article title,Journal full title,url,publisher,issn,license
Universitat de Barcelona,2014,757, 10.1186/1752-0509-8-S2-S6,FALSE,"Reverter, Ferran; Vegas, Esteban; Oller, Josep M.",Kernel PCA data integration with enhanced interpretability,BMC Systems Biology,,,,
Universitat de Barcelona,2014,988, 10.1371/journal.pone.0073664,FALSE,"Saavedra, Ana; Giralt, Albert; Arumí, Helena; Alberch, Jordi; Pérez-Navarro, Esther",Regulation of Hippocampal cGMP Levels as a Candidate to Treat Cognitive Deficits in Huntington’s Disease,PLOS ONE,,,,
Universitat de Barcelona,2014,"110,63", 10.1371/journal.pone.0085049,FALSE,"Lalanza, Jaume F.; Caimari, Antoni; Bas, Josep M. del; Torregrosa, Daniel; Cigarroa, Igor; Pallàs, Mercè; Capdevila, Lluís; Arola, Lluís; Escorihuela, Rosa M.","Effects Of A Post-Weaning Cafeteria Diet In Young Rats: Metabolic Syndrome, Reduced Activity And Low Anxiety-Like Behaviour",PLOS ONE,,,,
Universitat de Barcelona,2014,960, 10.3389/fpsyg.2014.00050,FALSE,"Cameron, Brendan D.; Malla, Cristina de la; López-Moliner, Joan",The role of differential delays in integrating transient visual and proprioceptive information,Frontiers in Psychology,,,,
Universitat de Barcelona,2014,"311,14", 10.1371/journal.pone.0088224,FALSE,"Santos, Xavier; Mateos, Eduardo; Bros, Vicenç; Brotons, Lluís; Mas, Eva De; Herraiz, Joan A.; Herrando, Sergi; Miño, Àngel; Olmo-Vidal, Josep M.; Quesada, Javier; Ribes, Jordi; Sabaté, Santiago; Sauras-Yera, Teresa; Serra, Antoni; Vallejo, V. Ramón; Viñolas, Amador",Is Response to Fire Influenced by Dietary Specialization and Mobility? A Comparative Study with Multiple Animal Assemblages,PLOS ONE,,,,
Universitat de Barcelona,2014,"307,5", 10.5194/nhess-14-427-2014,FALSE,"Llasat, M. C.; Turco, M.; Quintana-Seguí, P.; Llasat-Botija, M.",The snow storm of 8 March 2010 in Catalonia (Spain): a paradigmatic wet-snow event with a high societal impact,Natural Hazards and Earth System Sciences,,,,
Universitat de Barcelona,2014,"711,17", 10.1371/journal.pone.0088410,FALSE,"Castro-Miró, Marta de; Pomares, Esther; Lorés-Motta, Laura; Tonda, Raul; Dopazo, Joaquín; Marfany, Gemma; Gonzàlez-Duarte, Roser",Combined Genetic and High-Throughput Strategies for Molecular Diagnosis of Inherited Retinal Dystrophies,PLOS ONE,,,,
Universitat de Barcelona,2014,"1305,97", 10.3390/ijms15022840,FALSE,"Merino, Susana; Tomás, Juan M.",Gram-Negative Flagella Glycosylation,International Journal of Molecular Sciences,,,,
Universitat de Barcelona,2014,800, 10.3389/fnhum.2013.00908,FALSE,"Pomés, Ausiàs; Slater, Mel",Drift and ownership towards a distant virtual body,Frontiers in Human Neuroscience,,,,
Universitat de Barcelona,2014,800, 10.3389/fnhum.2013.00083,FALSE,"Maselli, Antonella; Slater, Mel",The building blocks of the full body ownership illusion,Frontiers in Human Neuroscience,,,,
Universitat de Barcelona,2014,"290,02", 10.4236/ojs.2014.42015,FALSE,"Cuadras, Carles M.",Nonlinear Principal and Canonical Directions from Continuous Extensions of Multidimensional Scaling,Open Journal of Statistics,,,,
Universitat de Barcelona,2014,920, 10.1186/1754-6834-7-29,FALSE,"Cesarini, Silvia; Falkenberg Haller, Rune; Diaz, Pilar; Munk Nielsen, Per",Combining phospholipases and a liquid lipase for one-step biodiesel production using crude oils,Biotechnology for Biofuels,,,,
Universitat de Barcelona,2014,"814,67", 10.1371/journal.ppat.1004000,FALSE,"Zarama, Angela; Pérez-Carmona, Natàlia; Farré, Domènec; Tomic, Adriana; Borst, Eva Maria; Messerle, Martin; Jonjic, Stipan; Engel, Pablo; Angulo, Ana",Cytomegalovirus m154 Hinders CD48 Cell-Surface Expression and Promotes Viral Escape from Host Natural Killer Cell Control,PLOS ONE,,,,
Universitat de Barcelona,2014,"368,4", 10.1371/journal.pone.0090489,FALSE,"Vighi, Morgana; Borrell, Asunción; Crespo, Enrique A.; Oliveira, Larissa R.; Simões-Lopes, Paulo C.; Flores, Paulo A. C.; García, Néstor A.; Aguilar, Alejandro",Stable Isotopes Indicate Population Structuring in the Southwest Atlantic Population of Right Whales (Eubalaena australis),PLOS ONE,,,,
Universitat de Barcelona,2014,"978,83", 10.1371/journal.pone.0080628,FALSE,"Marín-Juez, Rubén; Diaz, Mónica; Morata, Jordi; Plana, Josep V.",Mechanisms Regulating GLUT4 Transcription in Skeletal Muscle Cells Are Highly Conserved across Vertebrates,PLOS ONE,,,,
Universitat de Barcelona,2014,"525,23", 10.4236/sm.2014.42014,FALSE,"Rodríguez Díaz, José A.; Arroyo Moliner, Liliana",Open Organization Networks: Combining Closure and Openness in the Social World of an European Buddhist Monastery,Sociology Mind,,,,
Universitat de Barcelona,2014,1046, 10.1038/srep04440,FALSE,"Bianco, Valentino; Franzese, Giancarlo",Critical behavior of a water monolayer under hydrophobic confinement,Scientific Reports,,,,
Universitat de Barcelona,2014,710, 10.3389/fnagi.2014.00051,FALSE,"Cosín-Tomás, Marta; Alvarez-López, María J.; Sanchez-Roige, Sandra; Lalanza, Jaume F.; Bayod, Sergi; Sanfeliu, Coral; Pallàs, Merce; Escorihuela, Rosa M.; Kaliman, Perla",Epigenetic alterations in hippocampus of SAMP8 senescent mice and modulation by voluntary physical exercise,Frontiers in Aging Neuroscience,,,,
Universitat de Barcelona,2014,"540,34", 10.1371/journal.pcbi.1003571,FALSE,"Ruiz-Carmona, Sergio; Alvarez-Garcia, Daniel; Foloppe, Nicolas; Garmendia-Doval, A. Beatriz; Juhos, Szilveszter; Schmidtke, Peter; Barril, Xavier; Hubbard, Roderick E.; Morley, S. David","rDock: A Fast, Versatile and Open Source Program for Docking Ligands to Proteins and Nucleic Acid",PLOS Computational Biology,,,,
Universitat de Barcelona,2014,"970,18", 10.1371/journal.pone.0092288,FALSE,"Aguilar, Alex; Giménez, Joan; Gómez–Campos, Encarna; Cardona, Luís; Borrell, Asunción",δ15N Value Does Not Reflect Fasting in Mysticetes,PLOS ONE,,,,
Universitat de Barcelona,2014,"646,94", 10.1371/journal.pone.0089630,FALSE,"Merino, Susana; Fulton, Kelly M.; Twine, Susan M.; Wilhelms, Markus; Molero, Raquel; Tomás, Juan M.",Aeromonas hydrophila Flagella Glycosylation: Involvement of a Lipid Carrier,PLOS ONE,,,,
Universitat de Barcelona,2014,"1897,2", 10.1016/j.celrep.2014.03.043,FALSE,"Reverter, Meritxell; Rentero, Carles; Garcia-Melero, Ana; Hoque, Monira; Vilà de Muga, Sandra; Álvarez-Guaita, Anna; Conway, James R. W.; Wood, Peta; Cairns, Rose; Lykopoulou, Lilia; Grinberg, Daniel; Vilageliu, Lluïsa; Bosch, Marta; Heeren, Joerg; Blasi, Juan; Timpson, Paul; Pol, Albert; Tebar, Francesc; Murray, Rachael Z.; Grewal, Thomas; Enrich, Carlos",Cholesterol Regulates Syntaxin 6 Trafficking at trans-Golgi Network Endosomal Boundaries,Cell Reports,,,,
Universitat de Barcelona,2014,"523,33", 10.1186/1471-2458-14-268,FALSE,"Crespo, Inma; Soldevila, Núria; Muñoz, Pilar; Godoy, Pere; Carmona, Gloria; Domínguez, Angela","Geographical differences in whooping cough in Catalonia, Spain, from 1990 to 2010",BMC Public Health,,,,
Universitat de Barcelona,2014,"811,34", 10.1371/journal.pone.0096504,FALSE,"Carreras-Torres, Robert; Kundu, Suman; Zanetti, Daniela; Esteban, Esther; Via, Marc; Moral, Pedro",Genetic Risk Score of NOS Gene Variants Associated with Myocardial Infarction Correlates with Coronary Incidence across Europe,PLOS ONE,,,,
Universitat de Barcelona,2014,704, 10.3390/d6020323,FALSE,"Álvarez-Presas, Marta; Riutort, Marta","Planarian (Platyhelminthes, Tricladida) Diversity and Molecular Markers: A New View of an Old Group",Diversity,,,,
Universitat de Barcelona,2014,"360,06", 10.1371/journal.pgen.1004401,FALSE,"Fernández, Eva; Pérez-Pérez, Alejandro; Gamba, Cristina; Prats, Eva; Cuesta, Pedro; Anfruns, Josep; Molist, Miquel; Arroyo-Pardo, Eduardo; Turbón, Daniel",Ancient DNA Analysis of 8000 B.C. Near Eastern Farmers Supports an Early Neolithic Pioneer Maritime Colonization of Mainland Europe through Cyprus and the Aegean Islands,PLOS Genetics,,,,
Universitat de Barcelona,2014,"486,45", 10.1371/journal.pone.0096528,FALSE,"Lopez-Lopez, Alan; Gamez, Josep; Syriani, Emilio; Morales, Miguel; Salvado, Maria; Rodríguez, Manuel J.; Mahy, Nicole; Vidal-Taboada, Jose M.",CX3CR1 Is a Modifying Gene of Survival and Progression in Amyotrophic Lateral Sclerosis,PLOS ONE,,,,
Universitat de Barcelona,2014,"145,34",,FALSE,"Figueras Ferrer, Eva",From Artistic Engraving to Reproductive Engraving Through a Critical/analytical Study of Abraham Bosses Treatise,International Journal of Humanities and Social Science (IJHSS),http://www.ijhssnet.com/journals/Vol_4_No_7_May_2014/4.pdf,"Center for Promoting Ideas (CPI),",2220-8488,
Universitat de Barcelona,2014,"1091,99", 10.1371/journal.pgen.1004400,FALSE,"Almuedo-Castillo, María; Crespo, Xenia; Seebeck, Florian; Bartscherer, Kerstin; Salò, Emili; Adell, Teresa",JNK Controls the Onset of Mitosis in Planarian Stem Cells and Triggers Apoptotic Cell Death Required for Regeneration and Remodeling,PLOS Genetics,,,,
Universitat de Barcelona,2014,1926, 10.1186/1471-2458-14-487,FALSE,"Via-Sosa, Maria Angeles; Toro, Cristina; Travé, Pere; March, Marian A.",Screening premorbid metabolic syndrome in community pharmacies: a cross-sectional descriptive study,BMC Public Health,,,,
Universitat de Barcelona,2014,"984,6", 10.1371/journal.pone.0099618,FALSE,"Ejarque-Gonzalez, Elisabet; Butturini, Andrea",Self-Organising Maps and Correlation Analysis as a Tool to Explore Patterns in Excitation-Emission Matrix Data Sets and to Discriminate Dissolved Organic Matter Fluorescence Components,PLOS ONE,,,,
Universitat de Barcelona,2014,"984,6", 10.1371/journal.pone.0099579,FALSE,"Suárez-Pellicioni, Macarena; Núñez-Peña, María Isabel; Colomé, Àngels",Reactive Recruitment of Attentional Control in Math Anxiety: An ERP Study of Numeric Conflict Monitoring and Adaptation,PLOS ONE,,,,
Universitat de Barcelona,2014,"1873,46", 10.1186/1471-2296-15-75,FALSE,"Bosch, Xavier; Escoda, Ona; Nicolás, David; Coloma, Emmanuel; Fernández, Sara; Coca, Antonio; López-Soto, Alfonso",Primary care referrals of patients with potentially serious diseases to the emergency department or a quick diagnosis unit: a cross-sectional retrospective study,BMC Family Practice,,,,
Universitat de Barcelona,2014,"756,95", 10.1155/2014/264836,FALSE,"Baltasar Sánchez, Alicia; Gonzalez Sistal, Angel",A Quantitative Method for the Characterization of Lytic Metastases of the Bone from Radiographic Images,The Scientific World Journal,,,,
Universitat de Barcelona,2014,968, 10.2436/20.1501.01.199,FALSE,"Etxeberria, Marina; López-Jiménez, Lidia; Merlos, Alexandra; Escuín, Tomás; Viñas, Miguel",Bacterial adhesion efficiency of implant abutments: a comparative study,International Microbiology,,,,
Universitat de Barcelona,2014,"432,66", 10.1371/journal.pone.0094607,FALSE,"Sarrión, Patricia; Mellibovsky, Leonardo; Urreizti, Roser; Civit, Sergi; Cols, Neus; García-Giralt, Natàlia; Yoskovitz, Guy; Aranguren, Alvaro; Malouf, Jorge; Gregorio, Silvana Di; Río, Luís Del; Güerri, Roberto; Nogués, Xavier; Díez-Pérez, Adolfo; Grinberg, Daniel; Balcells, Susana",Genetic Analysis of High Bone Mass Cases from the BARCOS Cohort of Spanish Postmenopausal Women,PLOS ONE,,,,
Universitat de Barcelona,2014,"533,33", 10.1186/1471-2148-14-118,FALSE,"Vitales, Daniel; Garnatje, Teresa; Pellicer, Jaume; Vallès, Joan; Santos-Guerra, Arnoldo; Sanmartín, Isabel","The explosive radiation of Cheirolophus (Asteraceae, Cardueae) in Macaronesia",BMC Evolutionary Biology,,,,
Universitat de Barcelona,2014,720, 10.1088/1367-2630/16/10/103004,FALSE,"García-March, M. A.; Juliá-Díaz, B.; Astrakharchik, G. E.; Busch, Th.; Boronat, J.; Polls, A.",Quantum correlations and spatial localization in one-dimensional ultracold bosonic mixtures,New Journal of Physics,,,,
