institution,period,euro,DOI,is_hybrid,authors,Article title,Journal full title
Universitat de Barcelona,2011,"955,71",10.1186/1471-2164-12-182,FALSE,"Selga, E.; Pérez-Cano, F.J.; Franch, A.; Ramírez-Santana, C.; Rivero, M.; Ciudad, C.J.; Castellote, C.; Noé, V.",Gene expression profiles in rat mesenteric lymph nodes upon supplementation with Conjugated Linoleic Acid during gestation and suckling,BMC Genomics
Universitat de Barcelona,2011,1054,10.1186/1477-7827-9-101,FALSE,"Alemany, M.",Different effects of hyperlipidic diets in human lactation and adulthood: growth versus the development of obesity,Reproductive Biology and Endocrinology
Universitat de Barcelona,2011,915,10.1186/1750-1326-6-71,FALSE,"Giralt, A; Carretón, O; Lao-Peregrin, C; Martín, ED; Alberch, J",Conditional BDNF release under pathological conditions improves Huntington's disease pathology by delaying neuronal dysfunction.,Molecular Neurodegeneration
Universitat de Barcelona,2011,633,10.1186/1756-0500-4-429,FALSE,"García-Basteiro, A.L.; Bosch, A.; Sicuri, E.; Bayas, J.M.; Trilla, A.; Hayes, E.B.","Hospitalizations due to rotavirus gastroenteritis in Catalonia, Spain, 2003-2008",BMC Research Notes
Universitat de Barcelona,2011,1317,10.1186/1750-1326-6-74,FALSE,"Xifró,, X; Anglada-Huguet M; Rué, L; Saavedra,, A; Pérez-Navarro E; Alberch, J",Increased 90-kDa ribosomal S6 kinase (Rsk) activity is protective against mutant huntingtin toxicity.,Molecular Neurodegeneration
Universitat de Barcelona,2011,"1075,25",10.1186/1743-7075-8-74,FALSE,"Alemany, M.",Utilization of dietary glucose in the metabolic syndrome,Nutrition and Metabolism
Universitat de Barcelona,2011,335,10.1371/journal.pone.0015699,FALSE,"Torner, N.; Carnicer-Pont, M.D.; Castilla, J.; Caylà, J.; Godoy, P.; Domínguez, A.",Auditing the management of vaccine-preventable disease outbreaks: the need for a tool.,PLoS ONE
Universitat de Barcelona,2011,715,10.1093/gbe/evq084,FALSE,"Alvarez-Ponce, D.; Aguadé, M.; Rozas, J.",Comparative genomics of the vertebrate insulin/TOR signal transduction pathway: A network-level analysis of selective pressures.,Genome Biology and Evolution
Universitat de Barcelona,2011,1460,10.1186/1752-0509-5-76,FALSE,"Serrano, M.A.; Sagués, F.",Network-based scoring system for genome-scale metabolic reconstructions,BMC Systems Biology
Universitat de Barcelona,2011,760,10.1371/journal.pone.0024554,FALSE,"Gómez Campos, E.; Borrell, A.; Cardona, L.; Forcada, J.; Aguilar, A.",Overfishing of small pelagic fishes increases trophic overlap between immature and mature striped dolphins in the Mediterranean Sea,PLoS ONE
Universitat de Barcelona,2011,954,10.1371/journal.pone.0017549,FALSE,"Colomer-Lluch, M.; Jofre, J.; Muniesa, M.",Antibiotic resistance genes in the bacteriophage DNA fraction of environmental samples,PLoS ONE
Universitat de Barcelona,2011,"1376,7",10.1186/1471-2164-12-133,FALSE,E. Fernández-Taboada; G. Rodríguez-Esteban; E. Saló; J.F. Abril,A proteomics approach to decipher the molecular nature of planarian stem cells.,BMC Genomics
Universitat de Barcelona,2011,"420,76",10.5897/AJBM11.676,FALSE,"Keropyan, A.; Gil Lafuente, A.M.",A fuzzy-based decision model application on strategic management,African Journal of Business Management
Universitat de Barcelona,2011,383,10.1007/978-3-642-30433-0_17,FALSE,"Merigó, J.M.; Gil Lafuente, A.M.; Gil Aluja, J.",A new aggregation method for strategic decision making and its application in assignment theory,African Journal of Business Management
Universitat de Barcelona,2011,354,10.1186/1741-7007-9-4,FALSE,"Palacios, O.; Pagani, A.; Perez-Rafael, S.; Egg, M.; Höckner, M.; Brandstätter, A.; Capdevila, M.; Atrian, S.; Dallinger, R.",Shaping mechanisms of metal specificity in a family of metazoan Metallothioneins: Evolutionary Differentiation of Mollusc MTs.,BMC Biology
Universitat de Barcelona,2011,804,10.1371/journal.pone.0016477,FALSE,"Gamell, C.; Susperregui, A.G.; Bernard, O.; Rosa, J.L.; Ventura, F.",The p38/MK2/Hsp25 pathway is required for BMP-2-induced cell migration.,PLoS ONE
Universitat de Barcelona,2011,1589,10.1371/journal.pntd.0001135,FALSE,"Roca, C.; Pinazo, M.J.; López-Chejade, P.; Bayó, J.; Posada, E.; López-Solana, J.; Gállego, M.; Portús, M.; Gascón, J.","Chagas disease among the latin american adult poplation atteneding in a primary care center in Barcelona, Spain",PloS Neglected Tropical Diseases
Universitat de Barcelona,2011,1005,10.1371/journal.pone.0016163,FALSE,"Real, S.; Espada, L.; Meo-Evoli, N.; Tauler, A.",E2F1 regulates cellular growth by mTOR signali,PLoS ONE
Universitat de Barcelona,2011,858,10.1093/gbe/evr033,FALSE,"Vieira, F. G.; Rozas, J.",Comparative genomics of the Odorant-Binding and Chemosensory Protein gene families across the Arthropoda: Origin and evolutionary history of the chemosensory system,Genome Biology and Evolution
Universitat de Barcelona,2011,1255,10.1186/1743-422X-8-125,FALSE,"Maluquer de Motes, C.; Hundesa, A.; Almeida, F.C.; Bofill-Mas, S.; Girones, R.",Isolation of a novel monkey adenovirus reveals a new phylogenetic clade in the evolutionary history of simian adenoviruses.,Virology Journal
Universitat de Barcelona,2011,"750,12",10.1590/S1807-59322011000500005,FALSE,"Bosch, X.; Foix, A.; Jordan, A.; Coca, A.; Lopez-Soto, A.","Outpatient Quick Diagnosis Units for the evaluation of suspected severe diseases: an observational, descriptive study",CLINICS
Universitat de Barcelona,2011,572,10.1088/1367-2630/13/3/033012,FALSE,"Mele-Messeguer, M.; Julia-Diaz.; Guilleumas, M.; Polls, A.; Sanpera, A.",Weakly linked binary mixtures of F=1 87Rb Bose-Einstein condensates,New Journal of Physics
Universitat de Barcelona,2011,301,10.1590/S0104-11692011000300004,FALSE,"Puig Llobet, M.; Rodríguez Ávila, N.; Farràs Farràs, J.; Lluch Canut, M.T.","Quality of life, happiness and satisfaction with life of individuals 75 years old or older cared for by a home health care program",Revista Latino-Am. Enfermagem
Universitat de Barcelona,2011,383,10.5897/AJBM11.028,FALSE,"Merigó, J.M.",The uncertain probabilistic weighted average and its application in the theory of expertons,African Journal of Business Management
Universitat de Barcelona,2011,1020,10.1371/journal.ppat.1002380,FALSE,"Cordeiro, T.N.; Schmidt, H.; Madrid, C.; Juárez, A.; Bernadó, P.; Griesinger, C.; García, J.; Pons, M.",Indirect DNA readout by an H-NS related protein: structure of the DNA complex of the C-terminal domain of Ler,PLoS Pathogens
Universitat de Barcelona,2011,1104,10.1186/1471-2148-11-317,FALSE,"Bidegaray-Batista, L.; Arnedo, M. A.",Gone with the plate: The opening of the western mediterranean basin drove the diversification of ground-dweller spiders,BMC Evolutionary Biology
Universitat de Barcelona,2011,696,10.1186/1471-2148-11-274,FALSE,"Lázaro, E.M.; Harrath, A.H.; Stocchino, G.A.; Pala, M.; Baguñà, J.; Riutort, M.",Schmidtea mediterranea phylogeography: an old species surviving on a few mediterranean islands?,BMC Evolutionary Biology
Universitat de Barcelona,2011,786,10.1371/journal.pone.0025323,FALSE,"Diaz-Moralli, S.; Tarrado-Castellarnau, M.; Alenda, C.; Castells, A.; Cascante, M.",Transketolase-like 1 expression is modulated during Colorectal cancer progression and metastasis formation,PLoS ONE
Universitat de Barcelona,2011,472,10.2436/20.1501.01.138,FALSE,"Berlanga, M.; Paster, B.J.; Grandcolas, P.; Guerrero, R.",Comparison of the gut microbiota from soldier and worker castes of the termite Reticulitermes grassei ,International Microbiology
Universitat de Barcelona,2011,1400,10.1186/1471-2091-12-57,FALSE,"Montori-Grau, M.; Guitart, M.; García-Martínez, C.; Orozco, A.; Gómez-Foix, A.M.","Differential pattern of glycogen accumulation after protein phosphatase 1 glycogen-targeting subunit PPP1R6 overexpression, compared to PPP1R3C and PPP1R3A, in skeletal muscle cells",BMC Biochemistry
Universitat de Barcelona,2011,236,10.2436/20.1501.01.149,FALSE,"Blasco L, Veiga-Crespo P, Viñas M, Villa TG.",A new disruption vector (pDHO) to obtain heterothallic strains from both Saccharomyces cerevisiae and Saccharomyces pastorianus,International Microbiology
