institution	doi	period	authors	Article title	journal_full_title	euro	is_hybrid
Universitat de Barcelona	10.1364/OE.18.021815	2010	Duocastella, M.; Patrascioiu, A.; Fernández-Pradas, J.M.; J.M.; Morenza, J.L.; Serra, P.	Film-free laser forward printing of transparent and weakly absorbing liquids	Optics Express	1437,33	FALSE
Universitat de Barcelona	10.1186/1471-213X-10-94	2010	Blanco E; Ruiz-Romero M; Beltran S; Bosch M; Punset A; Serras F; Corominas M.	Gene expression following induction of regeneration in Drosophila wing imaginal discs. Expression profile of regenerating wing discs.	BMC Developmental Biology	1211	FALSE
Universitat de Barcelona	10.1186/1752-0509-4-135	2010	Selivanov, V.A.; Vizán, P.; Mollinedo, F.; Fan, T.W.; Lee, P.W.; Cascante, M.	Edelfosine-induced metabolic changes in cancer cells that precede the overproduction of reactive oxygen species and apoptosis	BMC Systems Biology	573,6	FALSE
Universitat de Barcelona	10.1186/1471-2334-10-269	2010	Barrabeig, I.; Rovira, A.; Buesa, J.; Bartolomé, R.; Pintó, R.; Pujol, M.E.; Domínguez, A.	Foodborne norovirus outbreak: the role of an asymptomatic food handler.	BMC Infectious Diseases	344,17	FALSE
Universitat de Barcelona	10.1371/journal.pone.0013389	2010	Conceição, I.C.; Aguadé, M	Odorant Receptor ( Or ) Genes: Polymorphism and Divergence in the D. melanogaster and D. pseudoobscura Lineages	PLoS ONE	966	FALSE
Universitat de Barcelona	10.1186/1471-2164-11-731	2010	Abril J.F.; Cebrià F.; Rodríguez-Esteban G.; Horn T.; Fraguas S.; Calvo B.; Bartscherer K.; Saló E.	Smed454 dataset: unravelling the transcriptome of Schmidtea mediterranea .	BMC Genomics	1078,44	FALSE
Universitat de Barcelona	10.1371/journal.pone.0013226	2010	Díez-Padrisa, N.; Bassat, Q.; Machevo, S.; Quintó, L.L.; Morais, L.; Nhampossa, T.; O'Callaghan Gordo, C.; Torres, A.; Alonso, P.L.; Roca, A.	Procalcitonin and C-reactive Protein for Invasive Bacterial Pneumonia Diagnosis among Children in Mozambique, a Malaria-Endemic Area	PLoS ONE	945	FALSE
Universitat de Barcelona	10.1186/1477-7517-7-27	2010	Jordi Delas; Elena Adan; Olga Díaz; Margarita Aguas, Montserrat Pons and Ricardo Fuertes	Smoked cocaine in socially-depressed areas	Harm Reduction Journal	398	FALSE
