"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Osnabrück U",2023,4998,"10.3224/84743047",FALSE,"Verlag Barbara Budrich","Berufsausbildung im 19. Jahrhundert und die Anfänge der Berufsschule","978-3-8474-3047-6","978-3-8474-3047-6",NA,"https://creativecommons.org/licenses/by/4.0/deed.de",TRUE,FALSE
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Osnabrück U",2024,2068.6,"10.3278/9783763973743",FALSE,"wbv Publikation","Handbuch Standorte beruflicher Lehrkräftebildung in Deutschland","978-3-7639-7374-3",NA,"978-3-7639-7374-3",NA,TRUE,FALSE
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
