"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","license_ref","pmid","url","local_id","APC","Colour charges","Cover","Hybrid-OA","Other","Page charges","Permission","Publication charges","Reprint","Submission fee","identifier"
"fzj","2012","2784.00","10.1111/j.1751-7915.2011.00310.x",FALSE,"Wiley-Blackwell","Microbial Biotechnology","1751-7907",NA,NA,"oai:juser.fz-juelich.de:16941","PreJuSER-16941","2784.00","","","","","","","","","","oai:juser.fz-juelich.de:16941"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"fzj","2013","3090.0","10.3233/jad-121792",TRUE,"Lippincott Williams & Wilkins","Alzheimer disease & associated disorders","1546-4156","CCBYNC3",NA,"oai:juser.fz-juelich.de:133637","FZJ-2013-02052","","","","3090.0","","","","","","","oai:juser.fz-juelich.de:133637"
"","","","","","","","","","","","","","","","","","","","","","",""
"fzj","2014","993.41","10.1371/journal.pone.0086906",FALSE,"PLoS","PLoS one","1932-6203","CCBY3",NA,"oai:juser.fz-juelich.de:137155","FZJ-2013-03624","993.41","","","","","","","","","","oai:juser.fz-juelich.de:137155"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"fzj","2013","1276","10.5194/acpd-13-25827-2013",FALSE,"EGU","Atmospheric chemistry and physics / Discussions","1680-7375","CCBY3",NA,"oai:juser.fz-juelich.de:138314","FZJ-2013-04455","1276","","","","","","","","","","oai:juser.fz-juelich.de:138314"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"fzj","2013","1165","10.2136/vzj2012.0168",FALSE,"SSSA","Vadose zone journal","1539-1663",NA,NA,"oai:juser.fz-juelich.de:138972","FZJ-2013-05014","1165","","","","","","","","","","oai:juser.fz-juelich.de:138972"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"fzj","2013","1272","10.5194/amtd-6-9939-2013",FALSE,NA,"Atmospheric measurement techniques discussions","1867-8610","CCBY3",NA,"oai:juser.fz-juelich.de:139374","FZJ-2013-05370","1272","","","","","","","","","","oai:juser.fz-juelich.de:139374"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"fzj","2013","1200","10.5194/acpd-13-31311-2013",FALSE,"EGU","Atmospheric chemistry and physics / Discussions","1680-7375","CCBY3",NA,"oai:juser.fz-juelich.de:140830","FZJ-2013-06068","1200","","","","","","","","","","oai:juser.fz-juelich.de:140830"
"","","","","","","","","","","","","","","","","","","","","","",""
"fzj","2013","1008","10.5194/acpd-13-33013-2013",FALSE,"EGU","Atmospheric chemistry and physics / Discussions","1680-7375","CCBY3",NA,"oai:juser.fz-juelich.de:141340","FZJ-2013-06524","1008","","","","","","","","","","oai:juser.fz-juelich.de:141340"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"fzj","2014","588.82","10.2136/vzj2013.02.0043",TRUE,"SSSA","Vadose zone journal","1539-1663",NA,NA,"oai:juser.fz-juelich.de:150438","FZJ-2014-00494","","","","588.82","","1030.43","","","","","oai:juser.fz-juelich.de:150438"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"fzj","2014","928","10.5194/acpd-14-1159-2014",FALSE,"EGU","Atmospheric chemistry and physics / Discussions","1680-7375","CCBY3",NA,"oai:juser.fz-juelich.de:150869","FZJ-2014-00904","928","","","","","","","","","","oai:juser.fz-juelich.de:150869"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
