institution,period,euro,doi,backlist_oa
OA-Monofonds Brandenburg,2021,8300,10.1007/978-3-031-11081-8,FALSE
OA-Monofonds Brandenburg,2021,11647.72,10.11647/OBP.0283,FALSE
