institution,period,euro,doi,backlist_oa
OA-Monofonds Brandenburg,2024,6664,10.5771/9783748943952,FALSE
OA-Monofonds Brandenburg,2024,6000,10.1628/978-3-16-162826-9,FALSE
OA-Monofonds Brandenburg,2024,10412.50,10.1007/978-3-658-44449-5,FALSE
