"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"OA-Monofonds Brandenburg",2024,6664,"10.5771/9783748943952",FALSE,"Velbrück Wissenschaft","Das Andere des Arbeitsrechts","978-3-7489-4395-2","978-3-7489-4395-2",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,FALSE
"OA-Monofonds Brandenburg",2024,6000,"10.1628/978-3-16-162826-9",FALSE,"Mohr Siebeck","Strengthening the UN Human Rights Treaty Bodies","978-3-16-162826-9",NA,"978-3-16-162826-9","https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,FALSE
"OA-Monofonds Brandenburg",2024,10412.5,"10.1007/978-3-658-44449-5",FALSE,"Springer Fachmedien Wiesbaden","Radlogistik","978-3-658-44448-8","978-3-658-44448-8","978-3-658-44449-5","https://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"OA-Monofonds Brandenburg",2024,7604.1,"10.14361/9783839471777",FALSE,"transcript Verlag","Bio-Art","978-3-8376-7177-3","978-3-8376-7177-3","978-3-8394-7177-7","https://creativecommons.org/licenses/by/4.0",FALSE,FALSE
"",,,"","","","","","","","","",""
"OA-Monofonds Brandenburg",2024,6545,"10.14361/9783839475102",FALSE,"transcript Verlag","Berlins Weg in die Moderne","978-3-8394-7510-2","978-3-8376-7510-8","978-3-8394-7510-2",NA,FALSE,FALSE
"OA-Monofonds Brandenburg",2024,6000,"10.1515/9783111507392",FALSE,"De Gruyter","Moscú por venir","978-3-11-150739-2",NA,"978-3-11-150739-2","http://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"OA-Monofonds Brandenburg",2024,6000,"10.14361/9783839474914",FALSE,"transcript Verlag","Dichter/Frauen","978-3-8394-7491-4","978-3-8376-7491-0","978-3-8394-7491-4",NA,FALSE,TRUE
"OA-Monofonds Brandenburg",2024,6000,"10.1515/9783111478470",FALSE,"De Gruyter","Queer Jewish Groups in Europe (1972-1990s)","978-3-11-147847-0",NA,"978-3-11-147847-0","http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,FALSE
"OA-Monofonds Brandenburg",2024,6400,"10.61050/3689300081",FALSE,"edition text + kritik","Der Westerborkfilm","978-3-68930-008-1","978-3-68930-008-1","978-3-68930-009-8",NA,FALSE,TRUE
"OA-Monofonds Brandenburg",2024,11543.03,"10.11584/ipus.15",FALSE,"Harrassowitz Verlag","Die Doppelstadt Frankfurt (Oder)","978-3-447-12332-7",NA,NA,NA,FALSE,FALSE
"OA-Monofonds Brandenburg",2024,5999.98,"10.14361/9783839475140",FALSE,"transcript Verlag","Im Sog der Fiktionen","978-3-8394-7514-0","978-3-8376-7514-6","978-3-8394-7514-0"," https://creativecommons.org/licenses/by/4.0",FALSE,FALSE
"OA-Monofonds Brandenburg",2024,7140,"10.4324/9781003511137",FALSE,"Routledge","Hybrid Urbanisms in Secondary Cities of the Global South","978-1-003-51113-7",NA,"978-1-003-51113-7","http://creativecommons.org/licenses/by-nd/4.0",TRUE,FALSE
