"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","license_ref","pmid","url","local_id","APC","Colour charges","Hybrid-OA","Page charges","Publication charges","identifier"
"gsi","2012","1373.83","10.1007/s00340-012-4934-8",FALSE,"Springer","Applied physics / B","1432-0649",NA,NA,"oai:repository.gsi.de:50191","GSI-2013-01818","1373.83","","","","","oai:repository.gsi.de:50191"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"gsi","2016","1264.43","10.3389/fonc.2016.00005",FALSE,"Frontiers Media","Frontiers in oncology","2234-943X","CCBY4",NA,"oai:repository.gsi.de:184466","GSI-2016-00194","1264.43","","","","","oai:repository.gsi.de:184466"
"gsi","2016","1264.43","10.3389/fonc.2016.00028",FALSE,"Frontiers Media","Frontiers in oncology","2234-943X","CCBYNV",NA,"oai:repository.gsi.de:184707","GSI-2016-00429","1264.43","","","","","oai:repository.gsi.de:184707"
"gsi","2016","1253.27","10.1088/1367-2630/18/2/023044",FALSE,"Dt. Physikalische Ges.","New journal of physics","1367-2630","CCBY3",NA,"oai:repository.gsi.de:185777","GSI-2016-00613","1253.27","","","","","oai:repository.gsi.de:185777"
"gsi","2016","2193.16","10.1118/1.4944593",FALSE,"AIP Publishing","Medical physics","0094-2405","CCBY4",NA,"oai:repository.gsi.de:186465","GSI-2016-00963","2193.16","576.76","","","","oai:repository.gsi.de:186465"
"gsi","2016","1611.00","10.1038/srep27651",FALSE,"Nature Publishing Group","Scientific reports","2045-2322","CCBYNV",NA,"oai:repository.gsi.de:200573","GSI-2016-03741","1611.00","","","","","oai:repository.gsi.de:200573"
"gsi","2017","2864","10.1089/scd.2016.0277",TRUE,"Liebert","Stem Cells and Development","1557-8534",NA,NA,"oai:repository.gsi.de:200723","GSI-2017-00058","","1611","2864","","","oai:repository.gsi.de:200723"
"","","","","","","","","","","","","","","","","",""
"gsi","2016","1969","10.1063/1.4963011",FALSE,"AIP Publishing LLC","Structural dynamics","2329-7778","CCBYNV",NA,"oai:repository.gsi.de:200922","GSI-2017-00256","1969","","","","","oai:repository.gsi.de:200922"
"gsi","2016","1720.51","10.1364/oe.24.018133",FALSE,"Soc.","Optics express","1094-4087",NA,NA,"oai:repository.gsi.de:200927","GSI-2017-00261","1720.51","","","","","oai:repository.gsi.de:200927"
"gsi","2016","1404","10.1088/1367-2630/18/7/073048",FALSE,"Dt. Physikalische Ges.","New journal of physics","1367-2630","CCBYNV",NA,"oai:repository.gsi.de:200931","GSI-2017-00265","1404","","","","","oai:repository.gsi.de:200931"
"gsi","2016","1129.78","10.1088/1367-2630/18/10/103034",FALSE,"Dt. Physikalische Ges.","New journal of physics","1367-2630","CCBY3",NA,"oai:repository.gsi.de:201115","GSI-2017-00414","1129.78","","","","","oai:repository.gsi.de:201115"
"gsi","2017","1735.41","10.1364/oe.25.009252",FALSE,"Soc.","Optics express","1094-4087",NA,NA,"oai:repository.gsi.de:201556","GSI-2017-00658","1735.41","","","","","oai:repository.gsi.de:201556"
"gsi","2017","3700","10.1038/ncomms15693",FALSE,"Nature Publishing Group","Nature Communications","2041-1723","CCBYNV",NA,"oai:repository.gsi.de:201723","GSI-2017-00801","3700","","","","","oai:repository.gsi.de:201723"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"gsi","2017","3700","10.1038/ncomms15484",FALSE,"Nature Publishing Group","Nature Communications","2041-1723","CCBYNV",NA,"oai:repository.gsi.de:205579","GSI-2017-01105","3700","","","","","oai:repository.gsi.de:205579"
"","","","","","","","","","","","","","","","","",""
"gsi","2017","1305","10.1038/s41598-017-11589-z",FALSE,"Nature Publishing Group","Scientific reports","2045-2322","CCBYNV",NA,"oai:repository.gsi.de:206878","GSI-2017-01558","1305","","","","","oai:repository.gsi.de:206878"
"","","","","","","","","","","","","","","","","",""
"gsi","2017","1735.41","10.1364/oe.25.006936",FALSE,"Soc.","Optics express","1094-4087",NA,NA,"oai:repository.gsi.de:207023","GSI-2017-01691","1735.41","","","","","oai:repository.gsi.de:207023"
"gsi","2017","1305","10.1038/s41598-017-05789-w",FALSE,"Nature Publishing Group","Scientific reports","2045-2322","CCBYNV",NA,"oai:repository.gsi.de:207024","GSI-2017-01692","1305","","","","","oai:repository.gsi.de:207024"
"","","","","","","","","","","","","","","","","",""
"gsi","2018","720","10.1088/2399-6528/aac445",FALSE,"IOP Publishing Ltd.","Journal of physics communications","2399-6528","CCBYNV",NA,"oai:repository.gsi.de:211786","GSI-2018-00674","720","","","","","oai:repository.gsi.de:211786"
"gsi","2018","1390.71","10.3390/ijms19082399",FALSE,"Molecular Diversity Preservation International","International journal of molecular sciences","1422-0067","CCBY4",NA,"oai:repository.gsi.de:213424","GSI-2018-00953","1390.71","","","","","oai:repository.gsi.de:213424"
"gsi","2018","1944.19","10.1016/j.jlumin.2018.05.070",TRUE,"Elsevier","Journal of luminescence","0022-2313","CCBYNCND4",NA,"oai:repository.gsi.de:213456","GSI-2018-00977","","","1944.19","","","oai:repository.gsi.de:213456"
"gsi","2018","17778.4","10.1088/1367-2630/aad01d",FALSE,"Dt. Physikalische Ges.","New journal of physics","1367-2630","CCBY3",NA,"oai:repository.gsi.de:213458","GSI-2018-00979","17778.4","","","","","oai:repository.gsi.de:213458"
"","","","","","","","","","","","","","","","","",""
"gsi","2018","1422.30","10.3390/ijms19092717",FALSE,"Molecular Diversity Preservation International","International journal of molecular sciences","1422-0067","CCBY4",NA,"oai:repository.gsi.de:214033","GSI-2018-01005","1422.30","","","","","oai:repository.gsi.de:214033"
"gsi","2018","1110","10.1016/j.ctro.2018.10.002",FALSE,"Elsevier","Clinical and translational radiation oncology","2405-6308","CCBYNCND4",NA,"oai:repository.gsi.de:217442","GSI-2018-01067","1110","","","","","oai:repository.gsi.de:217442"
"gsi","2019","1370","10.1038/s41598-019-38501-1",FALSE,"Macmillan Publishers Limited, part of Springer Nature","Scientific reports","2045-2322","CCBY4",NA,"oai:repository.gsi.de:218580","GSI-2019-00498","1370","","","","","oai:repository.gsi.de:218580"
"","","","","","","","","","","","","","","","","",""
"gsi","2019","1404","10.1088/1367-2630/ab1047",FALSE,"IOP25645","New journal of physics","1367-2630","CCBY3",NA,"oai:repository.gsi.de:218805","GSI-2019-00639","1404","","","","","oai:repository.gsi.de:218805"
"gsi","2019","1989.56","10.1103/physreva.99.052702",FALSE,"Inst.","Physical review / A covering atomic, molecular, and optical physics and quantum information","2469-9934","CCBY4",NA,"oai:repository.gsi.de:218825","GSI-2019-00653","1989.56","","","","","oai:repository.gsi.de:218825"
"gsi","2019","2888.58","10.1103/physrevx.9.021029",FALSE,"APS","Physical review / X Expanding access X","2160-3308","CCBY4",NA,"oai:repository.gsi.de:218912","GSI-2019-00725","2888.58","","","","","oai:repository.gsi.de:218912"
"gsi","2019","1620.00","10.1140/epja/i2019-12718-2",FALSE,"Springer44394","Zeitschrift für Physik <Berlin> / A Hadrons and nuclei A","1434-601X","CCBY4",NA,"oai:repository.gsi.de:218929","GSI-2019-00741","1620.00","","","","","oai:repository.gsi.de:218929"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"gsi","2019","1490","10.1038/s41598-019-53587-3",FALSE,"Macmillan Publishers Limited, part of Springer Nature","Scientific reports","2045-2322","CCBY4",NA,"oai:repository.gsi.de:220800","GSI-2019-01194","1490","","","","","oai:repository.gsi.de:220800"
"","","","","","","","","","","","","","","","","",""
"gsi","2020","1877.44","10.3390/ijms21061911",FALSE,"Molecular Diversity Preservation International","International journal of molecular sciences","1422-0067","CCBY4",NA,"oai:repository.gsi.de:225715","GSI-2020-00437","1877.44","","","","","oai:repository.gsi.de:225715"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"gsi","2021","1956.00","10.1088/1367-2630/abe79d",FALSE,"IOP","New journal of physics","1367-2630","CCBY4",NA,"oai:repository.gsi.de:237743","GSI-2021-00495","1956.00","","","","","oai:repository.gsi.de:237743"
"gsi","2021","2400.00","10.1016/j.radonc.2021.06.031",FALSE,"Elsevier Science","Radiotherapy and oncology","0167-8140","CCBYNCND4",NA,"oai:repository.gsi.de:238909","GSI-2021-00906","2400.00","","","","","oai:repository.gsi.de:238909"
