institution;period;euro;doi;backlist_oa;book_title
Johannes Gutenberg Universität Mainz;2021;4760;10.3726/b19860;FALSE;Fuentes lexicográficas des estudio histórico del léxico hispanoamericano
Johannes Gutenberg Universität Mainz;2021;5000;10.1007/978-3-030-69345-9;FALSE;Concept and Design Developments in School Improvement Research
Johannes Gutenberg Universität Mainz;2021;5000;10.26530/20.500.12657/51398;FALSE;Multikodalität und Digitales Lehren und Lernen
