"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"JGU Mainz",2024,15470,"10.1007/978-3-031-60401-0",FALSE,"Springer International Publishing","Angels and Other Cows","978-3-031-60400-3","978-3-031-60400-3","978-3-031-60401-0","https://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"JGU Mainz",2024,5000,"10.26530/20.500.12657/86052",FALSE,"Frank & Timme GmbH","Die Ukraine als Objekt russischer Großmachtansprüche","978-3-7329-8963-8",NA,"978-3-7329-8963-8","https://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,FALSE
"JGU Mainz",2024,5000,"10.26530/20.500.12657/91166",FALSE,"Frank & Timme GmbH","Sprachförderung in DaZ","978-3-7329-8842-6",NA,"978-3-7329-8842-6","https://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,FALSE
"JGU Mainz",2024,5000,"10.25162/9783515133876",FALSE,"Franz Steiner Verlag","Religiöse Geheimniskommunikation in der Mittleren und Späten Römischen Republik","978-3-515-13387-6",NA,"978-3-515-13387-6",NA,TRUE,FALSE
"JGU Mainz",2024,7735,"10.1515/9783110769579",FALSE,"De Gruyter","Centenarians’ Autobiographies","978-3-11-076957-9",NA,"978-3-11-076957-9","http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,TRUE
"JGU Mainz",2024,6991.25,"10.14361/9783839470190",FALSE,"transcript Verlag","Cultures of Citizenship in the Twenty-First Century","978-3-8376-7019-6","978-3-8376-7019-6","978-3-8394-7019-0","https://creativecommons.org/licenses/by/4.0/",TRUE,TRUE
"JGU Mainz",2024,1707.41,"10.11588/propylaeum.1481",FALSE,"Heidelberg University","A Second Gaze. Intertextuality and Transient Meaning in Roman Texts and Objects","978-3-96929-374-4","978-3-96929-375-1","978-3-96929-374-4",NA,FALSE,FALSE
"JGU Mainz",2024,7889.7,"10.3726/b21349",FALSE,"Peter Lang Verlag","Sprache und Interkulturalität in der digitalen Welt / Language and Interculturality in the Digital World","978-3-631-88132-3",NA,"978-3-631-88132-3",NA,TRUE,TRUE
"JGU Mainz",2024,265.17,"10.14220/9783737014779",FALSE,"V&R unipress","Victors and Vanquished in the Euro-Mediterranean","978-3-7370-1477-9","978-3-7370-1477-9","978-3-7370-1477-9",NA,TRUE,TRUE
"JGU Mainz",2024,4701.89,"10.14220/9783737016681",FALSE,"V&R unipress","Kämpfer auf dem Schlachtfeld – Kämpfer in den Texten","978-3-8471-1668-4","978-3-8471-1668-4","978-3-7370-1668-1",NA,TRUE,TRUE
"",,,"","","","","","","","","",""
