pos;inst_name;journal_title;journal_issn;doi;url;acceptance_date;publication_date;par_netto;article_type;crossref_licenseurl;crossref_license;was_initial_optout
19;Universität Bielefeld;Research in Number Theory;2363-9555;10.1007/s40993-024-00579-6;https://doi.org/10.1007/s40993-024-00579-6;22.10.2024;04.11.2024;2600.00;OriginalPaper;https://www.springernature.com/gp/researchers/text-and-data-mining;n.a.;t
31;Universität Bielefeld;German Journal of Exercise and Sport Research;2509-3150;10.1007/s12662-024-00973-3;https://doi.org/10.1007/s12662-024-00973-3;21.06.2024;30.07.2024;2600.00;OriginalPaper;https://www.springernature.com/gp/researchers/text-and-data-mining;n.a.;t
32;Universität Bielefeld;Journal of Theoretical Probability;1572-9230;10.1007/s10959-024-01398-2;https://doi.org/10.1007/s10959-024-01398-2;11.12.2024;28.12.2024;2600.00;OriginalPaper;https://www.springernature.com/gp/researchers/text-and-data-mining;n.a.;t
