"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","license_ref","pmid","url","local_id"
"Bielefeld University","2011","845","10.1371/journal.pone.0021162",FALSE,"Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"21738615","https://pub.uni-bielefeld.de/publication/2307232","2307232"
"Bielefeld University","2011","1310","10.1186/1477-5956-9-30",FALSE,"Springer Science + Business Media","Proteome Science","1477-5956",NA,"21663690","https://pub.uni-bielefeld.de/publication/2300063","2300063"
"Bielefeld University","2011","1028","10.1186/1756-0381-4-2",FALSE,"Springer Science + Business Media","BioData Mining","1756-0381",NA,"21247420","https://pub.uni-bielefeld.de/publication/2300073","2300073"
"Bielefeld University","2011","1474","10.1186/1471-2105-12-297",FALSE,"Springer Science + Business Media","BMC Bioinformatics","1471-2105",NA,"21777450","https://pub.uni-bielefeld.de/publication/2300082","2300082"
"Bielefeld University","2010","1393","10.1186/1471-2180-10-321",FALSE,"Springer Science + Business Media","BMC Microbiology","1471-2180",NA,"21159175","https://pub.uni-bielefeld.de/publication/1924666","1924666"
"Bielefeld University","2011","1816","10.1167/11.7.9",FALSE,"Association for Research in Vision and Ophthalmology (ARVO)","Journal of Vision","1534-7362",NA,"21665985","https://pub.uni-bielefeld.de/publication/2033988","2033988"
"Bielefeld University","2011","1072","10.1186/1471-2164-12-383",FALSE,"Springer Science + Business Media","BMC Genomics","1471-2164",NA,"21801446","https://pub.uni-bielefeld.de/publication/2354752","2354752"
"Bielefeld University","2011","954","10.1371/journal.pone.0023283",FALSE,"Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"21853104","https://pub.uni-bielefeld.de/publication/2397495","2397495"
"Bielefeld University","2011","1072","10.1186/1471-2105-12-429",FALSE,"Springer Science + Business Media","BMC Bioinformatics","1471-2105",NA,"22051375","https://pub.uni-bielefeld.de/publication/2410526","2410526"
"Bielefeld University","2011","884","10.1890/es11-00095.1",FALSE,"Ecological Society of America","Ecosphere","2150-8925",NA,NA,"https://pub.uni-bielefeld.de/publication/2372260","2372260"
"Bielefeld University","2014","1240","10.1186/2050-7283-2-14",FALSE,"Springer Science + Business Media","BMC Psychology","2050-7283",NA,NA,"https://pub.uni-bielefeld.de/publication/2685103","2685103"
"Bielefeld University","2014","1010","10.1371/journal.pone.0105015",FALSE,"Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"25137074","https://pub.uni-bielefeld.de/publication/2685362","2685362"
"Bielefeld University","2014","1308","10.1186/1471-2164-15-s6-s2",FALSE,"Springer Science + Business Media","BMC Genomics","1471-2164",NA,"25571793","https://pub.uni-bielefeld.de/publication/2687033","2687033"
"Bielefeld University","2014","912","10.3389/fbioe.2014.00028",FALSE,"Frontiers Media SA","Frontiers in Bioengineering and Biotechnology","2296-4185",NA,"25191655","https://pub.uni-bielefeld.de/publication/2687390","2687390"
"Bielefeld University","2014","1240","10.1186/1471-2180-14-54",FALSE,"Springer Science + Business Media","BMC Microbiology","1471-2180",NA,"24593686","https://pub.uni-bielefeld.de/publication/2659778","2659778"
"Bielefeld University","2014","1048","10.1186/1747-597x-9-8",FALSE,"Springer Science + Business Media","Substance Abuse Treatment, Prevention, and Policy","1747-597X",NA,"24484640","https://pub.uni-bielefeld.de/publication/2660085","2660085"
"Bielefeld University","2014","1236","10.1186/1471-2334-14-40",FALSE,"Springer Science + Business Media","BMC Infectious Diseases","1471-2334",NA,"24450996","https://pub.uni-bielefeld.de/publication/2661294","2661294"
"Bielefeld University","2014","1200","10.1186/1472-6874-14-24",FALSE,"Springer Science + Business Media","BMC Women's Health","1472-6874",NA,"24507093","https://pub.uni-bielefeld.de/publication/2661385","2661385"
