"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Bielefeld U",2016,1357.49,"10.1371/journal.pone.0150208",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26938880","PMC4777520","ut:000371735200065",NA,TRUE
"Bielefeld U",2016,1396,"10.1186/s12866-016-0710-y",FALSE,"Springer Nature","BMC Microbiology","1471-2180",NA,"1471-2180","1471-2180",NA,TRUE,"27215401","PMC4878081","ut:000376260600003",NA,TRUE
"Bielefeld U",2016,1596,"10.1186/s13068-016-0565-3",FALSE,"Springer Nature","Biotechnology for Biofuels","1754-6834",NA,"1754-6834","1754-6834",NA,TRUE,"27462367","PMC4960831","ut:000380328900002",NA,TRUE
"Bielefeld U",2016,1659,"10.3389/fncom.2016.00111",FALSE,"Frontiers Media SA","Frontiers in Computational Neuroscience","1662-5188",NA,"1662-5188","1662-5188",NA,TRUE,NA,NA,NA,NA,TRUE
"Bielefeld U",2016,1992.49,"10.1167/16.11.1",FALSE,"Association for Research in Vision and Ophthalmology (ARVO)","Journal of Vision","1534-7362","1534-7362",NA,"1534-7362","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,"ut:000385756900001",NA,TRUE
"Bielefeld U",2016,1396,"10.1186/s12861-016-0134-9",FALSE,"Springer Nature","BMC Developmental Biology","1471-213X",NA,"1471-213X","1471-213X",NA,TRUE,NA,NA,"ut:000385309100001",NA,TRUE
"Bielefeld U",2016,1396,"10.1186/s12866-016-0857-6",FALSE,"Springer Nature","BMC Microbiology","1471-2180",NA,"1471-2180","1471-2180",NA,TRUE,NA,NA,"ut:000384837200001",NA,TRUE
"Bielefeld U",2016,1291.35,"10.4236/health.2016.813136",FALSE,"Scientific Research Publishing, Inc,","Health","1949-4998","1949-4998","1949-5005","1949-4998","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Bielefeld U",2016,1820.7,"10.1002/ece3.2290",FALSE,"Wiley-Blackwell","Ecology and Evolution","2045-7758",NA,NA,"2045-7758","http://doi.wiley.com/10.1002/tdm_license_1",TRUE,"27547348","PMC4983585","ut:000381578400012",NA,TRUE
"Bielefeld U",2016,1396,"10.1186/s12885-016-2818-8",FALSE,"Springer Nature","BMC Cancer","1471-2407",NA,"1471-2407","1471-2407",NA,TRUE,NA,NA,NA,NA,TRUE
"Bielefeld U",2016,1610,"10.3389/fpsyg.2016.00470",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078","1664-1078",NA,TRUE,"27148105","PMC4835869","ut:000374304600001",NA,TRUE
"Bielefeld U",2016,295.67,"10.3390/healthcare4030036",FALSE,"MDPI AG","Healthcare","2227-9032",NA,"2227-9032","2227-9032",NA,TRUE,"27417624","PMC5041037",NA,NA,TRUE
"Bielefeld U",2016,1396,"10.1186/s12913-015-1252-y",FALSE,"Springer Nature","BMC Health Services Research","1472-6963",NA,"1472-6963","1472-6963",NA,TRUE,"26728071","PMC4700678","ut:000367506100001",NA,TRUE
"Bielefeld U",2016,840,"10.1007/s12544-016-0206-8",FALSE,"Springer Nature","European Transport Research Review","1867-0717","1867-0717","1866-8887","1866-8887","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000382883800002",NA,TRUE
"Bielefeld U",2016,1653,"10.3389/fpsyg.2016.01440",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078","1664-1078",NA,TRUE,NA,NA,"ut:000383664100001",NA,TRUE
