doi,euro,institution_name,is_hybrid,opt_out,period
10.1111/hith.12195,4685,"Universität Bielefeld",TRUE,TRUE,2021
10.1111/jopy.12632,4685,"Universität Bielefeld",TRUE,TRUE,2021
