pos;institution_name;journal_title;eissn;doi;url;published;accepted;par_fee;article_type;article_group;initial_opt-out
1;RWTH Aachen University;European Journal of Nuclear Medicine and Molecular Imaging;1619-7089;10.1007/s00259-021-05660-1;https://doi.org/10.1007/s00259-021-05660-1;06.01.2022;12.12.2021;2750;originalpaper;Research Article;optin
2;RWTH Aachen University;European Journal of Nuclear Medicine and Molecular Imaging;1619-7089;10.1007/s00259-022-06066-3;https://doi.org/10.1007/s00259-022-06066-3;09.12.2022;28.11.2022;2750;originalpaper;Research Article;optin
3;RWTH Aachen University;Applied Composite Materials;1573-4897;10.1007/s10443-022-10011-w;https://doi.org/10.1007/s10443-022-10011-w;03.03.2022;07.01.2022;2750;originalpaper;Research Article;optin
4;RWTH Aachen University;International Journal on Software Tools for Technology Transfer;1433-2787;10.1007/s10009-022-00670-2;https://doi.org/10.1007/s10009-022-00670-2;07.10.2022;29.08.2022;2750;originalpaper;Research Article;optin
6;RWTH Aachen University;Flow, Turbulence and Combustion;1573-1987;10.1007/s10494-022-00353-7;https://doi.org/10.1007/s10494-022-00353-7;12.08.2022;22.07.2022;2750;originalpaper;Research Article;optin
7;RWTH Aachen University;Natural Hazards;1573-0840;10.1007/s11069-022-05367-y;https://doi.org/10.1007/s11069-022-05367-y;16.05.2022;11.04.2022;2750;reviewpaper;Research Article;optin
8;RWTH Aachen University;CEAS Aeronautical Journal;1869-5590;10.1007/s13272-022-00604-3;https://doi.org/10.1007/s13272-022-00604-3;27.07.2022;12.07.2022;2750;originalpaper;Research Article;optin
9;RWTH Aachen University;Progress in Artificial Intelligence;2192-6360;10.1007/s13748-022-00281-7;https://doi.org/10.1007/s13748-022-00281-7;02.07.2022;25.03.2022;2750;originalpaper;Research Article;optin
10;RWTH Aachen University;Mathematical Methods of Operations Research;1432-5217;10.1007/s00186-022-00792-y;https://doi.org/10.1007/s00186-022-00792-y;19.07.2022;15.06.2022;2750;originalpaper;Research Article;optin
11;RWTH Aachen University;Journal of Sustainable Metallurgy;2199-3831;10.1007/s40831-022-00642-5;https://doi.org/10.1007/s40831-022-00642-5;28.12.2022;12.12.2022;2750;originalpaper;Research Article;optin
12;RWTH Aachen University;Pflügers Archiv - European Journal of Physiology;1432-2013;10.1007/s00424-022-02781-w;https://doi.org/10.1007/s00424-022-02781-w;16.12.2022;06.12.2022;2750;originalpaper;Research Article;optin
13;RWTH Aachen University;Science and Engineering Ethics;1471-5546;10.1007/s11948-022-00389-y;https://doi.org/10.1007/s11948-022-00389-y;30.08.2022;17.06.2022;2750;originalpaper;Research Article;optin
14;RWTH Aachen University;Knee Surgery, Sports Traumatology, Arthroscopy;1433-7347;10.1007/s00167-022-07258-y;https://doi.org/10.1007/s00167-022-07258-y;30.11.2022;23.11.2022;2750;reviewpaper;Research Article;optin
15;RWTH Aachen University;BHM Berg- und Hüttenmännische Monatshefte;1613-7531;10.1007/s00501-022-01288-2;https://doi.org/10.1007/s00501-022-01288-2;20.10.2022;26.09.2022;2750;originalpaper;Research Article;optin
16;RWTH Aachen University;Biomechanics and Modeling in Mechanobiology;1617-7940;10.1007/s10237-021-01554-1;https://doi.org/10.1007/s10237-021-01554-1;19.01.2022;26.12.2021;2750;originalpaper;Research Article;optin
17;RWTH Aachen University;International Journal of Parallel Programming;1573-7640;10.1007/s10766-022-00728-3;https://doi.org/10.1007/s10766-022-00728-3;24.03.2022;01.03.2022;2750;originalpaper;Research Article;optin
18;RWTH Aachen University;Journal of Scientific Computing;1573-7691;10.1007/s10915-022-01885-w;https://doi.org/10.1007/s10915-022-01885-w;25.06.2022;28.05.2022;2750;originalpaper;Research Article;optin
19;RWTH Aachen University;Construction Robotics;2509-8780;10.1007/s41693-022-00086-z;https://doi.org/10.1007/s41693-022-00086-z;25.12.2022;25.11.2022;2750;originalpaper;Research Article;optin
20;RWTH Aachen University;Cardiovascular Engineering and Technology;1869-4098;10.1007/s13239-021-00606-y;https://doi.org/10.1007/s13239-021-00606-y;14.01.2022;14.12.2021;2750;originalpaper;Research Article;optin
21;RWTH Aachen University;European Spine Journal;1432-0932;10.1007/s00586-022-07231-w;https://doi.org/10.1007/s00586-022-07231-w;04.05.2022;14.04.2022;2750;originalpaper;Research Article;optin
22;RWTH Aachen University;The International Journal of Life Cycle Assessment;1614-7502;10.1007/s11367-022-02046-9;https://doi.org/10.1007/s11367-022-02046-9;21.04.2022;23.03.2022;2750;originalpaper;Research Article;optin
23;RWTH Aachen University;Behavior Research Methods;1554-3528;10.3758/s13428-022-01921-5;https://doi.org/10.3758/s13428-022-01921-5;12.08.2022;27.06.2022;2750;originalpaper;Research Article;optin
24;RWTH Aachen University;Marine Geophysical Research;1573-0581;10.1007/s11001-022-09475-z;https://doi.org/10.1007/s11001-022-09475-z;12.04.2022;21.03.2022;2750;originalpaper;Research Article;optin
25;RWTH Aachen University;Computational Mechanics;1432-0924;10.1007/s00466-022-02223-5;https://doi.org/10.1007/s00466-022-02223-5;15.09.2022;01.08.2022;2750;originalpaper;Research Article;optin
26;RWTH Aachen University;Computational Particle Mechanics;2196-4386;10.1007/s40571-022-00459-9;https://doi.org/10.1007/s40571-022-00459-9;25.01.2022;28.12.2021;2750;originalpaper;Research Article;optin
27;RWTH Aachen University;Welding in the World;1878-6669;10.1007/s40194-022-01428-9;https://doi.org/10.1007/s40194-022-01428-9;11.12.2022;27.11.2022;2750;originalpaper;Research Article;optin
28;RWTH Aachen University;The International Journal of Life Cycle Assessment;1614-7502;10.1007/s11367-022-02051-y;https://doi.org/10.1007/s11367-022-02051-y;28.04.2022;31.03.2022;2750;originalpaper;Research Article;optin
29;RWTH Aachen University;Journal of Business Economics;1861-8928;10.1007/s11573-022-01109-5;https://doi.org/10.1007/s11573-022-01109-5;20.08.2022;30.06.2022;2750;originalpaper;Research Article;optin
