institution;period;euro;doi;backlist_oa
Universität Passau;2023;3.570,00;10.5771/9783748915799;FALSE
Universität Passau;2023;800,00;10.14764/10.ASEAS-0103;FALSE
Universität Passau;2024;2.000,00;10.5771/9783748943655-1 ;FALSE
Universität Passau;2024;2.000,00;10.1628/978-3-16-163547-2;FALSE
Universität Passau;2024;4.990,00;10.21240/mpaed/60.X;FALSE
Universität Passau;2024;3.000,00;10.3262/978-3-7799-8139-8 ;FALSE
Universität Passau;2024;4.500,00;10.25656/01:28957 ;FALSE

