institution;apc;period;doi;is_hybrid;currency
Consejo Superior de Investigaciones Cientificas (CSIC);2418;01/01/2021;10.5194/hess-25-6107-2021;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1581;01/01/2021;10.5194/hess-25-4455-2021;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);3348;01/01/2021;10.5194/se-12-1931-2021;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1463;01/01/2021;10.5194/acp-21-11317-2021;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1600;01/01/2021;10.5194/cp-17-1523-2021;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1767;01/01/2021;10.5194/acp-21-10159-2021;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);3069;01/01/2021;10.5194/se-12-1515-2021;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1581;01/01/2021;10.5194/acp-21-8323-2021;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);2849;01/01/2021;10.5194/gmd-14-1949-2021;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1771;01/01/2021;10.5194/os-17-431-2021;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1395;01/01/2021;10.5194/se-12-725-2021;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1488;01/01/2021;10.5194/tc-15-1157-2021;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1395;01/01/2021;10.5194/amt-14-2941-2021;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1395;01/01/2021;10.5194/bg-18-993-2021;FALSE;EUR
Consejo Superior de Investigaciones Cientificas (CSIC);1925;01/01/2021;10.5194/acp-21-431-2021;FALSE;EUR
