"institution","Total APC ","currency","period","doi","is_hybrid","euro"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1500","GBP","2022","10.1099/mgen.0.000771","TRUE","1758.99"
"Consejo Superior de Investigaciones Cientificas (CSIC)","2100","GBP","2022","10.1099/jgv.0.001797","TRUE","2462.59"
