"institution,""period"",""euro"",""doi"",""is_hybrid"",""publisher"",""journal_full_title"",""issn"",""url"""
"Universität Zürich,""2015"",""400.00"",""10.1557/TET2014.1.GLAS"",""FALSE"",""Meertens Instituut"",""Taal & Tongval. Tijdschrift voor Taalvariatie"",""0039-8691"","""""
"Universität Zürich,""2014"",""991.70"",""10.1371/journal.pone.0104655"",""FALSE"",""Public Library of Science (PLoS)"",""PLoS ONE"",""1932-6203"","""""
"Universität Zürich,""2014"",""518.40"",""10.3389/fnsys.2014.00180"",""FALSE"",""Frontiers Research Foundation"",""Frontiers in Systems Neuroscience"",""1662-5137"","""""
"Universität Zürich,""2014"",""1036.80"",""10.3389/fnagi.2014.00085"",""FALSE"",""Frontiers Research Foundation"",""Frontiers in Aging Neuroscience"",""1663-4365"","""""
"Universität Zürich,""2014"",""1036.80"",""10.3389/fpsyg.2014.01219"",""FALSE"",""Frontiers Research Foundation"",""Frontiers in Psychology"",""1664-1078"","""""
"Universität Zürich,""2014"",""1036.00"",""10.3389/fpsyg.2014.00982"",""FALSE"",""Frontiers Research Foundation"",""Frontiers in Psychology"",""1664-1078"","""""
"Universität Zürich,""2014"",""1036.80"",""10.3389/fpsyg.2014.01227"",""FALSE"",""Frontiers Research Foundation"",""Frontiers in Psychology"",""1664-1078"","""""
"Universität Zürich,""2014"",""1728.00"",""10.3389/fnhum.2014.00915"",""FALSE"",""Frontiers Research Foundation"",""Frontiers in Human Neuroscience"",""1662-5161"","""""
"Universität Zürich,""2014"",""1036.80"",""10.3389/fpsyg.2014.00640"",""FALSE"",""Frontiers Research Foundation"",""Frontiers in Psychology"",""1664-1078"","""""
"Universität Zürich,""2014"",""1209.00"",""10.1186/1471-2105-15-S14-S6"",""FALSE"",""BioMed Central"",""BMC Bioinformatics"",""1471-2105"","""""
