"institution,""period"",""euro"",""doi"",""is_hybrid"",""publisher"",""journal_full_title"",""issn"",""url"""
"Universität Zürich,""2013"",""1015.27"",""10.1371/journal.pone.0063509"",""FALSE"",""Public Library of Science (PLoS)"",""PLoS ONE"",""1932-6203"","""""
"Universität Zürich,""2013"",""913.88"",""10.1371/journal.pone.0078292"",""FALSE"",""Public Library of Science (PLoS)"",""PLoS ONE"",""1932-6203"","""""
"Universität Zürich,""2013"",""885.12"",""10.1371/journal.pone.0083528"",""FALSE"",""Public Library of Science (PLoS)"",""PLoS ONE"",""1932-6203"","""""
"Universität Zürich,""2013"",""1036.80"",""10.3389/fnhum.2013.00673"",""FALSE"",""Frontiers Research Foundation"",""Frontiers in Human Neuroscience"",""1662-5161"","""""
"Universität Zürich,""2012"",""2491.03"",""10.25300/MISQ/2013/37.2.06"",""FALSE"",""Management Information Systems Research Center, Carlson School of Management, University of Minnesota"",""MIS Quarterly"",""2162-9730"","""""
"Universität Zürich,""2012"",""1200.00"",""10.1093/database/bas053"",""FALSE"",""Oxford University Press"",""Database"",""1758-0463"","""""
