"institution,""period"",""euro"",""doi"",""is_hybrid"",""publisher"",""journal_full_title"",""issn"",""url"""
"Universität Zürich,""2016"",""1219.00"",""10.1186/s12904-016-0151-2"",""FALSE"",""BioMed Central"",""BMC Palliative Care"",""1472-684X"","""""
"Universität Zürich,""2016"",""275.51"",""10.21257/sg.24"",""FALSE"",""HÃ¼rlimann"",""sui-generis.ch"",""2297-105X"","""""
"Universität Zürich,""2016"",""1331.26"",""10.1371/journal.pone.0155923"",""FALSE"",""Public Library of Science (PLoS)"",""PLoS ONE"",""1932-6203"","""""
"Universität Zürich,""2016"",""1189.64"",""10.1371/journal.pone.0149542"",""FALSE"",""Public Library of Science (PLoS)"",""PLoS ONE"",""1932-6203"","""""
"Universität Zürich,""2016"",""1530.88"",""10.3389/fpsyg.2016.01153"",""FALSE"",""Frontiers Research Foundation"",""Frontiers in Psychology"",""1664-1078"","""""
"Universität Zürich,""2016"",""1434.88"",""10.1371/journal.pone.0168551"",""FALSE"",""Public Library of Science (PLoS)"",""PLoS ONE"",""1932-6203"","""""
"Universität Zürich,""2016"",""1538.10"",""10.3389/fnhum.2016.00060"",""FALSE"",""Frontiers Research Foundation"",""Frontiers in Human Neuroscience"",""1662-5161"","""""
"Universität Zürich,""2016"",""1530.88"",""10.3389/fpsyg.2016.00686"",""FALSE"",""Frontiers Research Foundation"",""Frontiers in Psychology"",""1664-1078"","""""
"Universität Zürich,""2016"",""1472.00"",""10.3389/fpsyg.2016.01106"",""FALSE"",""Frontiers Research Foundation"",""Frontiers in Psychology"",""1664-1078"","""""
"Universität Zürich,""2016"",""1202.14"",""10.1371/journal.pone.0157914"",""FALSE"",""Public Library of Science (PLoS)"",""PLoS ONE"",""1932-6203"","""""
"Universität Zürich,""2016"",""1194.70"",""10.3389/fpsyg.2016.01909"",""FALSE"",""Frontiers Research Foundation"",""Frontiers in Psychology"",""1664-1078"","""""
