institution;period;euro (Bruttopreise);doi;is_hybrid
Aachen FH;2020;3.352,80  ;10.1007/s13272-020-00449-8;TRUE
Aachen FH;2020;3.352,80  ;10.1007/s12649-020-01110-5;TRUE
Aachen FH;2020;3.352,80  ;10.1007/s11214-020-00707-5;TRUE
Aachen FH;2020;3.352,80  ;10.1365/s40702-020-00665-0;TRUE
Aachen FH;2021;4.060,08  ;10.1007/s00723-021-01324-3;TRUE
Aachen FH;2021;4.060,08  ;10.1007/s00216-021-03448-8;TRUE
Aachen FH;2021;4.060,08  ;10.1007/s13272-021-00522-w;TRUE
Aachen FH;2021;4.060,08  ;10.1007/s42952-021-00142-4;TRUE
Aachen FH;2021;4.060,08  ;10.1007/s00603-021-02608-7;TRUE
Aachen FH;2021;4.060,08  ;10.1007/s40095-021-00424-x;TRUE
