"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"Aix-Marseille Université",2022,1766,"10.2307/j.ctv30pntvk",FALSE,"Archaeopress Publishing Ltd","From Hydrology to Hydroarchaeology in the Ancient Mediterranean","978-1-80327-375-4","978-1-80327-374-7","978-1-80327-375-4",NA,TRUE,FALSE
"Aix-Marseille Université",2022,1803,"10.4324/9781315691794",FALSE,"Routledge","Transnational Social Work and Social Welfare","978-1-317-43119-0",NA,"978-1-317-43119-0",NA,TRUE,TRUE
