institution,period,euro,doi,backlist_oa,publisher,book_title,isbn_1,isbn_2,isbn_3
sh,2022,12598.89,10.1007/978-3-030-98527-1,FALSE,Palgrave McMillan,Baltic Hospitality from the Middle Ages to the Twentieth Century: Receiving Strangers in Northeastern Europé,9783030985264,9783030985271,9783030985295
sh,2022, 7528.00,10.7829/9789633864524,FALSE,Central European University Press,Romani liberation: a northern perspective on emancipatory struggles and progress,9789633864517,9789633864524,
sh,2022, 9929.93,10.30965/9783657790388,FALSE,Brill,The Wallachian Gold-Washers: Unlocking the Golden Past of the Rudari Woodworkers,9783657790388,9783506790385,
sh,2022, 3467.27,10.4324/9781003039402,TRUE,Taylor & Francis,Comic art and feminism in the baltic sea region: Transnational perspectives,9781003039402,9780367483333,
sh,2022,11901.96,,FALSE,Taylor & Francis,English in the Nordics,9781003272687,,
