"institution";"period";"euro";"doi";"is_hybrid";"publisher";"journal_full_title";"issn";"issn_print";"issn_electronic";"url"
"Université de Haute-Alsace";2017;955;"10.4172/1736-4337.1000278";"FALSE";;;;;;
"Université de Haute-Alsace";2017;480;"10.1515/aut-2017-0024";"FALSE";;;;;;
"Université de Haute-Alsace";2018;190;"10.30845/ijbss.v9n10p2";"FALSE";;;;;;
"Université de Haute-Alsace";2018;279;"10.3390/s18113688";"FALSE";;;;;;
"Université de Haute-Alsace";2018;1200;"10.1186/s40537-018-0132-9";"FALSE";;;;;;
"Université de Haute-Alsace";2018;1576;"10.3390/molecules23102607";"FALSE";;;;;;
"Université de Haute-Alsace";2018;1209;"10.1371/journal.pone.0188766";"FALSE";;;;;;
"Université de Haute-Alsace";2019;1619;"10.3390/s19133011";"FALSE";;;;;;
"Université de Haute-Alsace";2019;1120;"10.2478/aut-2019-0060";"FALSE";;;;;;
"Université de Haute-Alsace";2019;880;"10.2478/aut-2019-0022";"FALSE";;;;;;
"Université de Haute-Alsace";2019;1360;"10.2478/aut-2019-0032";"FALSE";;;;;;
"Université de Haute-Alsace";2019;262;"10.1177/1558925019833025";"FALSE";;;;;;
"Université de Haute-Alsace";2020;1038;"10.3390/cryst10090828";"FALSE";;;;;;
"Université de Haute-Alsace";2020;1302;"10.3390/molecules25153336";"FALSE";;;;;;
"Université de Haute-Alsace";2020;800;"10.2478/aut-2020-0006";"FALSE";;;;;;
"Université de Haute-Alsace";2020;1400;"10.2478/aut-2020-0044";"FALSE";;;;;;
"Université de Haute-Alsace";2020;840;"10.2478/aut-2019-0051";"FALSE";;;;;;
