"institution","consortium","contract_name","identifier","period_from","period_to","cost_type","euro","group_id"
"Friedrich-Schiller-Universität Jena","hebis-Konsortium (German Academic Consortium)","ACM (hebis) 2021-2028","acm2021hebis",2024,2024,"read",3003.17,"05qpz1x62_acm2021hebis_2024"
"Friedrich-Schiller-Universität Jena","hebis-Konsortium (German Academic Consortium)","ACM (hebis) 2021-2028","acm2021hebis",2024,2024,"publish",1431.03,"05qpz1x62_acm2021hebis_2024"
"Friedrich-Schiller-Universität Jena","Friedrich-Althoff-Konsortium e.V.","ACS (FAK) 2024-2026","acs2024fak",2024,2024,"read",116394.43,"05qpz1x62_acs2024fak_2024"
"Friedrich-Schiller-Universität Jena","Friedrich-Althoff-Konsortium e.V.","ACS (FAK) 2024-2026","acs2024fak",2024,2024,"publish",11255.82,"05qpz1x62_acs2024fak_2024"
"Friedrich-Schiller-Universität Jena","TIB Consortium","AIP (TIB) 2024-2026","aip2024tib",2024,2024,"read",26801.97,"05qpz1x62_aip2024tib_2024"
"Friedrich-Schiller-Universität Jena","TIB Consortium","AIP (TIB) 2024-2026","aip2024tib",2024,2024,"publish",9935.99,"05qpz1x62_aip2024tib_2024"
"Friedrich-Schiller-Universität Jena","German Academic Consortium, 45 participants, administered by Bayerische Staatsbibliothek","BMJ (BSB) 2023-2024","bmj2023gac",2024,2024,"read",8639.92,"05qpz1x62_bmj2023gac_2024"
"Friedrich-Schiller-Universität Jena","German Academic Consortium, 45 participants, administered by Bayerische Staatsbibliothek","BMJ (BSB) 2023-2024","bmj2023gac",2024,2024,"publish",7555.19,"05qpz1x62_bmj2023gac_2024"
"Friedrich-Schiller-Universität Jena","ZB MED","Company of Biologists (ZB MED) 2024-2026","compbio2024zbmed",2024,2024,"publish and read",12298.58,"05qpz1x62_compbio2024zbmed_2024"
"Friedrich-Schiller-Universität Jena","German Academic Consortium, 103 participants, administered by Bayerische Staatsbibliothek","CUP (BSB) 2022-2024","cam2022gac",2024,2024,"read",35453.02,"05qpz1x62_cam2022gac_2024"
"Friedrich-Schiller-Universität Jena","German Academic Consortium, 103 participants, administered by Bayerische Staatsbibliothek","CUP (BSB) 2022-2024","cam2022gac",2024,2024,"publish",3851.38,"05qpz1x62_cam2022gac_2024"
"Friedrich-Schiller-Universität Jena","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"read",160801.74,"05qpz1x62_els2023deal_2024"
